Unnamed: 0,Player,Unnamed: 2,Season,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3,Playing Time.4,Playing Time.5,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Performance.8,Performance.9,Performance.10,Performance.11,Performance.12,Performance.13,Performance.14,Performance.15,Unnamed: 30,-additional
370,Lander Emery,,2023-2024,20,eng ENG,Aston Villa,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,b5f7fd45
358,Lawrence Vigouroux,,2023-2024,29,cl CHI,Burnley,eng Premier League,0,,,0,0,5,,,,,,,,,,,,0,0,0,,,GK,a949d040
342,Lee Grant,,2018-2019,35,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,9,,,,,,,,,,,,0,0,0,,,GK,9dab6e3b
343,Lee Grant,,2019-2020,36,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,9dab6e3b
344,Lee Grant,,2020-2021,37,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,6,,,,,,,,,,,,0,0,0,,,GK,9dab6e3b
301,Liam Hughes,,2020-2021,18,nir NIR,Liverpool,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,54ae11f8
269,Loris Karius,,2018-2019,25,de GER,Liverpool,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,32e7ce92
270,Loris Karius,,2022-2023,29,de GER,Newcastle Utd,eng Premier League,0,,,0,0,8,,,,,,,,,,,,0,0,0,,,GK,32e7ce92
196,Loris Karius,4,2023-2024,30,de GER,Newcastle Utd,eng Premier League,1,90,1.0,1,0,21,0,0,0,0,0,0,0,4,7,4,42.9,0,0,1,0,0.0,GK,32e7ce92
325,Louie Moulden,,2021-2022,19,eng ENG,Wolves,eng Premier League,0,,,0,0,9,,,,,,,,,,,,0,0,0,,,GK,7b7de75a
273,Lovre Kalinić,,2019-2020,29,hr CRO,Aston Villa,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,3a74f92b
369,Lucas Bergström,,2023-2024,20,fi FIN,Chelsea,eng Premier League,0,,,0,0,15,,,,,,,,,,,,0,0,0,,,GK,b59c2a92
289,Lukas Jensen,,2019-2020,20,dk DEN,Burnley,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,47ed3795
367,Marcelo Pitaluga,,2021-2022,18,br BRA,Liverpool,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,b3cafda8
368,Marcelo Pitaluga,,2023-2024,20,br BRA,Liverpool,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,b3cafda8
142,Marcus Bettinelli,20,2018-2019,26,eng ENG,Fulham,eng Premier League,7,630,7.0,7,0,15,0,0,0,0,0,0,0,20,40,19,52.5,1,2,4,0,0.0,GK,0d85a4e8
241,Marcus Bettinelli,,2021-2022,29,eng ENG,Chelsea,eng Premier League,0,,,0,0,7,,,,,,,,,,,,0,0,0,,,GK,0d85a4e8
242,Marcus Bettinelli,,2022-2023,30,eng ENG,Chelsea,eng Premier League,0,,,0,0,17,,,,,,,,,,,,0,0,0,,,GK,0d85a4e8
243,Marcus Bettinelli,,2023-2024,31,eng ENG,Chelsea,eng Premier League,0,0,0.0,0,0,17,0,0,0,0,0,0,0,,,,,,,,,,GK,0d85a4e8
184,Marek Rodák,5,2020-2021,23,sk SVK,Fulham,eng Premier League,2,180,2.0,2,0,28,0,0,0,0,0,0,0,5,9,4,55.6,0,0,2,0,0.0,GK,17acc2ed
209,Marek Rodák,2,2022-2023,25,sk SVK,Fulham,eng Premier League,2,180,2.0,2,0,36,0,0,0,0,0,0,0,2,4,2,50.0,0,2,0,1,50.0,GK,17acc2ed
254,Marek Rodák,,2023-2024,26,sk SVK,Fulham,eng Premier League,0,0,0.0,0,0,37,0,0,0,0,0,0,0,,,,,,,,,,GK,17acc2ed
11,Mark Flekken,63,2023-2024,30,nl NED,Brentford,eng Premier League,37,3285,36.5,37,0,0,0,1,1,0,0,0,0,63,176,113,65.3,10,9,18,7,18.9,GK,a92ab7be
193,Mark Travers,5,2018-2019,19,ie IRL,Bournemouth,eng Premier League,2,180,2.0,2,0,0,0,0,0,0,0,0,0,5,13,9,61.5,1,0,1,1,50.0,GK,fe558029
208,Mark Travers,3,2019-2020,20,ie IRL,Bournemouth,eng Premier League,1,90,1.0,1,0,1,0,0,0,0,0,0,0,3,5,2,40.0,0,0,1,0,0.0,GK,fe558029
102,Mark Travers,32,2022-2023,23,ie IRL,Bournemouth,eng Premier League,12,1035,11.5,11,1,26,0,0,0,0,0,0,0,32,66,36,54.5,2,0,9,2,18.2,GK,fe558029
194,Mark Travers,5,2023-2024,24,ie IRL,Bournemouth,eng Premier League,4,360,4.0,4,0,25,0,0,0,0,0,0,0,5,18,13,77.8,2,0,2,2,50.0,GK,fe558029
46,Martin Dúbravka,48,2018-2019,29,sk SVK,Newcastle Utd,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,48,140,93,70.0,12,9,17,11,28.9,GK,3a949a25
