Model,RMSE_€,MAE_€,R2,Mean_Percentage_Error,MSE_€
XGBoost_Optimized,17571231.102890454,10740329.609784035,0.44755636875468197,55.440783618852116,308748162471184.94
Linear_Regression,18746357.276194174,12130989.769040946,0.3711929978703673,107.21468396127935,351425911126718.2
Random_Forest,19276821.3103756,11693859.443607511,0.3351029088903936,62.13198698808103,371595839832150.9
Naïve_Median,27276878.4735485,16492460.738219898,-0.33129078927720856,175.91375703564484,744028099260733.6
Naïve_Mean,27718798.498189382,16818733.672783706,-0.3747774262774808,161.83949014164156,768331790183226.0
