player,club,position,age,true_value,predicted_value,residual,abs_residual,percentage_error,over_under,value_category
Solly March,Brighton,FW,28.0,5500000.000000001,8.680337e+06,-3180336.999999999,3180336.999999999,57.82430909090907,Overestimated,Low (Q1)
Sven Botman,Newcastle Utd,DF,22.0,30999999.999999978,1.5079556e+07,15920443.999999978,15920443.999999978,51.3562709677419,Underestimated,High (Q4)
Séamus Coleman,Everton,DF,33.0,3900000.000000008,3.0971595e+06,802840.5000000079,802840.5000000079,20.585653846154006,Underestimated,Low (Q1)
Takehiro Tomiyasu,Arsenal,DF,23.0,25999999.999999985,1.4053199e+07,11946800.999999985,11946800.999999985,45.94923461538458,Underestimated,Medium-High (Q3)
Tariq Lamptey,Brighton,DF,21.0,12000000.000000007,3.1285975e+06,8871402.500000007,8871402.500000007,73.9283541666667,Underestimated,Medium-Low (Q2)
Thiago Silva,Chelsea,DF,37.0,12000000.000000007,9.963613e+06,2036387.0000000075,2036387.0000000075,16.96989166666672,Underestimated,Medium-Low (Q2)
Tim Ream,Fulham,DF,34.0,525000.0000000003,3.2524882e+06,-2727488.2499999995,2727488.2499999995,519.521571428571,Overestimated,Low (Q1)
Tosin Adarabioyo,Fulham,DF,24.0,11500000.000000019,5.1054625e+06,6394537.500000019,6394537.500000019,55.60467391304355,Underestimated,Medium-Low (Q2)
Toti Gomes,Wolves,DF,23.0,2599999.9999999986,1.3741829e+07,-11141829.000000002,11141829.000000002,428.5318846153849,Overestimated,Low (Q1)
Trent Alexander-Arnold,Liverpool,DF,23.0,100500000.0000001,2.7863548e+07,72636452.0000001,72636452.0000001,72.27507661691546,Underestimated,High (Q4)
Trevoh Chalobah,Chelsea,DF,23.0,11000000.000000013,1.2380303e+07,-1380302.999999987,1380302.999999987,12.548209090908957,Overestimated,Medium-Low (Q2)
Tyrone Mings,Aston Villa,DF,29.0,12000000.000000007,5.6524715e+06,6347528.500000007,6347528.500000007,52.89607083333336,Underestimated,Medium-Low (Q2)
Victor Lindelöf,Manchester Utd,DF,28.0,20999999.99999998,1.487746e+07,6122539.999999981,6122539.999999981,29.15495238095232,Underestimated,Medium-High (Q3)
Virgil van Dijk,Liverpool,DF,31.0,97999999.99999994,1.4572434e+07,83427565.99999994,83427565.99999994,85.13016938775509,Underestimated,High (Q4)
Vitaliy Mykolenko,Everton,DF,23.0,14499999.99999999,5.6974075e+06,8802592.49999999,8802592.49999999,60.7075344827586,Underestimated,Medium-High (Q3)
Vladimír Coufal,West Ham,DF,29.0,18500000.000000034,1.0806018e+07,7693982.0000000335,7693982.0000000335,41.589091891892,Underestimated,Medium-High (Q3)
William Saliba,Arsenal,DF,21.0,39999999.999999985,1.2744725e+07,27255274.999999985,27255274.999999985,68.13818749999999,Underestimated,High (Q4)
Yerry Mina,Everton,DF,27.0,11000000.000000013,5.290696e+06,5709304.000000013,5709304.000000013,51.902763636363694,Underestimated,Medium-Low (Q2)
