player,club,position,age,true_value,predicted_value,residual,abs_residual,percentage_error,over_under,value_category
Ryan Yates,Nott'ham Forest,MF,24.0,4399999.999999997,6.5607535e+06,-2160753.500000003,2160753.500000003,49.108034090909186,Overestimated,Low (Q1)
Rúben Neves,Wolves,MF,25.0,47499999.99999994,2.7452814e+07,20047185.99999994,20047185.99999994,42.204602105263085,Underestimated,High (Q4)
Rúben Vinagre,Everton,DF,23.0,6499999.999999999,3.9712302e+06,2528769.749999999,2528769.749999999,38.904149999999994,Underestimated,Low (Q1)
Saman Ghoddos,Brentford,MF,28.0,1200000.0000000005,4.3798835e+06,-3179883.4999999995,3179883.4999999995,264.9902916666665,Overestimated,Low (Q1)
Samuel Edozie,Southampton,FW,19.0,1100000.0000000016,1.7331949e+06,-633194.8749999984,633194.8749999984,57.56317045454522,Overestimated,Low (Q1)
Saïd Benrahma,West Ham,FW,26.0,15499999.999999987,2.4115178e+07,-8615178.000000013,8615178.000000013,55.581793548387225,Overestimated,Medium-High (Q3)
Scott McTominay,Manchester Utd,MF,25.0,24999999.999999963,1.4087416e+07,10912583.999999963,10912583.999999963,43.65033599999992,Underestimated,Medium-High (Q3)
Sean Longstaff,Newcastle Utd,MF,24.0,6499999.999999999,1.4499185e+07,-7999185.000000001,7999185.000000001,123.06438461538465,Overestimated,Low (Q1)
Son Heung-min,Tottenham,MF,30.0,100999999.99999991,3.2717324e+07,68282675.99999991,68282675.99999991,67.60660990099007,Underestimated,High (Q4)
Thiago Alcántara,Liverpool,MF,31.0,55499999.99999998,1.0162997e+07,45337002.99999998,45337002.99999998,81.68829369369368,Underestimated,High (Q4)
Thomas Partey,Arsenal,MF,29.0,36000000.000000045,1.5624817e+07,20375183.000000045,20375183.000000045,56.597730555555614,Underestimated,High (Q4)
Tom Cairney,Fulham,MF,31.0,4599999.999999998,3.676341e+06,923658.9999999981,923658.9999999981,20.079543478260835,Underestimated,Low (Q1)
Tom Davies,Everton,MF,24.0,7500000.000000002,5.1242375e+06,2375762.500000002,2375762.500000002,31.67683333333335,Underestimated,Medium-Low (Q2)
Tomáš Souček,West Ham,MF,27.0,27999999.99999999,1.9397798e+07,8602201.999999989,8602201.999999989,30.72214999999997,Underestimated,Medium-High (Q3)
Wilfried Zaha,Crystal Palace,FW,29.0,30000000.00000005,6.14313e+06,23856870.00000005,23856870.00000005,79.52290000000004,Underestimated,High (Q4)
Will Hughes,Crystal Palace,MF,27.0,6499999.999999999,5.2865555e+06,1213444.499999999,1213444.499999999,18.668376923076913,Underestimated,Low (Q1)
Yves Bissouma,Tottenham,MF,25.0,34499999.99999998,1.4519331e+07,19980668.999999978,19980668.999999978,57.91498260869562,Underestimated,High (Q4)
İlkay Gündoğan,Manchester City,MF,31.0,43999999.99999999,2.4076664e+07,19923335.999999993,19923335.999999993,45.280309090909086,Underestimated,High (Q4)
Aaron Cresswell,West Ham,DF,32.0,9500000.000000015,9.32376e+06,176240.0000000149,176240.0000000149,1.855157894736996,Underestimated,Medium-Low (Q2)
Aaron Hickey,Brentford,DF,20.0,12000000.000000007,2.1809802e+06,9819019.750000007,9819019.750000007,81.82516458333335,Underestimated,Medium-Low (Q2)
Aaron Wan-Bissaka,Manchester Utd,DF,24.0,26499999.999999996,1.1588854e+07,14911145.999999996,14911145.999999996,56.26847547169811,Underestimated,Medium-High (Q3)
Adam Webster,Brighton,DF,27.0,8499999.999999998,5.3806895e+06,3119310.499999998,3119310.499999998,36.69777058823528,Underestimated,Medium-Low (Q2)
Ainsley Maitland-Niles,Southampton,DF,24.0,6499999.999999999,5.203999e+06,1296000.999999999,1296000.999999999,19.938476923076912,Underestimated,Low (Q1)
Andrew Robertson,Liverpool,DF,28.0,72000000.00000012,2.2208444e+07,49791556.00000012,49791556.00000012,69.15493888888894,Underestimated,High (Q4)
Angelo Ogbonna,West Ham,DF,34.0,5500000.000000001,3.6715898e+06,1828410.250000001,1828410.250000001,33.243822727272736,Underestimated,Low (Q1)
Antonee Robinson,Fulham,DF,24.0,5500000.000000001,7.8479865e+06,-2347986.499999999,2347986.499999999,42.69066363636361,Overestimated,Low (Q1)
Ashley Young,Aston Villa,DF,37.0,1400000.0000000033,2.3025045e+06,-902504.4999999967,902504.4999999967,64.46460714285675,Overestimated,Low (Q1)
Aymeric Laporte,Manchester City,DF,28.0,64500000.000000104,8.278998e+06,56221002.000000104,56221002.000000104,87.16434418604652,Underestimated,High (Q4)
Ben Chilwell,Chelsea,DF,25.0,36999999.99999993,1.0894677e+07,26105322.999999933,26105322.999999933,70.55492702702696,Underestimated,High (Q4)
Ben Davies,Tottenham,DF,29.0,14499999.99999999,1.4622327e+07,-122327.00000000931,122327.00000000931,0.8436344827586855,Overestimated,Medium-High (Q3)
Ben Godfrey,Everton,DF,24.0,22000000.000000007,5.2692555e+06,16730744.500000007,16730744.500000007,76.04883863636364,Underestimated,Medium-High (Q3)
Ben Johnson,West Ham,DF,22.0,12499999.999999985,8.547742e+06,3952257.999999985,3952257.999999985,31.61806399999992,Underestimated,Medium-Low (Q2)
Ben Mee,Brentford,DF,32.0,8999999.999999996,4.781683e+06,4218316.999999996,4218316.999999996,46.87018888888887,Underestimated,Medium-Low (Q2)
Ben White,Arsenal,DF,24.0,32499999.999999955,1.4683001e+07,17816998.999999955,17816998.999999955,54.82153538461533,Underestimated,High (Q4)
Bobby De Cordova-Reid,Fulham,FW,29.0,4099998.9999999977,5.029124e+06,-929125.0000000023,929125.0000000023,22.66159089307102,Overestimated,Low (Q1)
Calum Chambers,Aston Villa,DF,27.0,5500000.000000001,4.5576995e+06,942300.5000000009,942300.5000000009,17.13273636363638,Underestimated,Low (Q1)
