player,club,position,age,true_value,predicted_value,residual,percentage_error,error_magnitude
Jacob Murphy,Newcastle Utd,FW,27.0,3200000.000000008,1.717429e+07,-13974289.999999993,436.6965624999987,Percentage
Toti Gomes,Wolves,DF,23.0,2599999.9999999986,1.3741829e+07,-11141829.000000002,428.5318846153849,Percentage
Alejandro Garnacho,Manchester Utd,FW,18.0,1499999.9999999986,7.2872205e+06,-5787220.500000002,385.81470000000047,Percentage
Alejandro Garnacho,Manchester Utd,FW,18.0,1499999.9999999986,7.2872205e+06,-5787220.500000002,385.81470000000047,Percentage
Joelinton,Newcastle Utd,MF,25.0,7500000.000000002,2.8643328e+07,-21143328.0,281.9110399999999,Percentage
Joelinton,Newcastle Utd,MF,25.0,7500000.000000002,2.8643328e+07,-21143328.0,281.9110399999999,Percentage
Saman Ghoddos,Brentford,MF,28.0,1200000.0000000005,4.3798835e+06,-3179883.4999999995,264.9902916666665,Percentage
Matt Ritchie,Newcastle Utd,FW,32.0,2400000.000000001,6.517425e+06,-4117424.999999999,171.5593749999999,Percentage
Mads Roerslev,Brentford,DF,23.0,2100000.0000000047,5.4900645e+06,-3390064.4999999953,161.4316428571423,Percentage
Loris Karius,Newcastle Utd,GK,29.0,1699999.9999999958,4.261829e+06,-2561829.000000004,150.69582352941237,Percentage
Miguel Almirón,Newcastle Utd,FW,28.0,14000000.00000001,3.3486868e+07,-19486867.999999993,139.19191428571415,Percentage
Sean Longstaff,Newcastle Utd,MF,24.0,6499999.999999999,1.4499185e+07,-7999185.000000001,123.06438461538465,Percentage
Fraser Forster,Tottenham,GK,34.0,1299999.9999999993,2.8684855e+06,-1568485.5000000007,120.65273076923089,Percentage
Granit Xhaka,Arsenal,MF,29.0,15000000.00000001,3.1831612e+07,-16831611.999999993,112.21074666666655,Percentage
Reiss Nelson,Arsenal,FW,22.0,6000000.0,1.2044297e+07,-6044297.0,100.73828333333333,Percentage
Fabian Schär,Newcastle Utd,DF,30.0,8499999.999999998,1.6586057e+07,-8086057.000000002,95.13008235294122,Percentage
Jorginho,2 Teams,MF,30.0,51499999.99999998,4.645093e+06,46854906.99999998,90.98040194174757,Percentage
Cristiano Ronaldo,Manchester Utd,FW,37.0,40999999.999999985,3.9205048e+06,37079495.249999985,90.43779329268293,Percentage
Thomas Strakosha,Brentford,GK,27.0,14000000.00000001,1.5583698e+06,12441630.25000001,88.86878750000001,Percentage
Dele Alli,Everton,MF,26.0,14000000.00000001,1.7092166e+06,12290783.37500001,87.79130982142857,Percentage
