,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
74,Rúben Neves,1583,2018-2019,21,pt POR,Wolves,eng Premier League,35,3007,33.4,34,1,2,4,3,7,2,2,2,0,1583,1977,80.1,23,192,16,4,206,33441,9557,512,587,87.2,743,840,88.5,295,455,64.8,MF,44bfb6c5
75,İlkay Gündoğan,1583,2020-2021,29,de GER,Manchester City,eng Premier League,28,2029,22.5,23,5,6,13,2,15,12,1,2,1,1583,1751,90.4,40,133,31,1,167,22988,4674,888,942,94.3,525,569,92.3,84,118,71.2,MF,819b3158
76,Enzo Fernández,1574,2023-2024,22,ar ARG,Chelsea,eng Premier League,28,2209,24.5,26,2,0,3,2,5,2,1,2,1,1574,1862,84.5,32,177,43,4,210,28776,8415,674,742,90.8,661,744,88.8,196,273,71.8,MF,5ff4ab71
77,Christian Eriksen,1560,2018-2019,26,dk DEN,Tottenham,eng Premier League,35,2774,30.8,30,5,1,8,12,20,8,0,0,0,1560,2009,77.7,73,167,56,14,212,25001,7140,807,918,87.9,568,713,79.7,124,239,51.9,MF,980522ec
78,Jordan Henderson,1553,2018-2019,28,eng ENG,Liverpool,eng Premier League,32,1987,22.1,21,11,1,1,3,4,1,0,0,0,1553,1815,85.6,15,158,23,5,160,27538,6348,681,741,91.9,620,695,89.2,196,277,70.8,MF,935e6b8f
79,João Moutinho,1553,2020-2021,33,pt POR,Wolves,eng Premier League,33,2528,28.1,28,5,1,1,1,2,1,0,0,0,1553,1846,84.1,46,131,19,7,169,27362,7149,647,705,91.8,708,786,90.1,155,263,58.9,MF,f5a00fa4
80,Bruno Fernandes,1549,2021-2022,26,pt POR,Manchester Utd,eng Premier League,36,3111,34.6,35,1,0,10,6,16,10,0,2,2,1549,2093,74.0,88,170,81,14,237,26517,7848,792,925,85.6,509,636,80.0,195,371,52.6,MF,507c7bdf
81,Mason Mount,1549,2020-2021,21,eng ENG,Chelsea,eng Premier League,36,2890,32.1,32,4,1,6,5,11,5,1,1,0,1549,1900,81.5,87,149,47,5,233,23673,6490,812,892,91.0,487,585,83.2,134,214,62.6,MF,9674002f
82,Thiago Alcántara,1545,2020-2021,29,es ESP,Liverpool,eng Premier League,24,1854,20.6,20,4,1,1,0,1,1,0,0,0,1545,1735,89.0,30,205,24,0,203,26781,7745,704,746,94.4,597,658,90.7,177,221,80.1,MF,77e84962
83,Harry Winks,1542,2019-2020,23,eng ENG,Tottenham,eng Premier League,31,2221,24.7,26,5,5,0,0,0,0,0,0,0,1542,1731,89.1,18,148,12,3,190,25914,7843,740,796,93.0,642,707,90.8,125,172,72.7,MF,2f7acede
84,Bernardo Silva,1515,2018-2019,23,pt POR,Manchester City,eng Premier League,36,2854,31.7,31,5,1,7,7,14,7,0,0,0,1515,1818,83.3,71,87,59,7,156,21234,4669,909,978,92.9,404,510,79.2,95,142,66.9,MFFW,3eb22ec9
85,Phil Foden,1511,2023-2024,23,eng ENG,Manchester City,eng Premier League,35,2857,31.7,33,2,2,19,8,27,19,0,0,0,1511,1767,85.5,73,71,57,5,168,20347,3769,990,1053,94.0,388,449,86.4,68,135,50.4,FWMF,ed1e53f3
86,Davy Pröpper,1511,2019-2020,27,nl NED,Brighton,eng Premier League,35,2829,31.4,32,3,1,1,2,3,1,0,0,0,1511,1833,82.4,29,184,24,5,265,26475,8360,643,757,84.9,730,824,88.6,113,169,66.9,MF,fdd85f94
87,Declan Rice,1506,2019-2020,20,eng ENG,West Ham,eng Premier League,38,3420,38.0,38,0,0,1,3,4,1,0,0,0,1506,1768,85.2,21,185,21,8,180,28014,7897,654,723,90.5,618,692,89.3,199,274,72.6,MF,1c7012b8
88,Youri Tielemans,1504,2019-2020,22,be BEL,Leicester City,eng Premier League,37,2828,31.4,32,5,1,3,6,9,3,0,0,0,1504,1885,79.8,52,170,40,6,215,25455,6845,705,804,87.7,569,679,83.8,155,258,60.1,MF,56f7a928
89,Pierre Højbjerg,1503,2018-2019,22,dk DEN,Southampton,eng Premier League,31,2760,30.7,31,0,2,4,3,7,4,0,0,0,1503,1835,81.9,27,204,17,5,204,26339,6812,728,814,89.4,582,697,83.5,157,238,66.0,MF,8b04d6c1
90,Bruno Fernandes,1498,2022-2023,27,pt POR,Manchester Utd,eng Premier League,37,3316,36.8,37,0,0,8,8,16,6,2,2,0,1498,2030,73.8,119,148,89,10,263,25425,8933,767,897,85.5,495,633,78.2,181,331,54.7,MFFW,507c7bdf
91,Douglas Luiz,1494,2022-2023,24,br BRA,Aston Villa,eng Premier League,37,2927,32.5,33,4,1,6,6,12,6,0,0,0,1494,1812,82.5,45,123,19,4,148,26492,6527,614,681,90.2,664,767,86.6,158,277,57.0,MF,6f7d826d
92,Georginio Wijnaldum,1492,2019-2020,28,nl NED,Liverpool,eng Premier League,37,2935,32.6,35,2,0,4,0,4,4,0,0,0,1492,1646,90.6,18,131,23,1,137,21792,4301,849,914,92.9,511,544,93.9,67,79,84.8,MF,eb58eef0
93,Ben White,1491,2020-2021,22,eng ENG,Brighton,eng Premier League,36,3191,35.5,36,0,1,0,0,0,0,0,0,0,1491,1812,82.3,8,117,20,1,149,27469,9044,574,638,90.0,759,849,89.4,131,261,50.2,DFMF,35e413f1
94,Fred,1482,2019-2020,26,br BRA,Manchester Utd,eng Premier League,29,2163,24.0,23,6,5,0,0,0,0,0,0,0,1482,1742,85.1,35,142,14,3,158,26846,7368,640,703,91.0,599,665,90.1,196,273,71.8,MF,b853e0ad
95,Étienne Capoue,1480,2018-2019,30,fr FRA,Watford,eng Premier League,33,2944,32.7,33,0,0,1,3,4,1,0,0,0,1480,1764,83.9,10,133,14,1,170,25515,7490,719,804,89.4,552,645,85.6,163,238,68.5,MF,5acc4a10
96,Yves Bissouma,1476,2020-2021,23,ml MLI,Brighton,eng Premier League,36,3111,34.6,35,1,0,1,0,1,1,0,0,0,1476,1697,87.0,16,145,16,1,146,25694,5672,637,693,91.9,661,725,91.2,135,189,71.4,MF,6c203af0
97,Nélson Semedo,1474,2023-2024,29,pt POR,Wolves,eng Premier League,36,3084,34.3,36,0,0,0,1,1,0,0,0,0,1474,1849,79.7,24,101,25,10,138,21759,7306,876,969,90.4,495,616,80.4,69,158,43.7,DFMF,d04b94db
98,Idrissa Gana Gueye,1472,2018-2019,28,sn SEN,Everton,eng Premier League,33,2822,31.4,32,1,0,0,2,2,0,0,0,0,1472,1761,83.6,18,177,18,3,216,25437,7160,656,764,85.9,585,654,89.4,161,220,73.2,MF,72c812f3
99,John Stones,1453,2022-2023,28,eng ENG,Manchester City,eng Premier League,23,1846,20.5,21,2,6,2,2,4,2,0,0,0,1453,1563,93.0,8,109,3,0,101,24351,6789,708,740,95.7,625,666,93.8,99,124,79.8,DFMF,5eecec3d
100,Youri Tielemans,1451,2021-2022,24,be BEL,Leicester City,eng Premier League,32,2631,29.2,29,3,1,6,4,10,4,2,2,0,1451,1785,81.3,37,171,28,7,202,23843,7353,720,808,89.1,574,672,85.4,119,209,56.9,MF,56f7a928
101,Martin Ødegaard,1449,2022-2023,23,no NOR,Arsenal,eng Premier League,37,3127,34.7,37,0,0,15,7,22,15,0,0,0,1449,1804,80.3,76,135,91,4,266,22540,6014,759,873,86.9,518,617,84.0,110,175,62.9,MF,79300479
