,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
132,N'Golo Kanté,1325,2020-2021,29,fr FRA,Chelsea,eng Premier League,30,2146,23.8,24,6,2,0,2,2,0,0,0,0,1325,1542,85.9,22,96,12,1,116,20877,5242,639,716,89.2,519,579,89.6,94,126,74.6,MF,b9fbae28
133,Matt Doherty,1324,2018-2019,26,ie IRL,Wolves,eng Premier League,38,3144,34.9,35,3,0,4,5,9,4,0,0,0,1324,1838,72.0,37,85,30,8,129,20796,8973,690,826,83.5,476,649,73.3,90,191,47.1,DFMF,d557d734
134,Ezgjan Alioski,1321,2020-2021,28,mk MKD,Leeds United,eng Premier League,36,2461,27.3,29,7,2,2,3,5,2,0,0,0,1321,1670,79.1,28,87,29,12,132,20073,7163,703,788,89.2,521,619,84.2,58,147,39.5,DFMF,1a7fcf39
135,Abdoulaye Doucouré,1320,2019-2020,26,ml MLI,Watford,eng Premier League,37,3156,35.1,36,1,0,4,2,6,4,0,0,0,1320,1712,77.1,38,120,27,2,161,19007,4672,714,862,82.8,456,548,83.2,61,101,60.4,MF,02b29014
136,Bernardo Silva,1317,2022-2023,27,pt POR,Manchester City,eng Premier League,34,2205,24.5,24,10,4,4,5,9,4,0,0,0,1317,1543,85.4,31,76,35,11,130,20840,3604,717,771,93.0,462,529,87.3,92,149,61.7,MFFW,3eb22ec9
137,Jefferson Lerma,1317,2022-2023,27,co COL,Bournemouth,eng Premier League,37,3252,36.1,37,0,0,5,0,5,5,0,0,0,1317,1611,81.8,18,126,23,2,142,20458,7229,695,793,87.6,502,581,86.4,77,146,52.7,MF,9b5ce51a
138,Declan Rice,1313,2018-2019,19,eng ENG,West Ham,eng Premier League,34,3003,33.4,34,0,2,2,0,2,2,0,0,0,1313,1524,86.2,9,126,2,0,127,23599,5791,552,627,88.0,545,605,90.1,169,205,82.4,MF,1c7012b8
139,James Milner,1313,2018-2019,32,eng ENG,Liverpool,eng Premier League,31,1789,19.9,19,12,2,5,4,9,2,3,3,0,1313,1636,80.3,44,131,37,9,164,22432,7644,662,727,91.1,463,539,85.9,151,260,58.1,MFDF,2f90f6b8
140,Stuart Dallas,1306,2021-2022,30,nir NIR,Leeds United,eng Premier League,34,2919,32.4,34,0,0,1,1,2,1,0,0,0,1306,1685,77.5,31,108,24,5,170,20351,7389,730,812,89.9,440,539,81.6,99,227,43.6,DFMF,67ca8566
141,Mark Noble,1305,2018-2019,31,eng ENG,West Ham,eng Premier League,31,2291,25.5,29,2,4,5,5,10,1,4,4,0,1305,1549,84.2,21,139,23,4,197,23997,7095,554,622,89.1,512,582,88.0,187,253,73.9,MF,ff527768
142,Youri Tielemans,1303,2022-2023,25,be BEL,Leicester City,eng Premier League,31,2344,26.0,27,4,0,3,2,5,2,1,2,1,1303,1623,80.3,30,169,28,7,181,21370,7448,651,734,88.7,501,592,84.6,111,208,53.4,MF,56f7a928
143,Jefferson Lerma,1301,2018-2019,23,co COL,Bournemouth,eng Premier League,30,2506,27.8,29,1,2,2,0,2,2,0,0,0,1301,1568,83.0,15,134,10,1,133,21652,6479,655,749,87.4,504,578,87.2,104,160,65.0,MF,9b5ce51a
144,Douglas Luiz,1290,2021-2022,23,br BRA,Aston Villa,eng Premier League,34,2715,30.2,31,3,0,2,3,5,2,0,0,0,1290,1550,83.2,37,107,19,2,105,21991,7065,567,644,88.0,559,629,88.9,121,210,57.6,MF,6f7d826d
145,Jonathan Hogg,1289,2018-2019,29,eng ENG,Huddersfield,eng Premier League,29,2367,26.3,29,0,2,0,1,1,0,0,0,0,1289,1556,82.8,16,127,14,1,147,22062,5783,602,682,88.3,523,601,87.0,127,197,64.5,MF,9306d5ea
146,Harrison Reed,1288,2020-2021,25,eng ENG,Fulham,eng Premier League,31,2247,25.0,26,5,1,0,2,2,0,0,0,0,1288,1516,85.0,21,102,16,3,127,21403,5739,610,672,90.8,551,609,90.5,89,157,56.7,MF,803ae100
147,James Maddison,1288,2019-2020,22,eng ENG,Leicester City,eng Premier League,31,2624,29.2,29,2,0,6,3,9,6,0,0,0,1288,1709,75.4,78,157,43,6,192,23620,7098,561,640,87.7,512,611,83.8,170,346,49.1,MF,ee38d9c5
148,Bernardo Silva,1287,2020-2021,25,pt POR,Manchester City,eng Premier League,26,2065,22.9,24,2,10,2,6,8,2,0,0,0,1287,1434,89.7,26,71,31,1,116,18862,3005,718,758,94.7,419,461,90.9,78,98,79.6,MFFW,3eb22ec9
149,Bernardo Silva,1284,2019-2020,24,pt POR,Manchester City,eng Premier League,34,2030,22.6,23,11,3,6,7,13,6,0,0,0,1284,1474,87.1,51,60,39,10,122,18560,3600,757,815,92.9,397,454,87.4,72,94,76.6,FWMF,3eb22ec9
150,Pascal Groß,1281,2020-2021,29,de GER,Brighton,eng Premier League,34,2484,27.6,27,7,4,3,8,11,0,3,4,1,1281,1705,75.1,70,102,46,17,165,23250,6784,557,653,85.3,499,600,83.2,178,345,51.6,MFDF,8aec0537
151,Dominik Szoboszlai,1280,2023-2024,22,hu HUN,Liverpool,eng Premier League,33,2104,23.4,25,8,0,3,2,5,3,0,0,0,1280,1550,82.6,56,98,33,6,152,20367,4929,694,777,89.3,441,507,87.0,98,169,58.0,MF,934e1968
152,Harry Winks,1277,2018-2019,22,eng ENG,Tottenham,eng Premier League,26,1597,17.7,17,9,2,1,0,1,1,0,0,0,1277,1399,91.3,7,121,8,0,124,20995,4913,614,647,94.9,524,552,94.9,92,123,74.8,MF,2f7acede
153,Mark Noble,1270,2019-2020,32,eng ENG,West Ham,eng Premier League,33,2674,29.7,32,1,2,4,3,7,1,3,3,0,1270,1565,81.2,43,138,27,7,198,23225,7008,545,626,87.1,528,619,85.3,162,234,69.2,MF,ff527768
154,Enzo Fernández,1269,2022-2023,21,ar ARG,Chelsea,eng Premier League,18,1547,17.2,18,0,0,0,2,2,0,0,0,0,1269,1440,88.1,20,164,25,0,168,24396,7284,504,549,91.8,546,604,90.4,193,240,80.4,MF,5ff4ab71
155,Mario Lemina,1261,2023-2024,29,ga GAB,Wolves,eng Premier League,35,2968,33.0,34,1,0,4,1,5,4,0,0,0,1261,1470,85.8,20,65,8,3,76,20364,5341,654,718,91.1,485,550,88.2,92,146,63.0,MF,2b471f99
156,Willian,1247,2019-2020,30,br BRA,Chelsea,eng Premier League,36,2600,28.9,29,7,0,9,7,16,5,4,4,0,1247,1622,76.9,75,71,68,13,173,19426,4419,696,792,87.9,355,455,78.0,123,221,55.7,FWMF,8b9ebd03
157,Wilfred Ndidi,1245,2020-2021,23,ng NGA,Leicester City,eng Premier League,26,2176,24.2,25,1,1,1,4,5,1,0,0,0,1245,1441,86.4,16,95,4,0,73,20490,5041,572,643,89.0,538,590,91.2,93,130,71.5,MFDF,6b47c5db
158,Tom Cairney,1244,2018-2019,27,sct SCO,Fulham,eng Premier League,31,2194,24.4,24,7,1,1,1,2,1,0,0,0,1244,1408,88.4,40,120,30,4,169,19804,3901,645,693,93.1,449,496,90.5,94,137,68.6,MFFW,a8748947
159,James Maddison,1244,2018-2019,21,eng ENG,Leicester City,eng Premier League,36,2831,31.5,35,1,1,7,7,14,6,1,2,1,1244,1623,76.6,99,144,49,6,198,21360,6667,613,695,88.2,404,497,81.3,170,314,54.1,MFFW,ee38d9c5
160,Pierre Højbjerg,1234,2023-2024,27,dk DEN,Tottenham,eng Premier League,36,1311,14.6,8,28,2,0,0,0,0,0,0,0,1234,1415,87.2,9,160,12,1,134,20132,7286,652,718,90.8,440,480,91.7,100,142,70.4,MF,8b04d6c1
161,Lucas Digne,1231,2020-2021,27,fr FRA,Everton,eng Premier League,30,2681,29.8,30,0,0,0,7,7,0,0,0,0,1231,1736,70.9,44,63,34,26,98,19677,7569,652,744,87.6,447,616,72.6,92,232,39.7,DFMF,1b84dbe1
162,Mateusz Klich,1228,2020-2021,30,pl POL,Leeds United,eng Premier League,35,2393,26.6,28,7,1,4,5,9,2,2,2,0,1228,1545,79.5,44,105,40,4,184,18574,4943,621,720,86.3,424,508,83.5,94,163,57.7,MF,282679b4
163,Kalvin Phillips,1222,2020-2021,24,eng ENG,Leeds United,eng Premier League,29,2428,27.0,28,1,0,1,2,3,1,0,0,0,1222,1490,82.0,35,114,18,3,137,25451,6915,394,444,88.7,583,661,88.2,220,321,68.5,MF,4f565d77
164,Jack Grealish,1219,2019-2020,23,eng ENG,Aston Villa,eng Premier League,36,3233,35.9,36,0,0,8,6,14,8,0,1,1,1219,1546,78.8,91,102,68,7,197,20682,5789,589,662,89.0,449,530,84.7,134,229,58.5,FWMF,b0b4fd3e
165,Ross Barkley,1218,2023-2024,29,eng ENG,Luton Town,eng Premier League,32,2618,29.1,30,2,0,5,4,9,5,0,0,0,1218,1474,82.6,44,138,27,1,163,21602,6544,550,611,90.0,473,533,88.7,147,226,65.0,MF,3a24769f
166,Tomáš Souček,1218,2020-2021,25,cz CZE,West Ham,eng Premier League,38,3419,38.0,38,0,0,10,1,11,10,0,0,0,1218,1623,75.0,18,127,7,1,165,20258,5713,586,774,75.7,450,583,77.2,121,151,80.1,MF,6613c819
167,Douglas Luiz,1217,2020-2021,22,br BRA,Aston Villa,eng Premier League,33,2781,30.9,32,1,4,0,2,2,0,0,0,0,1217,1445,84.2,19,134,13,3,131,22141,6015,503,568,88.6,525,577,91.0,152,212,71.7,MF,6f7d826d
168,Luka Milivojević,1213,2019-2020,28,rs SRB,Crystal Palace,eng Premier League,31,2513,27.9,28,3,1,3,1,4,1,2,2,0,1213,1585,76.5,29,124,9,0,127,23111,8399,481,554,86.8,520,601,86.5,179,361,49.6,MF,2ce2508a
169,James Maddison,1210,2023-2024,26,eng ENG,Tottenham,eng Premier League,28,2135,23.7,26,2,0,4,9,13,4,0,0,0,1210,1500,80.7,67,130,59,3,224,19513,6251,631,684,92.3,457,557,82.0,94,180,52.2,MF,ee38d9c5
170,Oliver Norwood,1205,2020-2021,29,nir NIR,Sheffield Utd,eng Premier League,32,2220,24.7,26,6,5,0,0,0,0,0,0,0,1205,1532,78.7,31,134,27,8,125,23516,7230,472,526,89.7,524,607,86.3,183,334,54.8,MF,43439614
171,Christian Eriksen,1203,2022-2023,30,dk DEN,Manchester Utd,eng Premier League,28,2048,22.8,25,3,1,1,8,9,1,0,0,0,1203,1485,81.0,36,149,27,5,164,19681,6193,629,700,89.9,429,502,85.5,105,198,53.0,MF,980522ec
172,Andre-Frank Zambo Anguissa,1201,2020-2021,24,cm CMR,Fulham,eng Premier League,36,2587,28.7,29,7,2,0,3,3,0,0,0,0,1201,1434,83.8,27,123,20,4,156,17714,4593,669,761,87.9,428,477,89.7,57,94,60.6,MF,6bb2c084
173,Christian Nørgaard,1199,2023-2024,29,dk DEN,Brentford,eng Premier League,31,2505,27.8,30,1,0,2,1,3,2,0,0,0,1199,1501,79.9,24,113,26,4,161,19114,6144,639,725,88.1,458,559,81.9,78,146,53.4,MF,df0a4c90
174,Moussa Sissoko,1197,2018-2019,28,fr FRA,Tottenham,eng Premier League,29,2330,25.9,27,2,1,0,3,3,0,0,0,0,1197,1404,85.3,25,91,13,3,97,17621,4136,677,752,90.0,386,439,87.9,81,111,73.0,MFFW,2acd49b9
175,Kevin De Bruyne,1192,2022-2023,31,be BEL,Manchester City,eng Premier League,32,2417,26.9,28,4,3,7,16,23,7,0,0,0,1192,1626,73.3,96,124,96,21,246,22165,6516,538,633,85.0,477,629,75.8,160,275,58.2,MF,e46012d4
176,Emi Buendía,1188,2019-2020,22,ar ARG,Norwich City,eng Premier League,36,2464,27.4,28,8,0,1,7,8,1,0,0,0,1188,1604,74.1,83,155,56,4,194,18941,6656,662,772,85.8,307,401,76.6,154,284,54.2,FWMF,66b76d44
177,Étienne Capoue,1180,2019-2020,31,fr FRA,Watford,eng Premier League,30,2627,29.2,30,0,0,0,3,3,0,0,0,0,1180,1465,80.5,20,117,10,1,132,21643,6104,536,612,87.6,453,520,87.1,154,249,61.8,MF,5acc4a10
178,Pape Matar Sarr,1179,2023-2024,20,sn SEN,Tottenham,eng Premier League,34,2069,23.0,27,7,0,3,3,6,3,0,0,0,1179,1349,87.4,20,108,23,4,150,17118,4177,662,718,92.2,402,453,88.7,52,77,67.5,MF,feb5d972
179,Tyrick Mitchell,1177,2023-2024,23,eng ENG,Crystal Palace,eng Premier League,37,3204,35.6,37,0,0,2,3,5,2,0,0,0,1177,1627,72.3,24,74,29,12,94,18588,7927,605,718,84.3,486,654,74.3,63,142,44.4,DFMF,5cbd1eb0
180,Jonny Castro,1177,2019-2020,25,es ESP,Wolves,eng Premier League,35,2887,32.1,33,2,1,2,2,4,2,0,0,0,1177,1451,81.1,23,47,16,6,97,15340,5071,731,810,90.2,333,426,78.2,38,68,55.9,MFDF,e28868f3
181,İlkay Gündoğan,1175,2021-2022,30,de GER,Manchester City,eng Premier League,27,1857,20.6,20,7,8,8,4,12,8,0,0,0,1175,1340,87.7,38,95,22,1,126,18647,4054,608,648,93.8,412,456,90.4,105,151,69.5,MF,819b3158
182,Calum Chambers,1175,2018-2019,23,eng ENG,Fulham,eng Premier League,31,2588,28.8,29,2,2,2,0,2,2,0,0,0,1175,1509,77.9,16,114,14,0,158,20289,6779,580,661,87.7,444,533,83.3,121,238,50.8,MFDF,dc6f5bdd
183,Josh Cullen,1173,2023-2024,27,ie IRL,Burnley,eng Premier League,25,2057,22.9,23,2,8,2,3,5,2,0,0,0,1173,1373,85.4,26,119,17,3,123,18812,4917,617,667,92.5,466,521,89.4,69,127,54.3,MF,f6d7d690
184,Emerson,1170,2021-2022,22,br BRA,Tottenham,eng Premier League,31,2286,25.4,26,5,3,1,1,2,1,0,0,0,1170,1450,80.7,28,32,28,14,68,16330,4045,686,762,90.0,368,459,80.2,52,94,55.3,DFMF,df8b52a5
185,Kevin De Bruyne,1170,2021-2022,30,be BEL,Manchester City,eng Premier League,30,2201,24.5,25,5,3,15,8,23,15,0,0,0,1170,1568,74.6,87,143,65,10,204,19948,5365,581,663,87.6,434,558,77.8,122,249,49.0,MF,e46012d4
186,James McArthur,1166,2019-2020,31,sct SCO,Crystal Palace,eng Premier League,37,3090,34.3,37,0,0,0,3,3,0,0,0,0,1166,1513,77.1,34,124,23,5,174,18242,5976,624,706,88.4,415,511,81.2,84,157,53.5,MF,cee31595
187,Casemiro,1165,2023-2024,31,br BRA,Manchester Utd,eng Premier League,25,1982,22.0,24,1,1,1,2,3,1,0,0,0,1165,1425,81.8,16,124,18,3,112,20136,7677,536,596,89.9,489,568,86.1,105,187,56.1,MFDF,4d224fe8
188,Wataru Endo,1157,2023-2024,30,jp JPN,Liverpool,eng Premier League,29,1722,19.1,20,9,4,1,0,1,1,0,0,0,1157,1315,88.0,16,109,18,2,101,17822,5048,631,684,92.3,466,516,90.3,45,63,71.4,MF,c149016b
189,Alex Iwobi,1154,2022-2023,26,ng NGA,Everton,eng Premier League,38,3378,37.5,38,0,0,2,7,9,2,0,0,0,1154,1536,75.1,64,134,63,17,194,20102,6570,547,648,84.4,435,555,78.4,132,220,60.0,MFFW,6ca5ec4b
190,Alexander Tettey,1142,2019-2020,33,no NOR,Norwich City,eng Premier League,30,2338,26.0,28,2,3,1,1,2,1,0,0,0,1142,1299,87.9,5,63,4,1,54,17374,4412,603,658,91.6,439,476,92.2,58,94,61.7,MFDF,75566759
191,Abdoulaye Doucouré,1141,2020-2021,27,ml MLI,Everton,eng Premier League,29,2443,27.1,29,0,1,2,3,5,2,0,0,0,1141,1354,84.3,21,65,23,1,104,17517,3953,583,666,87.5,441,490,90.0,65,83,78.3,MF,02b29014
192,Scott McTominay,1139,2020-2021,23,sct SCO,Manchester Utd,eng Premier League,32,2129,23.7,24,8,4,4,1,5,4,0,0,0,1139,1320,86.3,17,115,9,2,118,19571,5540,529,585,90.4,480,525,91.4,96,137,70.1,MF,d93c2511
193,Fred,1137,2021-2022,28,br BRA,Manchester Utd,eng Premier League,28,2028,22.5,24,4,3,4,4,8,4,0,0,0,1137,1358,83.7,28,131,13,1,138,18842,5515,547,626,87.4,448,506,88.5,92,118,78.0,MF,b853e0ad
194,Dale Stephens,1136,2018-2019,29,eng ENG,Brighton,eng Premier League,30,2485,27.6,29,1,1,1,1,2,1,0,0,0,1136,1365,83.2,18,138,11,1,151,21941,6362,462,522,88.5,492,550,89.5,166,229,72.5,MF,653ee42d
195,Moussa Sissoko,1135,2019-2020,29,fr FRA,Tottenham,eng Premier League,29,2452,27.2,28,1,0,2,1,3,2,0,0,0,1135,1322,85.9,16,80,9,1,96,17058,3674,619,696,88.9,398,447,89.0,63,88,71.6,MF,2acd49b9
196,Lewis Cook,1135,2023-2024,26,eng ENG,Bournemouth,eng Premier League,33,2786,31.0,32,1,0,0,3,3,0,0,0,0,1135,1487,76.3,46,138,20,4,142,20294,6864,458,539,85.0,539,616,87.5,112,257,43.6,MF,2afc7272
197,James McArthur,1135,2018-2019,30,sct SCO,Crystal Palace,eng Premier League,38,3058,34.0,36,2,0,3,6,9,3,0,0,0,1135,1445,78.5,31,103,12,1,142,18691,4949,559,646,86.5,436,528,82.6,98,171,57.3,MF,cee31595
198,Mateo Kovačić,1130,2022-2023,28,hr CRO,Chelsea,eng Premier League,27,1707,19.0,17,10,2,1,2,3,1,0,0,0,1130,1319,85.7,23,158,23,1,153,18537,5579,555,614,90.4,470,522,90.0,76,120,63.3,MF,79c0821a
199,Tom Cairney,1126,2023-2024,32,sct SCO,Fulham,eng Premier League,34,1488,16.5,14,20,4,1,4,5,1,0,0,0,1126,1272,88.5,26,84,25,4,145,17463,3797,603,644,93.6,422,454,93.0,68,109,62.4,MF,a8748947
200,Dani Ceballos,1126,2020-2021,23,es ESP,Arsenal,eng Premier League,25,1615,17.9,17,8,10,0,3,3,0,0,0,0,1126,1310,86.0,27,125,18,4,150,19849,5172,504,559,90.2,476,521,91.4,118,165,71.5,MF,c0617e2b
