,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,GA,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,Pos,-9999
1,Thomas Kaminski,85,2023-2024,30,be BEL,Luton Town,eng Premier League,38,3405,37.8,38,0,0,0,0,0,0,0,0,0,85,221,140,63.3,6,8,24,2,5.3,GK,1caa93a5
2,Illan Meslier,79,2021-2022,21,fr FRA,Leeds United,eng Premier League,38,3384,37.6,38,0,0,0,0,0,0,0,0,0,79,220,142,66.4,9,11,18,5,13.2,GK,6b625ac2
3,Wes Foderingham,79,2023-2024,32,eng ENG,Sheffield Utd,eng Premier League,30,2649,29.4,29,1,8,0,0,0,0,0,0,0,79,204,130,63.7,3,4,22,1,3.4,GK,96cf7b61
4,Sam Johnstone,74,2020-2021,27,eng ENG,West Brom,eng Premier League,37,3330,37.0,37,0,0,0,1,1,0,0,0,0,74,234,162,71.4,4,11,22,6,16.2,GK,9e5708be
5,Neil Etheridge,69,2018-2019,28,ph PHI,Cardiff City,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,69,207,135,68.6,10,4,24,10,26.3,GK,2642bf6c
6,Tim Krul,68,2019-2020,31,nl NED,Norwich City,eng Premier League,36,3240,36.0,36,0,0,0,0,0,0,0,0,0,68,195,128,66.7,5,6,25,5,13.9,GK,f23f9d20
7,Illan Meslier,67,2022-2023,22,fr FRA,Leeds United,eng Premier League,34,3060,34.0,34,0,4,0,0,0,0,0,0,0,67,158,92,59.5,7,9,18,5,14.7,GK,6b625ac2
8,Vicente Guaita,64,2020-2021,33,es ESP,Crystal Palace,eng Premier League,37,3330,37.0,37,0,1,0,0,0,0,0,0,0,64,169,104,63.9,11,8,18,8,21.6,GK,ab13a5aa
9,Ben Foster,64,2019-2020,36,eng ENG,Watford,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,64,178,116,68.5,8,10,20,9,23.7,GK,d0b3ceb9
10,Aaron Ramsdale,63,2020-2021,22,eng ENG,Sheffield Utd,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,63,206,145,70.9,7,2,29,5,13.2,GK,466fb2c5
11,Mark Flekken,63,2023-2024,30,nl NED,Brentford,eng Premier League,37,3285,36.5,37,0,0,0,1,1,0,0,0,0,63,176,113,65.3,10,9,18,7,18.9,GK,a92ab7be
12,James Trafford,62,2023-2024,20,eng ENG,Burnley,eng Premier League,28,2520,28.0,28,0,8,0,0,0,0,0,0,0,62,166,106,65.7,3,5,20,2,7.1,GK,259fea27
13,Aaron Ramsdale,62,2019-2020,21,eng ENG,Bournemouth,eng Premier League,37,3330,37.0,37,0,0,0,1,1,0,0,0,0,62,187,124,69.5,9,7,21,5,13.5,GK,466fb2c5
14,Tim Krul,62,2021-2022,33,nl NED,Norwich City,eng Premier League,29,2610,29.0,29,0,3,0,0,0,0,0,0,0,62,165,105,66.7,4,5,20,5,17.2,GK,f23f9d20
15,Bernd Leno,61,2023-2024,31,de GER,Fulham,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,61,190,133,72.1,13,8,17,10,26.3,GK,2628fd2b
16,Guglielmo Vicario,61,2023-2024,26,it ITA,Tottenham,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,61,167,109,67.7,20,6,12,7,18.4,GK,77d6fd4d
17,Ben Foster,59,2018-2019,35,eng ENG,Watford,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,59,180,123,69.4,14,8,16,7,18.4,GK,d0b3ceb9
