,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
401,Mesut Özil,758,2019-2020,30,de GER,Arsenal,eng Premier League,18,1438,16.0,18,0,4,1,2,3,1,0,0,0,758,913,83.0,37,63,25,0,114,11455,3088,414,442,93.7,257,295,87.1,54,100,54.0,MF,16380240
402,Idrissa Gana Gueye,758,2023-2024,33,sn SEN,Everton,eng Premier League,25,1884,20.9,24,1,3,4,0,4,4,0,0,0,758,898,84.4,15,70,9,1,83,11688,3236,384,428,89.7,317,361,87.8,39,66,59.1,MF,72c812f3
403,Gylfi Sigurðsson,758,2020-2021,30,is ISL,Everton,eng Premier League,36,2253,25.0,24,12,2,6,5,11,3,3,4,1,758,963,78.7,44,55,22,5,81,12289,3249,378,429,88.1,268,307,87.3,69,141,48.9,MFFW,76dd1480
404,Gustavo Hamer,756,2023-2024,26,nl NED,Sheffield Utd,eng Premier League,36,2910,32.3,34,2,0,4,6,10,4,0,0,0,756,1103,68.5,70,94,37,7,135,12613,4882,373,451,82.7,266,345,77.1,80,222,36.0,MF,eebacc07
405,Vitaly Janelt,755,2021-2022,23,de GER,Brentford,eng Premier League,31,2298,25.5,27,4,1,4,0,4,4,0,0,0,755,1005,75.1,23,80,13,3,103,12860,4122,341,413,82.6,321,388,82.7,65,136,47.8,MF,8449d35e
406,Wilfred Ndidi,754,2022-2023,25,ng NGA,Leicester City,eng Premier League,27,1679,18.7,19,8,4,0,0,0,0,0,0,0,754,899,83.9,3,49,0,0,51,11486,2879,392,429,91.4,304,348,87.4,31,67,46.3,MF,6b47c5db
407,André Gomes,752,2020-2021,27,pt POR,Everton,eng Premier League,28,1570,17.4,17,11,6,0,1,1,0,0,0,0,752,908,82.8,15,79,14,2,103,13045,3344,351,392,89.5,282,315,89.5,82,126,65.1,MF,1961b2aa
408,Sergio Reguilón,750,2021-2022,24,es ESP,Tottenham,eng Premier League,25,1916,21.3,22,3,6,2,3,5,2,0,0,0,750,994,75.5,29,35,31,21,50,11784,3362,394,453,87.0,271,355,76.3,54,99,54.5,DFMF,3353737a
409,Kobbie Mainoo,748,2023-2024,18,eng ENG,Manchester Utd,eng Premier League,24,1924,21.4,24,0,5,3,1,4,3,0,0,0,748,868,86.2,15,47,9,1,64,10519,2654,439,486,90.3,237,266,89.1,31,51,60.8,MF,c6220452
