,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
1201,Enock Mwepu,61,2022-2023,24,zm ZAM,Brighton,eng Premier League,6,213,2.4,2,4,0,0,1,1,0,0,0,0,61,78,78.2,3,5,2,0,6,819,126,42,50,84.0,15,17,88.2,3,5,60.0,FWMF,1d5cab82
1202,William Smallbone,61,2020-2021,20,ie IRL,Southampton,eng Premier League,3,172,1.9,2,1,5,0,0,0,0,0,0,0,61,78,78.2,0,5,1,0,7,920,189,35,35,100.0,21,28,75.0,4,10,40.0,MF,5e105217
1203,Bertrand Traoré,61,2021-2022,25,bf BFA,Aston Villa,eng Premier League,9,220,2.4,1,8,10,0,0,0,0,0,0,0,61,84,72.6,0,5,5,0,12,923,210,34,41,82.9,24,32,75.0,2,5,40.0,MFFW,c47541e0
1204,Tom Davies,60,2021-2022,23,eng ENG,Everton,eng Premier League,6,234,2.6,2,4,9,1,0,1,1,0,0,0,60,82,73.2,0,4,1,0,7,822,261,35,38,92.1,18,24,75.0,2,6,33.3,MF,9228b07c
1205,Facundo Pellistri,60,2023-2024,21,uy URU,Manchester Utd,eng Premier League,9,172,1.9,1,8,11,0,1,1,0,0,0,0,60,79,75.9,1,4,2,0,6,675,146,47,53,88.7,11,17,64.7,0,0,,FWMF,ac7e7b1c
1206,Theo Walcott,59,2021-2022,32,eng ENG,Southampton,eng Premier League,9,379,4.2,5,4,14,0,0,0,0,0,0,0,59,87,67.8,1,2,1,0,5,759,128,36,43,83.7,15,27,55.6,3,4,75.0,MFFW,1ecb65be
1207,Tyler Adams,59,2023-2024,24,us USA,Bournemouth,eng Premier League,3,121,1.3,1,2,2,0,0,0,0,0,0,0,59,71,83.1,1,9,0,0,5,973,262,35,39,89.7,18,24,75.0,6,8,75.0,MF,2b09d998
1208,Bertrand Traoré,59,2022-2023,26,bf BFA,Aston Villa,eng Premier League,8,233,2.6,1,7,8,2,0,2,2,0,0,0,59,75,78.7,1,1,5,3,9,868,258,36,40,90.0,18,21,85.7,3,5,60.0,FWMF,c47541e0
1209,Saman Ghoddos,59,2022-2023,28,ir IRN,Brentford,eng Premier League,15,139,1.5,0,15,19,0,0,0,0,0,0,0,59,79,74.7,4,5,1,0,8,953,286,32,36,88.9,21,25,84.0,6,17,35.3,MFFW,f7b1d4e0
1210,Kevin Schade,58,2023-2024,21,de GER,Brentford,eng Premier League,11,333,3.7,3,8,0,2,1,3,2,0,0,0,58,95,61.1,4,8,3,2,9,819,220,36,49,73.5,19,32,59.4,2,4,50.0,FWMF,52afb588
1211,Takumi Minamino,58,2021-2022,26,jp JPN,Liverpool,eng Premier League,11,186,2.1,1,10,15,3,0,3,3,0,0,0,58,69,84.1,2,6,3,0,5,648,146,42,45,93.3,10,15,66.7,2,2,100.0,FWMF,f833a830
1212,Mohamed Elneny,57,2022-2023,30,eg EGY,Arsenal,eng Premier League,5,113,1.3,1,4,4,0,0,0,0,0,0,0,57,60,95.0,0,3,2,0,2,1031,224,23,23,100.0,27,29,93.1,6,6,100.0,MF,47a34c4f
1213,Fodé Ballo-Touré,56,2023-2024,26,sn SEN,Fulham,eng Premier League,6,71,0.8,0,6,16,0,0,0,0,0,0,0,56,78,71.8,0,3,0,0,0,1002,224,23,30,76.7,26,33,78.8,6,8,75.0,DFMF,f449640d
