,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
1214,Bénie Traoré,55,2023-2024,20,ci CIV,Sheffield Utd,eng Premier League,8,387,4.3,3,5,11,0,0,0,0,0,0,0,55,71,77.5,4,2,7,1,9,775,185,34,38,89.5,19,23,82.6,1,1,100.0,FWMF,77816c91
1215,Dan Gosling,55,2021-2022,31,eng ENG,Watford,eng Premier League,4,166,1.8,2,2,14,1,0,1,1,0,0,0,55,65,84.6,1,4,0,0,4,836,216,31,33,93.9,19,22,86.4,4,6,66.7,MF,7fec31a0
1216,Keinan Davis,55,2020-2021,22,eng ENG,Aston Villa,eng Premier League,15,277,3.1,1,14,18,1,1,2,1,0,0,0,55,77,71.4,6,2,3,0,6,689,133,38,41,92.7,11,20,55.0,2,5,40.0,FWMF,9deaf2c8
1217,Enes Ünal,55,2023-2024,26,tr TUR,Bournemouth,eng Premier League,16,328,3.6,2,14,0,2,2,4,2,0,0,0,55,75,73.3,5,10,2,0,7,698,213,35,45,77.8,12,16,75.0,4,5,80.0,FWMF,f8eca1b6
1218,Yan Valery,54,2020-2021,21,tn TUN,Southampton,eng Premier League,3,103,1.1,1,2,6,0,0,0,0,0,0,0,54,64,84.4,1,1,3,2,3,831,266,27,28,96.4,24,28,85.7,1,3,33.3,DFMF,531a4aa8
1219,Sam Greenwood,54,2021-2022,19,eng ENG,Leeds United,eng Premier League,7,237,2.6,1,6,14,0,2,2,0,0,0,0,54,80,67.5,4,5,1,0,5,731,134,30,37,81.1,18,24,75.0,1,10,10.0,MFFW,f3354c07
1220,André Ayew,53,2022-2023,32,gh GHA,Nott'ham Forest,eng Premier League,13,316,3.5,1,12,5,0,0,0,0,0,1,1,53,73,72.6,1,3,1,0,11,686,146,38,46,82.6,13,21,61.9,0,1,0.0,FWMF,5dbefa9d
1221,Jeremy Sarmiento,53,2022-2023,20,ec ECU,Brighton,eng Premier League,9,176,2.0,1,8,11,0,1,1,0,0,0,0,53,67,79.1,2,4,5,1,11,694,191,32,38,84.2,16,19,84.2,1,2,50.0,MF,ac0d576d
1222,Cesare Casadei,53,2023-2024,20,it ITA,Chelsea,eng Premier League,11,79,0.9,0,11,6,0,0,0,0,0,0,0,53,65,81.5,2,2,0,0,3,792,155,29,34,85.3,17,22,77.3,4,4,100.0,FWMF,fb920f3a
1223,Rhian Brewster,52,2023-2024,23,eng ENG,Sheffield Utd,eng Premier League,13,346,3.8,3,10,1,0,0,0,0,0,0,0,52,76,68.4,2,6,1,0,3,702,178,35,41,85.4,10,22,45.5,4,7,57.1,FWMF,30e81a88
1224,Matheus França,51,2023-2024,19,br BRA,Crystal Palace,eng Premier League,10,232,2.6,1,9,9,0,1,1,0,0,0,0,51,79,64.6,6,4,2,0,8,910,256,20,29,69.0,24,29,82.8,5,13,38.5,MFFW,077faf72
1225,Gustavo Scarpa,51,2022-2023,28,br BRA,Nott'ham Forest,eng Premier League,6,181,2.0,2,4,3,0,0,0,0,0,0,0,51,78,65.4,1,10,0,0,12,1112,454,16,19,84.2,26,31,83.9,8,18,44.4,MFFW,2964fd20
1226,Tim Iroegbunam,51,2023-2024,20,eng ENG,Aston Villa,eng Premier League,9,164,1.8,1,8,16,0,0,0,0,0,0,0,51,55,92.7,0,1,0,0,1,704,229,30,31,96.8,19,20,95.0,0,0,,MF,84c5ceea
1227,Diogo Dalot,51,2019-2020,20,pt POR,Manchester Utd,eng Premier League,4,67,0.7,1,3,4,0,0,0,0,0,0,0,51,67,76.1,0,2,0,0,3,735,170,29,33,87.9,17,23,73.9,2,7,28.6,DFMF,d9565625
1228,Crysencio Summerville,51,2021-2022,19,nl NED,Leeds United,eng Premier League,6,130,1.4,0,6,19,0,0,0,0,0,0,0,51,70,72.9,2,2,4,0,7,638,142,32,37,86.5,14,21,66.7,1,3,33.3,MFFW,df04eb4b
1229,Jean-Philippe Gbamin,50,2019-2020,23,ci CIV,Everton,eng Premier League,2,136,1.5,1,1,0,0,0,0,0,0,0,0,50,70,71.4,0,8,0,0,7,736,153,25,29,86.2,20,22,90.9,1,8,12.5,MF,6bd603db
1230,Bryan Gil,50,2021-2022,20,es ESP,Tottenham,eng Premier League,9,94,1.0,0,9,7,0,0,0,0,0,0,0,50,64,78.1,2,0,4,2,7,660,188,32,36,88.9,11,15,73.3,3,4,75.0,FWMF,7b5ab7f2
1231,Keane Lewis-Potter,49,2022-2023,21,eng ENG,Brentford,eng Premier League,10,321,3.6,3,7,9,0,1,1,0,0,0,0,49,86,57.0,5,2,3,1,6,600,118,33,50,66.0,12,17,70.6,1,10,10.0,FWMF,41f08ac8
1232,Carlos Sánchez,48,2019-2020,33,co COL,West Ham,eng Premier League,6,117,1.3,1,5,12,0,0,0,0,0,0,0,48,59,81.4,0,3,0,0,5,790,253,22,24,91.7,21,27,77.8,4,7,57.1,MF,50b51fac
1233,Jonathan Rowe,48,2021-2022,18,eng ENG,Norwich City,eng Premier League,13,223,2.5,0,13,8,0,1,1,0,0,0,0,48,72,66.7,5,4,2,0,3,534,142,34,42,81.0,8,10,80.0,1,7,14.3,FWMF,8c12f884
1234,Nathan Redmond,48,2023-2024,29,eng ENG,Burnley,eng Premier League,12,142,1.6,0,12,3,0,0,0,0,0,0,0,48,73,65.8,3,3,4,1,8,723,137,30,36,83.3,11,19,57.9,4,9,44.4,FWMF,ab651565
1235,David Ozoh,48,2023-2024,18,eng ENG,Crystal Palace,eng Premier League,9,156,1.7,0,9,15,0,0,0,0,0,0,0,48,51,94.1,0,3,0,0,4,695,112,21,22,95.5,25,25,100.0,0,0,,MFDF,d00d45ab
1236,Benson Manuel,48,2023-2024,26,ao ANG,Burnley,eng Premier League,8,116,1.3,1,7,13,0,0,0,0,0,0,0,48,59,81.4,1,2,3,2,2,693,153,27,27,100.0,16,22,72.7,3,4,75.0,MFFW,d7f99582
1237,Brennan Johnson,47,2023-2024,22,wls WAL,Nott'ham Forest,eng Premier League,3,237,2.6,3,0,0,0,0,0,0,0,0,0,47,61,77.0,1,2,0,0,1,671,143,25,29,86.2,17,22,77.3,2,2,100.0,FWMF,0cd31129
1238,Jaïro Riedewald,47,2021-2022,24,nl NED,Crystal Palace,eng Premier League,3,118,1.3,1,2,15,0,0,0,0,0,0,0,47,56,83.9,2,4,0,0,4,795,204,27,31,87.1,16,16,100.0,4,7,57.1,MF,7a1f2c08
1239,Bryan Gil,47,2022-2023,21,es ESP,Tottenham,eng Premier League,4,148,1.6,2,2,12,0,1,1,0,0,0,0,47,60,78.3,2,3,2,0,5,638,92,26,32,81.3,14,16,87.5,2,4,50.0,MFFW,7b5ab7f2
1240,Cheikhou Kouyaté,47,2023-2024,33,sn SEN,Nott'ham Forest,eng Premier League,12,212,2.4,2,10,18,0,0,0,0,0,0,0,47,74,63.5,1,3,0,0,5,604,159,32,43,74.4,11,19,57.9,1,2,50.0,MF,8d3c902d
1241,Sergio Gómez,46,2023-2024,22,es ESP,Manchester City,eng Premier League,6,53,0.6,0,6,26,0,1,1,0,0,0,0,46,54,85.2,1,1,2,1,2,636,97,29,31,93.5,15,17,88.2,1,2,50.0,FWMF,01e5f06e
1242,Tawanda Chirewa,46,2023-2024,19,zw ZIM,Wolves,eng Premier League,8,145,1.6,1,7,15,0,0,0,0,0,0,0,46,58,79.3,1,3,3,2,7,664,151,29,31,93.5,14,18,77.8,2,3,66.7,MFFW,34721c11
1243,Donny van de Beek,46,2022-2023,25,nl NED,Manchester Utd,eng Premier League,7,167,1.9,2,5,4,0,0,0,0,0,0,0,46,61,75.4,3,0,4,0,6,502,115,31,34,91.2,8,8,100.0,1,2,50.0,MF,50dc94ce
1244,Dale Stephens,46,2021-2022,32,eng ENG,Burnley,eng Premier League,3,124,1.4,1,2,16,0,0,0,0,0,0,0,46,57,80.7,1,4,2,0,5,812,228,20,27,74.1,17,20,85.0,7,7,100.0,MF,653ee42d
1245,David Brooks,46,2022-2023,25,wls WAL,Bournemouth,eng Premier League,6,173,1.9,2,4,5,0,0,0,0,0,0,0,46,63,73.0,2,4,1,0,11,640,140,30,32,93.8,13,16,81.3,2,9,22.2,FWMF,dc4cae05
1246,Cole Palmer,46,2021-2022,19,eng ENG,Manchester City,eng Premier League,4,123,1.4,1,3,20,0,0,0,0,0,0,0,46,54,85.2,2,2,3,0,3,561,109,32,33,97.0,9,12,75.0,3,5,60.0,FWMF,dc7f8a28
1247,Leander Dendoncker,45,2023-2024,28,be BEL,Aston Villa,eng Premier League,8,119,1.3,1,7,10,1,0,1,1,0,0,0,45,56,80.4,0,1,0,0,3,744,139,24,28,85.7,19,22,86.4,2,4,50.0,MF,5a7301ae
1248,Lewis Bate,45,2021-2022,18,eng ENG,Leeds United,eng Premier League,3,146,1.6,1,2,13,0,0,0,0,0,0,0,45,61,73.8,0,2,0,0,6,654,199,23,30,76.7,15,17,88.2,3,5,60.0,MF,cd4256d3
1249,Lewis Dobbin,44,2023-2024,20,eng ENG,Everton,eng Premier League,12,232,2.6,1,11,16,1,0,1,1,0,0,0,44,65,67.7,4,0,3,1,3,537,95,32,36,88.9,9,17,52.9,2,5,40.0,MF,e814e1cf
1250,Anass Zaroury,43,2023-2024,22,ma MAR,Burnley,eng Premier League,6,152,1.7,1,5,7,0,0,0,0,0,0,0,43,70,61.4,2,2,2,1,2,714,120,23,31,74.2,13,21,61.9,6,11,54.5,FWMF,07d65234
1251,Owen Otasowie,43,2020-2021,19,us USA,Wolves,eng Premier League,6,187,2.1,2,4,17,0,1,1,0,0,0,0,43,59,72.9,2,3,0,0,3,543,151,25,32,78.1,14,18,77.8,1,2,50.0,MFFW,6956ff08
1252,James McArthur,41,2022-2023,34,sct SCO,Crystal Palace,eng Premier League,4,54,0.6,0,4,8,0,0,0,0,0,0,0,41,52,78.8,0,0,0,0,1,596,129,24,29,82.8,16,18,88.9,1,3,33.3,MF,cee31595
1253,Danny Welbeck,40,2018-2019,27,eng ENG,Arsenal,eng Premier League,8,153,1.7,1,7,2,1,1,2,1,0,0,0,40,54,74.1,5,8,3,0,10,554,237,19,25,76.0,14,20,70.0,1,1,100.0,FWMF,ce5143da
1254,Mohamed Elneny,39,2023-2024,31,eg EGY,Arsenal,eng Premier League,3,28,0.3,0,3,13,0,0,0,0,0,0,0,39,40,97.5,0,2,0,0,1,624,147,18,19,94.7,21,21,100.0,0,0,,MF,47a34c4f
1255,Ramadan Sobhi,39,2018-2019,21,eg EGY,Huddersfield,eng Premier League,4,79,0.9,0,4,5,0,0,0,0,0,0,0,39,50,78.0,3,0,3,1,6,423,131,28,31,90.3,6,11,54.5,0,2,0.0,FWMF,98be0d02
1256,Gedson Fernandes,39,2019-2020,20,pt POR,Tottenham,eng Premier League,7,68,0.8,0,7,8,0,0,0,0,0,0,0,39,53,73.6,2,2,3,2,4,461,114,28,32,87.5,7,14,50.0,1,1,100.0,MFDF,e2dde94c
1257,Arnaut Danjuma,39,2022-2023,25,nl NED,Tottenham,eng Premier League,9,169,1.9,1,8,8,1,0,1,1,0,0,0,39,56,69.6,1,5,2,2,2,514,107,29,35,82.9,8,10,80.0,2,2,100.0,FWMF,f08490a6
1258,Bobby Clark,38,2023-2024,18,eng ENG,Liverpool,eng Premier League,5,89,1.0,1,4,6,0,0,0,0,0,0,0,38,49,77.6,0,3,0,0,3,465,64,23,29,79.3,11,12,91.7,1,2,50.0,MF,73341ace
1259,Antoine Semenyo,38,2022-2023,22,gh GHA,Bournemouth,eng Premier League,11,258,2.9,2,9,4,1,0,1,1,0,0,0,38,57,66.7,2,5,0,0,5,543,153,24,33,72.7,11,13,84.6,2,4,50.0,FWMF,efd2ec23
1260,Siriki Dembélé,37,2022-2023,25,ci CIV,Bournemouth,eng Premier League,6,110,1.2,0,6,9,0,0,0,0,0,0,0,37,47,78.7,4,2,3,2,4,543,223,22,29,75.9,10,13,76.9,2,2,100.0,FWMF,11f54bd5
1261,Jesurun Rak Sakyi,37,2023-2024,20,eng ENG,Crystal Palace,eng Premier League,6,136,1.5,0,6,7,0,0,0,0,0,0,0,37,50,74.0,2,2,0,0,2,535,79,24,28,85.7,11,16,68.8,2,3,66.7,MFFW,45685411
1262,Naouirou Ahamada,37,2022-2023,20,fr FRA,Crystal Palace,eng Premier League,8,94,1.0,0,8,3,0,0,0,0,0,0,0,37,46,80.4,1,3,0,0,2,550,179,19,23,82.6,15,17,88.2,1,3,33.3,MFFW,a6c58494
1263,Adam Idah,36,2019-2020,18,ie IRL,Norwich City,eng Premier League,12,228,2.5,1,11,5,0,0,0,0,0,0,0,36,49,73.5,1,2,0,0,2,385,61,27,30,90.0,5,7,71.4,1,2,50.0,FWMF,291e3ec3
1264,Maxwel Cornet,36,2023-2024,26,ci CIV,West Ham,eng Premier League,7,112,1.2,1,6,21,1,0,1,1,0,0,0,36,49,73.5,4,0,0,0,2,407,70,27,34,79.4,6,8,75.0,0,1,0.0,MFFW,beb391dd
1265,Jacob Murphy,36,2018-2019,23,eng ENG,Newcastle Utd,eng Premier League,9,302,3.4,3,6,7,0,1,1,0,0,0,0,36,67,53.7,1,4,2,2,7,733,271,13,22,59.1,16,24,66.7,7,16,43.8,MFDF,de112b84
1266,Oliver Skipp,34,2019-2020,18,eng ENG,Tottenham,eng Premier League,7,77,0.9,1,6,17,0,0,0,0,0,0,0,34,38,89.5,0,3,0,0,5,543,153,17,19,89.5,14,15,93.3,3,4,75.0,MF,6250083a
1267,Jaïro Riedewald,34,2022-2023,25,nl NED,Crystal Palace,eng Premier League,6,64,0.7,0,6,24,0,0,0,0,0,0,0,34,45,75.6,0,2,0,0,1,467,137,21,24,87.5,13,17,76.5,0,2,0.0,DFMF,7a1f2c08
1268,Lys Mousset,34,2020-2021,24,fr FRA,Sheffield Utd,eng Premier League,11,296,3.3,2,9,8,0,0,0,0,0,0,0,34,46,73.9,3,4,0,0,3,476,74,19,22,86.4,11,14,78.6,2,3,66.7,FWMF,d9cfca3d
1269,Jadon Sancho,34,2023-2024,23,eng ENG,Manchester Utd,eng Premier League,3,79,0.9,0,3,0,0,0,0,0,0,0,0,34,43,79.1,1,2,2,0,4,446,116,22,25,88.0,10,14,71.4,1,1,100.0,FWMF,dbf053da
1270,Denis Suárez,32,2018-2019,24,es ESP,Arsenal,eng Premier League,4,71,0.8,0,4,4,0,0,0,0,0,0,0,32,36,88.9,0,1,1,0,1,378,53,20,20,100.0,8,9,88.9,1,1,100.0,MFFW,12c50af5
1271,Neeskens Kebano,32,2020-2021,28,cd COD,Fulham,eng Premier League,5,119,1.3,1,4,8,0,0,0,0,0,0,0,32,43,74.4,1,2,0,0,1,373,90,25,25,100.0,6,15,40.0,0,0,,FWMF,18b999f4
1272,Joshua King,32,2020-2021,28,no NOR,Everton,eng Premier League,11,148,1.6,0,11,5,0,0,0,0,0,0,0,32,50,64.0,0,1,1,0,5,431,98,18,29,62.1,13,15,86.7,0,0,,MFFW,43458538
1273,Josh Sims,32,2018-2019,21,eng ENG,Southampton,eng Premier League,7,212,2.4,2,5,3,0,1,1,0,0,0,0,32,45,71.1,1,2,0,0,0,424,109,18,21,85.7,9,12,75.0,1,3,33.3,MF,6d6f09dc
1274,Kyle Edwards,31,2020-2021,22,eng ENG,West Brom,eng Premier League,5,118,1.3,1,4,6,0,0,0,0,0,0,0,31,35,88.6,1,2,0,0,3,379,96,22,23,95.7,9,10,90.0,0,1,0.0,MFFW,1566e437
1275,Georginio Rutter,31,2022-2023,20,fr FRA,Leeds United,eng Premier League,11,273,3.0,1,10,9,0,1,1,0,0,0,0,31,62,50.0,4,1,2,0,6,439,97,19,33,57.6,9,16,56.3,2,2,100.0,FWMF,c64c01fc
1276,Hannibal Mejbri,31,2023-2024,20,tn TUN,Manchester Utd,eng Premier League,5,133,1.5,1,4,9,1,0,1,1,0,0,0,31,38,81.6,2,6,1,0,6,442,143,21,21,100.0,7,9,77.8,3,6,50.0,MFFW,ca22ccb0
1277,Emile Smith Rowe,30,2019-2020,19,eng ENG,Arsenal,eng Premier League,2,97,1.1,1,1,2,0,0,0,0,0,0,0,30,36,83.3,0,2,0,0,2,327,57,20,22,90.9,6,8,75.0,0,1,0.0,MF,17695062
1278,Tyler Morton,30,2021-2022,18,eng ENG,Liverpool,eng Premier League,2,66,0.7,1,1,7,0,0,0,0,0,0,0,30,35,85.7,0,5,0,0,4,527,116,15,16,93.8,9,9,100.0,5,7,71.4,MF,2bc28bb9
1279,Kamil Grosicki,30,2020-2021,32,pl POL,West Brom,eng Premier League,3,148,1.6,2,1,7,0,1,1,0,0,0,0,30,45,66.7,3,3,1,0,4,455,110,14,18,77.8,12,15,80.0,2,9,22.2,MFFW,81d8091f
1280,John Fleck,29,2023-2024,31,sct SCO,Sheffield Utd,eng Premier League,4,92,1.0,1,3,5,0,0,0,0,0,0,0,29,40,72.5,2,1,1,0,3,408,88,21,27,77.8,7,9,77.8,1,2,50.0,MFDF,b63e789d
1281,Ibrahima Cissé,29,2018-2019,24,gn GUI,Fulham,eng Premier League,3,88,1.0,1,2,8,0,0,0,0,0,0,0,29,34,85.3,0,2,0,0,3,394,158,19,21,90.5,9,11,81.8,1,2,50.0,MF,be4fede9
1282,Kieffer Moore,28,2023-2024,30,wls WAL,Bournemouth,eng Premier League,8,108,1.2,0,8,8,1,0,1,1,0,0,0,28,42,66.7,2,2,2,0,4,272,91,22,29,75.9,4,8,50.0,0,0,,FWMF,01ce9e70
1283,Connor Wickham,28,2019-2020,26,eng ENG,Crystal Palace,eng Premier League,6,96,1.1,0,6,7,1,1,2,1,0,0,0,28,47,59.6,3,3,1,0,6,398,75,18,27,66.7,7,14,50.0,2,3,66.7,FWMF,41cc19c2
1284,Oriol Romeu,28,2022-2023,30,es ESP,Southampton,eng Premier League,1,74,0.8,1,0,3,0,0,0,0,0,0,0,28,30,93.3,0,0,2,0,4,453,79,10,11,90.9,15,16,93.8,2,2,100.0,MF,4b511457
1285,Lazar Marković,28,2018-2019,24,rs SRB,Fulham,eng Premier League,1,45,0.5,0,1,1,0,0,0,0,0,0,0,28,29,96.6,1,1,1,0,3,333,77,16,17,94.1,7,7,100.0,2,2,100.0,MF,723ba189
1286,Yoshinori Mutō,27,2019-2020,27,jp JPN,Newcastle Utd,eng Premier League,8,212,2.4,2,6,9,0,0,0,0,0,0,0,27,33,81.8,1,2,1,0,5,290,91,12,13,92.3,6,7,85.7,1,2,50.0,MFFW,5343eb4e
1287,Jeff Hendrick,27,2021-2022,29,ie IRL,Newcastle Utd,eng Premier League,3,72,0.8,0,3,14,1,0,1,1,0,0,0,27,29,93.1,1,2,0,0,0,489,43,12,13,92.3,12,12,100.0,3,4,75.0,MF,989d5705
1288,Neeskens Kebano,25,2018-2019,26,cd COD,Fulham,eng Premier League,7,108,1.2,0,7,14,0,0,0,0,0,0,0,25,31,80.6,0,2,0,0,4,340,37,20,22,90.9,4,7,57.1,1,1,100.0,FWMF,18b999f4
1289,Tony Springett,25,2021-2022,18,ie IRL,Norwich City,eng Premier League,3,141,1.6,1,2,3,0,0,0,0,0,0,0,25,38,65.8,2,1,1,1,2,348,78,16,22,72.7,9,10,90.0,0,2,0.0,MFFW,35be8087
1290,Jack Cork,25,2023-2024,34,eng ENG,Burnley,eng Premier League,4,27,0.3,0,4,18,0,0,0,0,0,0,0,25,33,75.8,0,5,0,0,4,370,77,13,16,81.3,10,10,100.0,1,3,33.3,MF,74e12f1e
1291,Gaëtan Bong,25,2019-2020,31,cm CMR,Brighton,eng Premier League,4,59,0.7,0,4,0,0,0,0,0,0,0,0,25,35,71.4,2,2,1,1,5,450,191,12,14,85.7,10,14,71.4,3,5,60.0,DFMF,cfd5e123
1292,Matt Ritchie,24,2022-2023,32,sct SCO,Newcastle Utd,eng Premier League,7,39,0.4,0,7,18,0,0,0,0,0,0,0,24,31,77.4,1,0,0,0,1,342,88,16,16,100.0,4,6,66.7,3,4,75.0,FWMF,71ef519e
1293,Jazz Richards,24,2018-2019,27,wls WAL,Cardiff City,eng Premier League,4,132,1.5,0,4,6,0,0,0,0,0,0,0,24,38,63.2,0,1,0,0,3,369,169,10,15,66.7,12,17,70.6,1,5,20.0,DFMF,afef14da
1294,Chem Campbell,23,2022-2023,19,wls WAL,Wolves,eng Premier League,5,74,0.8,0,5,9,0,0,0,0,0,0,0,23,32,71.9,0,2,0,0,4,344,64,10,11,90.9,13,14,92.9,0,5,0.0,FWMF,6f711f67
1295,Charlie Austin,23,2020-2021,31,eng ENG,West Brom,eng Premier League,5,138,1.5,0,5,3,0,0,0,0,0,0,0,23,34,67.6,0,2,0,0,3,297,111,17,20,85.0,4,7,57.1,1,2,50.0,FWMF,8d228291
1296,Callum Slattery,22,2018-2019,19,eng ENG,Southampton,eng Premier League,3,112,1.2,1,2,7,0,0,0,0,0,0,0,22,32,68.8,0,3,1,0,3,342,107,13,15,86.7,6,8,75.0,3,7,42.9,MF,059948df
1297,Anthony Gordon,22,2020-2021,19,eng ENG,Everton,eng Premier League,3,88,1.0,1,2,8,0,0,0,0,0,0,0,22,27,81.5,1,1,2,0,2,293,65,15,15,100.0,5,5,100.0,2,4,50.0,FWMF,2bd83368
1298,Jesurun Rak Sakyi,22,2021-2022,18,eng ENG,Crystal Palace,eng Premier League,2,80,0.9,1,1,5,0,0,0,0,0,0,0,22,26,84.6,0,1,0,0,0,246,32,17,17,100.0,2,2,100.0,1,1,100.0,FWMF,45685411
1299,Junior Stanislas,22,2022-2023,32,eng ENG,Bournemouth,eng Premier League,4,61,0.7,0,4,5,0,0,0,0,0,0,0,22,28,78.6,2,3,0,0,4,329,71,12,14,85.7,9,11,81.8,0,1,0.0,MF,6992791d
1300,Marcus Forss,22,2021-2022,22,fi FIN,Brentford,eng Premier League,7,209,2.3,1,6,16,0,1,1,0,0,0,0,22,38,57.9,1,5,1,0,6,341,115,12,19,63.2,5,9,55.6,3,3,100.0,FWMF,82c215a0
1301,Tim Iroegbunam,22,2021-2022,18,eng ENG,Aston Villa,eng Premier League,3,92,1.0,1,2,19,0,0,0,0,0,0,0,22,27,81.5,0,3,0,0,4,288,155,14,18,77.8,8,9,88.9,0,0,,MF,84c5ceea
1302,Roméo Lavia,22,2023-2024,19,be BEL,Chelsea,eng Premier League,1,33,0.4,0,1,1,0,0,0,0,0,0,0,22,27,81.5,0,4,0,0,1,350,51,9,10,90.0,13,14,92.9,0,1,0.0,MF,ecad9aa5
1303,Dan Nlundulu,21,2020-2021,21,eng ENG,Southampton,eng Premier League,13,111,1.2,0,13,16,0,0,0,0,0,0,0,21,29,72.4,1,1,1,0,4,302,44,14,20,70.0,6,6,100.0,1,1,100.0,FWMF,30040f5d
1304,Lewis Brunt,21,2021-2022,20,eng ENG,Leicester City,eng Premier League,1,24,0.3,0,1,4,0,0,0,0,0,0,0,21,21,100.0,0,1,0,0,2,365,28,10,10,100.0,10,10,100.0,1,1,100.0,MF,a2081c6b
1305,Taylor Richards,21,2021-2022,20,eng ENG,Brighton,eng Premier League,2,25,0.3,0,2,14,0,0,0,0,0,0,0,21,27,77.8,1,2,0,0,3,346,81,11,14,78.6,8,9,88.9,2,2,100.0,MF,e0243d23
1306,Philippe Coutinho,20,2023-2024,31,br BRA,Aston Villa,eng Premier League,2,25,0.3,0,2,0,0,0,0,0,0,0,0,20,24,83.3,0,4,0,0,5,265,63,11,14,78.6,8,9,88.9,0,0,,MFFW,0ef89a37
1307,Tommy Doyle,20,2019-2020,17,eng ENG,Manchester City,eng Premier League,1,16,0.2,0,1,5,0,0,0,0,0,0,0,20,20,100.0,0,0,0,0,0,305,29,11,11,100.0,6,6,100.0,2,2,100.0,MF,5526deb1
