,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
1010,Alireza Jahanbakhsh,188,2020-2021,26,ir IRN,Brighton,eng Premier League,21,528,5.9,6,15,6,0,1,1,0,0,0,0,188,266,70.7,10,10,19,4,28,2801,657,103,126,81.7,61,82,74.4,14,28,50.0,FWMF,08452314
1011,Emile Smith Rowe,188,2023-2024,23,eng ENG,Arsenal,eng Premier League,13,353,3.9,3,10,18,0,1,1,0,0,0,0,188,213,88.3,4,13,11,0,23,2449,496,128,143,89.5,54,57,94.7,1,4,25.0,MF,17695062
1012,Moussa Djenepo,188,2019-2020,21,ml MLI,Southampton,eng Premier League,18,928,10.3,10,8,3,2,2,4,2,0,0,0,188,270,69.6,11,13,11,1,27,2553,814,114,134,85.1,52,79,65.8,9,24,37.5,MFDF,254147d4
1013,Miguel Almirón,188,2018-2019,24,py PAR,Newcastle Utd,eng Premier League,10,759,8.4,9,1,0,0,0,0,0,0,0,0,188,263,71.5,13,21,12,7,25,2883,752,98,125,78.4,54,74,73.0,21,28,75.0,MF,862a1c15
1014,Juan Mata,187,2021-2022,33,es ESP,Manchester Utd,eng Premier League,7,235,2.6,2,5,22,0,0,0,0,0,0,0,187,217,86.2,2,16,6,2,16,2589,580,119,127,93.7,43,52,82.7,14,19,73.7,MF,29733c72
1015,Cheikhou Kouyaté,185,2022-2023,32,sn SEN,Nott'ham Forest,eng Premier League,21,882,9.8,10,11,1,1,0,1,1,0,0,0,185,246,75.2,7,13,2,0,19,2908,882,90,120,75.0,62,74,83.8,18,25,72.0,MF,8d3c902d
1016,Jonny Castro,185,2020-2021,26,es ESP,Wolves,eng Premier League,7,495,5.5,7,0,0,0,0,0,0,0,0,0,185,243,76.1,2,6,0,0,16,2425,803,123,141,87.2,49,64,76.6,6,17,35.3,MFDF,e28868f3
1017,Isaac Mbenza,183,2018-2019,22,be BEL,Huddersfield,eng Premier League,22,986,11.0,10,12,6,1,1,2,1,0,0,0,183,272,67.3,7,11,5,5,18,2816,769,101,129,78.3,56,79,70.9,17,36,47.2,FWMF,aa1a8c7e
1018,Arnaut Danjuma,183,2019-2020,22,nl NED,Bournemouth,eng Premier League,14,630,7.0,6,8,5,0,0,0,0,0,0,0,183,233,78.5,5,11,4,1,21,2768,574,99,118,83.9,66,79,83.5,12,19,63.2,MF,f08490a6
1019,Pedro Neto,181,2021-2022,21,pt POR,Wolves,eng Premier League,13,466,5.2,5,8,0,1,1,2,1,0,0,0,181,237,76.4,13,4,4,2,10,2805,542,97,106,91.5,61,82,74.4,13,29,44.8,FWMF,7ba2eaa9
1020,Theo Walcott,180,2022-2023,33,eng ENG,Southampton,eng Premier League,20,1129,12.5,13,7,9,2,2,4,2,0,0,0,180,262,68.7,15,7,7,2,14,2284,516,120,151,79.5,39,68,57.4,4,14,28.6,FWMF,1ecb65be
1021,Joe Rothwell,179,2023-2024,28,eng ENG,Bournemouth,eng Premier League,11,386,4.3,3,8,8,0,0,0,0,0,0,0,179,216,82.9,4,20,1,0,20,3185,863,65,68,95.6,100,108,92.6,10,30,33.3,MF,10a10454
1022,Jarrod Bowen,179,2019-2020,22,eng ENG,West Ham,eng Premier League,13,917,10.2,11,2,0,1,4,5,1,0,0,0,179,273,65.6,15,15,9,6,19,3304,1080,79,96,82.3,70,94,74.5,26,57,45.6,FWMF,79c84d1c
1023,Mason Mount,179,2023-2024,24,eng ENG,Manchester Utd,eng Premier League,14,516,5.7,5,9,0,1,0,1,1,0,0,0,179,219,81.7,6,17,6,2,21,2414,735,111,125,88.8,42,53,79.2,10,17,58.8,MFFW,9674002f
1024,Julio Enciso,179,2022-2023,18,py PAR,Brighton,eng Premier League,20,806,9.0,7,13,11,4,2,6,4,0,0,0,179,258,69.4,13,14,9,0,31,2242,548,126,167,75.4,45,66,68.2,3,8,37.5,FWMF,9cfbad36
1025,Carney Chukwuemeka,179,2022-2023,18,eng ENG,Chelsea,eng Premier League,14,354,3.9,2,12,7,0,0,0,0,0,0,0,179,203,88.2,8,11,7,2,23,2291,502,126,140,90.0,33,37,89.2,8,8,100.0,MFFW,b2f9c73e
1026,Ansu Fati,178,2023-2024,20,es ESP,Brighton,eng Premier League,19,521,5.8,3,16,5,2,0,2,2,0,0,0,178,210,84.8,6,14,7,0,28,2332,518,117,124,94.4,41,50,82.0,10,11,90.9,MFFW,0ba976e4
1027,Mohamed Elyounoussi,178,2018-2019,23,no NOR,Southampton,eng Premier League,16,793,8.8,8,8,8,0,0,0,0,0,0,0,178,273,65.2,14,14,7,2,20,2658,764,105,128,82.0,43,71,60.6,17,38,44.7,MF,68dc0dac
1028,Ben Osborn,176,2019-2020,24,eng ENG,Sheffield Utd,eng Premier League,13,594,6.6,6,7,17,0,0,0,0,0,0,0,176,258,68.2,7,10,4,2,25,2571,661,105,125,84.0,47,69,68.1,13,36,36.1,MFDF,79bc4c45
1029,William Smallbone,175,2019-2020,19,ie IRL,Southampton,eng Premier League,9,393,4.4,4,5,5,0,2,2,0,0,0,0,175,213,82.2,3,21,3,1,12,2879,645,86,102,84.3,64,74,86.5,17,24,70.8,MF,5e105217
1030,Tom Cleverley,175,2018-2019,28,eng ENG,Watford,eng Premier League,13,478,5.3,4,9,2,1,0,1,1,0,0,0,175,225,77.8,1,18,4,1,17,2550,719,92,111,82.9,53,65,81.5,15,24,62.5,MF,6cdd8245
1031,Jason Puncheon,174,2018-2019,32,eng ENG,2 Teams,eng Premier League,11,395,4.4,5,6,13,0,0,0,0,0,0,0,174,226,77.0,5,20,4,0,26,2777,991,86,101,85.1,52,68,76.5,21,30,70.0,MF,fd3f57ce
1032,Ken Sema,173,2018-2019,24,se SWE,Watford,eng Premier League,17,754,8.4,9,8,14,1,2,3,1,0,0,0,173,248,69.8,8,13,3,0,17,2131,474,119,147,81.0,46,58,79.3,1,12,8.3,MFFW,1770bd68
1033,Tom Davies,173,2022-2023,24,eng ENG,Everton,eng Premier League,19,538,6.0,4,15,15,0,0,0,0,0,0,0,173,234,73.9,2,25,2,0,30,2879,850,87,111,78.4,64,76,84.2,16,29,55.2,MF,9228b07c
1034,Cesc Fàbregas,169,2018-2019,31,es ESP,Chelsea,eng Premier League,6,180,2.0,1,5,9,0,0,0,0,0,0,0,169,198,85.4,3,20,4,0,21,2799,983,88,94,93.6,66,75,88.0,15,25,60.0,MF,33508c78
1035,Nathaniel Mendez-Laing,169,2018-2019,26,gt GUA,Cardiff City,eng Premier League,20,985,10.9,11,9,6,4,1,5,3,1,1,0,169,287,58.9,19,14,10,8,19,2364,1016,92,129,71.3,44,70,62.9,14,27,51.9,MFFW,b4b2f632
1036,Andriy Yarmolenko,167,2018-2019,28,ua UKR,West Ham,eng Premier League,9,459,5.1,5,4,0,2,0,2,2,0,0,0,167,214,78.0,5,8,9,0,22,2398,562,89,104,85.6,52,66,78.8,12,20,60.0,MFFW,849c826a
1037,Christian Atsu,167,2019-2020,27,gh GHA,Newcastle Utd,eng Premier League,19,749,8.3,6,13,9,0,3,3,0,0,0,0,167,218,76.6,13,5,10,5,16,2225,540,95,109,87.2,40,51,78.4,10,21,47.6,MFFW,8816329f
1038,Cole Palmer,167,2022-2023,20,eng ENG,Manchester City,eng Premier League,14,370,4.1,2,12,17,0,1,1,0,0,0,0,167,193,86.5,5,8,7,1,13,2377,369,100,105,95.2,51,62,82.3,6,11,54.5,MFFW,dc7f8a28
1039,Lewis O'Brien,166,2022-2023,23,eng ENG,Nott'ham Forest,eng Premier League,13,584,6.5,6,7,2,1,0,1,1,0,0,0,166,214,77.6,4,19,3,0,21,2785,650,72,85,84.7,84,103,81.6,7,16,43.8,MF,089667a5
1040,Nikola Vlašić,165,2021-2022,23,hr CRO,West Ham,eng Premier League,19,560,6.2,6,13,13,1,0,1,1,0,0,0,165,218,75.7,9,6,3,1,14,2200,370,106,122,86.9,44,57,77.2,7,16,43.8,FWMF,aa8e289e
1041,Karlan Grant,164,2020-2021,22,eng ENG,West Brom,eng Premier League,21,1127,12.5,14,7,10,1,0,1,1,0,0,0,164,234,70.1,3,5,5,0,13,1990,336,110,141,78.0,34,45,75.6,6,12,50.0,FWMF,87f7500e
1042,Anthony Gordon,162,2022-2023,21,eng ENG,Newcastle Utd,eng Premier League,16,487,5.4,4,12,0,1,0,1,1,0,0,0,162,198,81.8,6,11,5,0,15,2222,547,105,115,91.3,44,54,81.5,7,12,58.3,FWMF,2bd83368
1043,Pablo Fornals,162,2023-2024,27,es ESP,West Ham,eng Premier League,15,426,4.7,4,11,6,0,0,0,0,0,0,0,162,210,77.1,5,19,6,1,29,2602,713,83,96,86.5,60,75,80.0,12,20,60.0,MFFW,82927de4
1044,Mykhailo Mudryk,161,2022-2023,21,ua UKR,Chelsea,eng Premier League,15,657,7.3,7,8,4,0,2,2,0,0,0,0,161,216,74.5,10,10,10,0,20,2112,668,104,126,82.5,35,48,72.9,9,23,39.1,FWMF,049a888d
1045,Christopher Nkunku,159,2023-2024,25,fr FRA,Chelsea,eng Premier League,11,443,4.9,2,9,1,3,0,3,3,0,0,0,159,183,86.9,3,14,7,0,19,2048,567,101,109,92.7,39,43,90.7,4,10,40.0,FWMF,7c56da38
1046,Denis Zakaria,158,2022-2023,25,ch SUI,Chelsea,eng Premier League,7,411,4.6,5,2,9,0,0,0,0,0,0,0,158,179,88.3,1,8,0,0,6,2222,571,90,98,91.8,54,56,96.4,5,6,83.3,MF,384d58d9
1047,Max Meyer,158,2019-2020,23,de GER,Crystal Palace,eng Premier League,17,655,7.3,6,11,16,0,0,0,0,0,0,0,158,211,74.9,4,13,5,1,16,1952,489,103,119,86.6,38,43,88.4,3,14,21.4,MFFW,eba42d2b
1048,Valentino Lazaro,157,2019-2020,23,at AUT,Newcastle Utd,eng Premier League,13,480,5.3,4,9,0,1,0,1,1,0,0,0,157,197,79.7,6,5,3,1,7,2316,877,86,95,90.5,50,59,84.7,10,27,37.0,DFMF,016ff750
1049,Rhian Brewster,157,2020-2021,20,eng ENG,Sheffield Utd,eng Premier League,27,1128,12.5,12,15,7,0,0,0,0,0,0,0,157,225,69.8,11,15,4,3,20,2231,556,98,125,78.4,37,54,68.5,12,22,54.5,FWMF,30e81a88
1050,Facundo Buonanotte,157,2022-2023,17,ar ARG,Brighton,eng Premier League,13,565,6.3,6,7,6,1,1,2,1,0,0,0,157,194,80.9,6,9,10,2,13,2407,525,101,114,88.6,36,46,78.3,17,21,81.0,FWMF,468a7a91
1051,Robbie Brady,157,2018-2019,26,ie IRL,Burnley,eng Premier League,16,720,8.0,6,10,5,0,1,1,0,0,0,0,157,288,54.5,13,19,10,4,19,2587,972,88,113,77.9,43,76,56.6,19,68,27.9,MF,96bb8cc2
1052,Calum Chambers,157,2022-2023,27,eng ENG,Aston Villa,eng Premier League,14,353,3.9,2,12,22,0,0,0,0,0,0,0,157,207,75.8,2,9,2,1,16,2924,1310,66,76,86.8,77,94,81.9,14,31,45.2,DFMF,dc6f5bdd
1053,José Izquierdo,156,2018-2019,26,co COL,Brighton,eng Premier League,15,795,8.8,9,6,3,0,1,1,0,0,0,0,156,216,72.2,5,9,4,0,19,2091,641,97,119,81.5,48,61,78.7,5,16,31.3,MFFW,ca2bc3df
1054,Floyd Ayité,156,2018-2019,29,tg TOG,Fulham,eng Premier League,16,476,5.3,3,13,11,1,0,1,1,0,0,0,156,200,78.0,9,14,6,1,23,2301,669,96,109,88.1,46,62,74.2,10,15,66.7,FWMF,fd5888a0
1055,Lesley Ugochukwu,155,2023-2024,19,fr FRA,Chelsea,eng Premier League,12,301,3.3,3,9,5,0,0,0,0,0,0,0,155,183,84.7,3,11,5,0,17,2510,683,79,90,87.8,63,73,86.3,10,11,90.9,MF,1df4a109
1056,Billy Gilmour,155,2019-2020,18,sct SCO,Chelsea,eng Premier League,6,194,2.2,2,4,5,0,0,0,0,0,0,0,155,173,89.6,4,6,1,0,11,2643,649,72,79,91.1,64,67,95.5,14,18,77.8,MF,df10e27c
1057,Oscar Bobb,155,2023-2024,20,no NOR,Manchester City,eng Premier League,14,302,3.4,2,12,21,1,1,2,1,0,0,0,155,177,87.6,9,3,19,1,25,2056,478,101,107,94.4,44,51,86.3,4,4,100.0,FWMF,eed2427e
1058,Luke Thomas,154,2019-2020,18,eng ENG,Leicester City,eng Premier League,3,267,3.0,3,0,0,0,1,1,0,0,0,0,154,196,78.6,10,10,9,8,13,2412,729,86,99,86.9,52,69,75.4,14,20,70.0,MFDF,fc027d02
1059,Daniel Sturridge,153,2018-2019,28,eng ENG,Liverpool,eng Premier League,18,509,5.7,4,14,17,2,1,3,2,0,0,0,153,196,78.1,8,14,10,0,31,2263,633,87,104,83.7,42,51,82.4,13,16,81.3,FWMF,1b7ec703
1060,Josh Onomah,153,2020-2021,23,eng ENG,Fulham,eng Premier League,11,374,4.2,4,7,13,0,0,0,0,0,0,0,153,172,89.0,1,15,3,0,19,2365,566,78,87,89.7,56,60,93.3,11,13,84.6,MF,6612cd8c
1061,Danny Drinkwater,152,2019-2020,29,eng ENG,2 Teams,eng Premier League,5,317,3.5,5,0,11,0,0,0,0,0,0,0,152,193,78.8,1,18,1,0,20,2648,592,72,86,83.7,62,68,91.2,16,25,64.0,MF,2649ff32
1062,Oghenekaro Etebo,151,2021-2022,25,ng NGA,Watford,eng Premier League,9,401,4.5,4,5,3,0,0,0,0,0,0,0,151,168,89.9,2,15,3,1,16,3035,923,50,54,92.6,79,85,92.9,21,26,80.8,MF,b579e83d
1063,Wout Weghorst,151,2022-2023,29,nl NED,Manchester Utd,eng Premier League,17,797,8.9,10,7,3,0,1,1,0,0,0,0,151,207,72.9,14,8,1,0,17,1773,457,95,121,78.5,31,40,77.5,5,13,38.5,FWMF,c4e87b8b
1064,Leon Bailey,150,2021-2022,23,jm JAM,Aston Villa,eng Premier League,18,761,8.5,7,11,2,1,2,3,1,0,0,0,150,226,66.4,7,6,9,1,24,2354,518,76,95,80.0,47,66,71.2,15,36,41.7,FWMF,3a233281
1065,Alejandro Garnacho,150,2022-2023,18,ar ARG,Manchester Utd,eng Premier League,19,569,6.3,5,14,9,3,2,5,3,0,0,0,150,187,80.2,3,2,2,0,12,1802,233,113,131,86.3,27,30,90.0,4,5,80.0,FWMF,7aa8adfe
1066,Nicolò Zaniolo,150,2023-2024,24,it ITA,Aston Villa,eng Premier League,25,839,9.3,9,16,5,2,0,2,2,0,0,0,150,228,65.8,10,17,5,0,30,2141,550,94,119,79.0,44,62,71.0,6,15,40.0,FWMF,9907b1c8
1067,Naouirou Ahamada,150,2023-2024,21,fr FRA,Crystal Palace,eng Premier League,20,349,3.9,0,20,14,0,0,0,0,0,0,0,150,187,80.2,1,12,0,0,25,2455,628,76,89,85.4,59,69,85.5,10,14,71.4,MFFW,a6c58494
1068,Elliot Anderson,150,2022-2023,19,eng ENG,Newcastle Utd,eng Premier League,22,410,4.6,3,19,12,0,1,1,0,0,0,0,150,198,75.8,9,15,4,0,24,2043,599,90,104,86.5,44,56,78.6,5,10,50.0,MFFW,de31038e
1069,Amad Diallo,149,2023-2024,21,ci CIV,Manchester Utd,eng Premier League,9,390,4.3,3,6,8,1,1,2,1,0,0,0,149,170,87.6,10,6,3,0,10,1931,279,105,115,91.3,32,37,86.5,4,5,80.0,FWMF,9dc96f10
1070,Danilo,148,2022-2023,21,br BRA,Nott'ham Forest,eng Premier League,13,976,10.8,12,1,3,3,2,5,3,0,0,0,148,235,63.0,9,24,7,0,34,2539,979,77,97,79.4,53,73,72.6,16,34,47.1,MF,a816dbfb
1071,Morgan Rogers,147,2023-2024,21,eng ENG,Aston Villa,eng Premier League,11,638,7.1,8,3,3,3,1,4,3,0,0,0,147,195,75.4,9,16,12,0,28,2253,847,77,99,77.8,50,60,83.3,12,14,85.7,MFFW,2e5915f1
1072,Manuel Lanzini,146,2022-2023,29,ar ARG,West Ham,eng Premier League,10,252,2.8,2,8,28,1,0,1,1,0,0,0,146,175,83.4,1,13,3,0,19,2221,522,82,94,87.2,48,53,90.6,11,17,64.7,MFFW,26f6dca8
1073,Steven Bergwijn,144,2021-2022,23,nl NED,Tottenham,eng Premier League,25,565,6.3,4,21,7,3,1,4,3,0,0,0,144,177,81.4,8,9,6,0,17,1756,392,98,113,86.7,30,38,78.9,4,7,57.1,FWMF,a29b1131
1074,Saman Ghoddos,143,2021-2022,27,ir IRN,Brentford,eng Premier League,17,536,6.0,4,13,16,1,1,2,1,0,0,0,143,216,66.2,6,11,11,3,25,2264,747,79,105,75.2,50,66,75.8,11,32,34.4,MFDF,f7b1d4e0
1075,Pape Matar Sarr,141,2022-2023,19,sn SEN,Tottenham,eng Premier League,11,218,2.4,2,9,15,0,1,1,0,0,0,0,141,154,91.6,2,9,0,0,13,2130,449,70,73,95.9,62,65,95.4,3,8,37.5,MFFW,feb5d972
1076,Samir Nasri,140,2018-2019,31,fr FRA,West Ham,eng Premier League,5,245,2.7,3,2,4,0,2,2,0,0,0,0,140,160,87.5,6,14,5,1,17,1877,445,84,92,91.3,29,31,93.5,12,18,66.7,MF,165bed61
1077,Ken Sema,140,2021-2022,27,se SWE,Watford,eng Premier League,18,852,9.5,7,11,13,0,0,0,0,0,0,0,140,224,62.5,12,7,3,2,8,2280,758,84,108,77.8,35,53,66.0,15,39,38.5,MFFW,1770bd68
1078,Ryan Giles,140,2023-2024,23,eng ENG,Luton Town,eng Premier League,11,503,5.6,5,6,9,0,0,0,0,0,0,0,140,218,64.2,5,10,10,6,17,2294,949,74,85,87.1,56,85,65.9,9,39,23.1,DFMF,73b1d65b
1079,Gonçalo Guedes,138,2022-2023,25,pt POR,Wolves,eng Premier League,13,707,7.9,8,5,4,1,1,2,1,0,0,0,138,201,68.7,9,11,8,2,16,2297,526,82,97,84.5,40,56,71.4,13,26,50.0,FWMF,e6bc67d7
1080,Joe Willock,136,2023-2024,23,eng ENG,Newcastle Utd,eng Premier League,9,419,4.7,5,4,0,1,0,1,1,0,0,0,136,164,82.9,7,16,3,1,17,2092,658,76,82,92.7,42,55,76.4,12,16,75.0,MF,a3b03921
1081,Jacob Brown,136,2023-2024,25,sct SCO,Luton Town,eng Premier League,19,1019,11.3,12,7,2,2,0,2,2,0,0,0,136,247,55.1,8,6,3,1,19,1865,626,91,127,71.7,35,56,62.5,6,24,25.0,MFFW,ca18c8f1
1082,Jóhann Berg Guðmundsson,134,2019-2020,28,is ISL,Burnley,eng Premier League,12,621,6.9,6,6,3,1,1,2,1,0,0,0,134,196,68.4,13,5,12,10,6,2433,653,72,87,82.8,34,48,70.8,22,51,43.1,MF,f72293fc
1083,Julio Enciso,132,2023-2024,19,py PAR,Brighton,eng Premier League,12,475,5.3,5,7,1,0,2,2,0,0,0,0,132,178,74.2,9,12,4,2,21,1842,562,77,89,86.5,41,58,70.7,9,12,75.0,MFFW,9cfbad36
1084,Todd Cantwell,130,2021-2022,23,eng ENG,Norwich City,eng Premier League,8,441,4.9,5,3,4,0,0,0,0,0,0,0,130,157,82.8,2,13,2,0,10,1766,386,84,93,90.3,35,43,81.4,5,10,50.0,FWMF,f63d8a4b
1085,Naby Keïta,129,2022-2023,27,gn GUI,Liverpool,eng Premier League,8,293,3.3,3,5,2,0,0,0,0,0,0,0,129,168,76.8,8,15,2,0,15,1820,590,75,87,86.2,43,54,79.6,6,8,75.0,MF,f25c8e3a
1086,Hamza Choudhury,128,2021-2022,23,bd BAN,Leicester City,eng Premier League,6,285,3.2,4,2,25,0,0,0,0,0,0,0,128,156,82.1,0,3,0,0,5,2041,543,68,74,91.9,47,54,87.0,10,18,55.6,DFMF,7d2d3329
1087,Jesse Lingard,128,2021-2022,28,eng ENG,Manchester Utd,eng Premier League,16,367,4.1,2,14,16,2,0,2,2,0,0,0,128,153,83.7,8,11,2,0,13,1533,382,75,85,88.2,33,41,80.5,0,4,0.0,FWMF,810e3c74
1088,Giovani Lo Celso,128,2021-2022,25,ar ARG,Tottenham,eng Premier League,9,238,2.6,2,7,4,0,0,0,0,0,0,0,128,161,79.5,5,10,0,0,8,1757,346,76,81,93.8,28,40,70.0,10,13,76.9,MFFW,d7553721
1089,Carlos Sánchez,127,2018-2019,32,co COL,West Ham,eng Premier League,7,245,2.7,2,5,0,0,0,0,0,0,0,0,127,143,88.8,2,12,1,0,14,2500,587,41,49,83.7,56,59,94.9,25,30,83.3,MF,50b51fac
1090,Bryan Gil,127,2023-2024,22,es ESP,Tottenham,eng Premier League,11,209,2.3,2,9,13,0,0,0,0,0,0,0,127,157,80.9,4,6,8,1,16,1809,344,69,81,85.2,54,62,87.1,1,2,50.0,FWMF,7b5ab7f2
1091,Vicente Iborra,127,2018-2019,30,es ESP,Leicester City,eng Premier League,8,229,2.5,3,5,9,0,0,0,0,0,0,0,127,147,86.4,1,18,1,0,16,2433,649,55,63,87.3,42,45,93.3,26,30,86.7,MF,ad1ffcfd
1092,Danny Welbeck,125,2019-2020,28,eng ENG,Watford,eng Premier League,18,822,9.1,8,10,2,2,0,2,2,0,0,0,125,168,74.4,3,8,3,0,10,1459,320,80,101,79.2,34,45,75.6,2,3,66.7,FWMF,ce5143da
1093,Emmanuel Dennis,124,2022-2023,24,ng NGA,Nott'ham Forest,eng Premier League,19,720,8.0,6,13,12,2,2,4,2,0,0,0,124,183,67.8,7,7,4,2,17,1860,382,72,93,77.4,40,58,69.0,8,11,72.7,FWMF,2c44a35d
1094,Morgan Sanson,123,2021-2022,26,fr FRA,Aston Villa,eng Premier League,10,356,4.0,3,7,17,0,0,0,0,0,0,0,123,162,75.9,1,18,1,1,21,1851,506,72,78,92.3,40,53,75.5,6,15,40.0,MF,6e7f1353
1095,Ayoze Pérez,123,2021-2022,28,es ESP,Leicester City,eng Premier League,14,445,4.9,6,8,18,2,3,5,2,0,0,0,123,156,78.8,11,12,5,0,18,1552,421,75,89,84.3,29,35,82.9,5,8,62.5,MFFW,819aa8e7
1096,Oliver Skipp,122,2018-2019,17,eng ENG,Tottenham,eng Premier League,8,220,2.4,2,6,13,0,0,0,0,0,0,0,122,145,84.1,1,10,0,0,8,1960,441,63,75,84.0,46,48,95.8,9,11,81.8,MF,6250083a
1097,Fabio Vieira,122,2023-2024,23,pt POR,Arsenal,eng Premier League,11,297,3.3,2,9,13,1,2,3,0,1,1,0,122,150,81.3,5,12,6,1,15,1969,421,67,75,89.3,44,53,83.0,9,17,52.9,MFFW,6412cc03
1098,Deniz Undav,122,2022-2023,26,de GER,Brighton,eng Premier League,22,628,7.0,6,16,14,5,0,5,5,0,0,0,122,164,74.4,8,8,3,0,10,1504,325,84,100,84.0,25,36,69.4,5,10,50.0,FWMF,dd549382
1099,Conor Hourihane,122,2020-2021,29,ie IRL,Aston Villa,eng Premier League,4,225,2.5,3,1,11,1,1,2,1,0,0,0,122,164,74.4,5,13,2,1,23,2253,523,49,51,96.1,53,71,74.6,15,31,48.4,MF,fcab00a0
1100,David Brooks,121,2019-2020,22,wls WAL,Bournemouth,eng Premier League,9,506,5.6,8,1,0,1,0,1,1,0,0,0,121,180,67.2,6,10,10,5,17,1700,574,68,86,79.1,34,45,75.6,9,26,34.6,MFFW,dc4cae05
1101,Mike Trésor,120,2023-2024,24,be BEL,Burnley,eng Premier League,16,420,4.7,3,13,9,0,0,0,0,0,0,0,120,180,66.7,7,6,2,0,10,1614,462,73,86,84.9,32,52,61.5,4,19,21.1,FWMF,b2a81fc6
1102,Callum Robinson,120,2019-2020,24,ie IRL,Sheffield Utd,eng Premier League,16,676,7.5,9,7,7,1,1,2,1,0,0,0,120,154,77.9,4,7,3,1,10,1730,243,71,78,91.0,37,46,80.4,7,16,43.8,FWMF,e75750a3
1103,Jack Colback,119,2022-2023,32,eng ENG,Nott'ham Forest,eng Premier League,11,497,5.5,4,7,7,0,0,0,0,0,0,0,119,143,83.2,2,12,3,1,16,1936,446,61,71,85.9,48,55,87.3,8,11,72.7,MF,963a9201
1104,Ruben Loftus-Cheek,119,2019-2020,23,eng ENG,Chelsea,eng Premier League,7,208,2.3,2,5,4,0,1,1,0,0,0,0,119,133,89.5,1,9,3,0,15,1746,333,74,82,90.2,34,37,91.9,7,8,87.5,MFFW,e97fd090
1105,Morgan Sanson,118,2020-2021,25,fr FRA,Aston Villa,eng Premier League,9,294,3.3,3,6,2,0,0,0,0,0,0,0,118,154,76.6,1,12,3,1,16,1742,504,70,75,93.3,35,45,77.8,9,17,52.9,MF,6e7f1353
1106,Gio Reyna,118,2023-2024,20,us USA,Nott'ham Forest,eng Premier League,9,235,2.6,2,7,4,0,1,1,0,0,0,0,118,140,84.3,7,5,2,0,12,1768,374,69,74,93.2,40,45,88.9,7,13,53.8,FWMF,7fa4e703
