,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
1001,Morgan Gibbs-White,193,2020-2021,20,eng ENG,Wolves,eng Premier League,11,414,4.6,4,7,9,1,0,1,1,0,0,0,193,236,81.8,8,20,3,0,28,2799,646,109,127,85.8,58,69,84.1,14,23,60.9,MFFW,32f60ed8
1002,Saïd Benrahma,193,2023-2024,27,dz ALG,West Ham,eng Premier League,13,620,6.9,5,8,7,0,1,1,0,0,1,1,193,257,75.1,11,11,11,2,28,2587,504,116,138,84.1,56,76,73.7,8,15,53.3,FWMF,5a04fd92
1003,Jacob Ramsey,192,2020-2021,19,eng ENG,Aston Villa,eng Premier League,22,626,7.0,6,16,8,0,0,0,0,0,0,0,192,229,83.8,6,15,1,1,23,3083,765,102,114,89.5,70,78,89.7,14,19,73.7,MF,1544f145
1004,Nampalys Mendy,192,2019-2020,27,sn SEN,Leicester City,eng Premier League,7,291,3.2,4,3,7,0,0,0,0,0,0,0,192,212,90.6,3,16,1,1,13,3013,684,95,102,93.1,74,80,92.5,13,17,76.5,MF,1598599e
1005,Hamza Choudhury,192,2020-2021,22,bd BAN,Leicester City,eng Premier League,10,316,3.5,4,6,21,0,0,0,0,0,0,0,192,239,80.3,0,7,0,0,15,3094,528,94,113,83.2,78,93,83.9,11,18,61.1,MF,7d2d3329
1006,Saša Lukić,192,2022-2023,25,rs SRB,Fulham,eng Premier League,12,412,4.6,4,8,4,0,0,0,0,0,0,0,192,218,88.1,0,20,2,1,13,3180,681,86,97,88.7,91,99,91.9,12,16,75.0,MF,c6e8cf1f
1007,Luca Koleosho,192,2023-2024,18,it ITA,Burnley,eng Premier League,15,974,10.8,13,2,0,1,1,2,1,0,0,0,192,274,70.1,11,9,6,2,19,2509,475,126,153,82.4,56,79,70.9,2,9,22.2,MFFW,fc076f78
1008,Jamie Shackleton,191,2020-2021,20,eng ENG,Leeds United,eng Premier League,13,461,5.1,3,10,18,0,0,0,0,0,0,0,191,214,89.3,2,10,0,0,11,2655,586,115,124,92.7,66,69,95.7,5,8,62.5,MFDF,8d03ca5a
1009,Kamaldeen Sulemana,189,2022-2023,20,gh GHA,Southampton,eng Premier League,18,966,10.7,10,8,0,2,1,3,2,0,0,0,189,265,71.3,14,11,10,1,36,2901,617,103,128,80.5,59,75,78.7,16,31,51.6,FWMF,a62f8bf1
