,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Sh,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
801,Jáder Durán,7,2022-2023,18,co COL,Aston Villa,eng Premier League,12,136,1.5,0,12,5,0,0,0,0,0,0,0,7,0.00,0.00,2,28.6,19.8,0,FWMF,414184f7
802,Keane Lewis-Potter,7,2022-2023,21,eng ENG,Brentford,eng Premier League,10,321,3.6,3,7,9,0,1,1,0,0,0,0,7,0.00,0.00,2,28.6,14.1,0,FWMF,41f08ac8
803,Divock Origi,7,2020-2021,25,be BEL,Liverpool,eng Premier League,9,186,2.1,2,7,17,0,0,0,0,0,0,0,7,0.00,0.00,2,28.6,18.5,0,FW,43a166b4
804,Mason Greenwood,7,2018-2019,16,eng ENG,Manchester Utd,eng Premier League,3,117,1.3,1,2,0,0,0,0,0,0,0,0,7,0.00,0.00,4,57.1,13.4,0,FW,58eee997
805,Adama Diakhaby,7,2018-2019,22,fr FRA,Huddersfield,eng Premier League,12,552,6.1,6,6,6,0,0,0,0,0,0,0,7,0.00,0.00,3,42.9,19.1,0,FWMF,65585e3a
806,Ricardo Pereira,7,2020-2021,26,pt POR,Leicester City,eng Premier League,15,959,10.7,10,5,6,0,1,1,0,0,0,0,7,0.00,0.00,4,57.1,20.1,0,DFFW,75a72a99
807,Pablo Fornals,7,2023-2024,27,es ESP,West Ham,eng Premier League,15,426,4.7,4,11,6,0,0,0,0,0,0,0,7,0.00,0.00,3,42.9,20.1,0,MFFW,82927de4
808,Alexis Mac Allister,7,2019-2020,20,ar ARG,Brighton,eng Premier League,9,352,3.9,4,5,1,0,0,0,0,0,0,0,7,0.00,0.00,1,14.3,22.5,1,MFFW,83d074ff
809,Andriy Yarmolenko,7,2020-2021,30,ua UKR,West Ham,eng Premier League,15,375,4.2,1,14,10,0,1,1,0,0,0,0,7,0.00,0.00,2,28.6,20.3,0,FWMF,849c826a
810,Manor Solomon,7,2023-2024,24,il ISR,Tottenham,eng Premier League,5,199,2.2,2,3,2,0,2,2,0,0,0,0,7,0.00,0.00,1,14.3,16.8,0,FW,886f9aac
811,Youssef Chermiti,7,2023-2024,19,pt POR,Everton,eng Premier League,18,208,2.3,1,17,18,0,0,0,0,0,0,0,7,0.00,0.00,2,28.6,14.6,0,FW,890f108d
