,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos,-9999
1,Aaron Wan-Bissaka,129,2018-2019,20,cd COD,Crystal Palace,eng Premier League,35,3134,34.8,35,0,0,0,3,3,0,0,0,0,129,90,90,33,6,55,65,84.6,10,49,16,33,84,213,161,0,DF,9e525177
2,Aaron Wan-Bissaka,129,2019-2020,21,cd COD,Manchester Utd,eng Premier League,35,3070,34.1,34,1,1,0,4,4,0,0,0,0,129,80,71,50,8,64,86,74.4,22,46,13,33,66,195,83,0,DF,9e525177
3,Ricardo Pereira,119,2019-2020,25,pt POR,Leicester City,eng Premier League,28,2520,28.0,28,0,0,3,2,5,3,0,0,0,119,68,65,36,18,53,106,50.0,53,38,6,32,49,168,86,0,DF,75a72a99
4,Ricardo Pereira,118,2018-2019,24,pt POR,Leicester City,eng Premier League,35,3123,34.7,35,0,3,2,6,8,2,0,0,0,118,66,66,40,12,54,112,48.2,58,60,6,54,60,178,130,1,DFFW,75a72a99
5,Luke Ayling,108,2020-2021,28,eng ENG,Leeds United,eng Premier League,38,3399,37.8,38,0,0,0,0,0,0,0,0,0,108,61,69,30,9,49,87,56.3,38,53,36,17,36,144,96,5,DF,420d7c7d
6,Emerson Palmieri,106,2023-2024,28,it ITA,West Ham,eng Premier League,36,3137,34.9,35,1,0,1,2,3,1,0,0,0,106,68,48,42,16,57,90,63.3,33,47,15,32,43,149,96,0,DF,e0bc6fdc
7,César Azpilicueta,105,2018-2019,28,es ESP,Chelsea,eng Premier League,38,3402,37.8,38,0,0,1,5,6,1,0,0,0,105,60,52,40,13,38,67,56.7,29,63,16,47,43,148,91,3,DF,53cad200
8,Tyrick Mitchell,105,2023-2024,23,eng ENG,Crystal Palace,eng Premier League,37,3204,35.6,37,0,0,2,3,5,2,0,0,0,105,60,75,21,9,43,60,71.7,17,63,10,53,26,131,104,0,DFMF,5cbd1eb0
9,Tyrick Mitchell,104,2021-2022,21,eng ENG,Crystal Palace,eng Premier League,36,3101,34.5,35,1,1,0,2,2,0,0,0,0,104,57,67,26,11,46,67,68.7,21,47,5,42,41,145,101,0,DF,5cbd1eb0
10,Wilfred Ndidi,96,2020-2021,23,ng NGA,Leicester City,eng Premier League,26,2176,24.2,25,1,1,1,4,5,1,0,0,0,96,63,45,44,7,26,66,39.4,40,38,11,27,61,157,55,0,MFDF,6b47c5db
11,Marc Cucurella,93,2021-2022,23,es ESP,Brighton,eng Premier League,35,3089,34.3,35,0,0,1,1,2,1,0,0,0,93,62,43,32,18,44,71,62.0,27,42,14,28,30,123,74,0,DF,1daec722
12,Antonee Robinson,93,2023-2024,25,us USA,Fulham,eng Premier League,37,3265,36.3,37,0,0,0,6,6,0,0,0,0,93,58,60,26,7,52,110,47.3,58,56,8,48,80,173,117,3,DF,289601e6
13,Serge Aurier,93,2019-2020,26,ci CIV,Tottenham,eng Premier League,33,2700,30.0,31,2,2,1,5,6,1,0,0,0,93,69,58,27,8,39,69,56.5,30,38,6,32,47,140,98,2,DF,5c2b4f07
