,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
14,Stuart Dallas,93,2021-2022,30,nir NIR,Leeds United,eng Premier League,34,2919,32.4,34,0,0,1,1,2,1,0,0,0,93,55,58,31,4,56,105,53.3,49,45,14,31,57,150,63,2,DFMF,67ca8566
15,James Ward-Prowse,92,2019-2020,24,eng ENG,Southampton,eng Premier League,38,3420,38.0,38,0,0,5,3,8,4,1,3,2,92,48,39,39,14,39,94,41.5,55,48,14,34,60,152,75,1,MFDF,3515d404
16,Pedro Porro,91,2023-2024,23,es ESP,Tottenham,eng Premier League,35,3089,34.3,35,0,1,3,7,10,3,0,0,0,91,63,43,34,14,62,120,51.7,58,63,18,45,34,125,102,3,DF,27d0a506
17,Jonny Castro,91,2019-2020,25,es ESP,Wolves,eng Premier League,35,2887,32.1,33,2,1,2,2,4,2,0,0,0,91,55,54,26,11,29,82,35.4,53,45,10,35,53,144,45,2,MFDF,e28868f3
18,Matty Cash,89,2021-2022,23,pl POL,Aston Villa,eng Premier League,38,3377,37.5,38,0,0,4,3,7,4,0,0,0,89,50,52,34,3,47,78,60.3,31,54,16,38,49,138,100,2,DF,2389cdc2
19,Aaron Wan-Bissaka,88,2020-2021,22,cd COD,Manchester Utd,eng Premier League,34,3060,34.0,34,0,3,2,4,6,2,0,0,0,88,54,53,29,6,32,45,71.1,13,65,17,48,62,150,84,2,DF,9e525177
20,Timothy Castagne,87,2022-2023,26,be BEL,Leicester City,eng Premier League,37,3254,36.2,36,1,1,2,3,5,2,0,0,0,87,44,53,27,7,41,84,48.8,43,50,13,37,43,130,110,0,DF,197640fd
21,César Azpilicueta,86,2019-2020,29,es ESP,Chelsea,eng Premier League,36,3229,35.9,36,0,2,2,6,8,2,0,0,0,86,56,40,32,14,35,69,50.7,34,56,21,35,67,153,94,0,DF,53cad200
22,Chris Basham,85,2019-2020,31,eng ENG,Sheffield Utd,eng Premier League,38,3242,36.0,38,0,0,0,1,1,0,0,0,0,85,48,58,20,7,48,81,59.3,33,38,15,23,77,162,173,1,DF,1aa84968
23,Willy Boly,85,2018-2019,27,ci CIV,Wolves,eng Premier League,36,3167,35.2,36,0,0,4,0,4,4,0,0,0,85,52,49,34,2,34,56,60.7,22,55,32,23,72,157,177,6,DF,a4ac4b8f
24,Nélson Semedo,85,2020-2021,26,pt POR,Wolves,eng Premier League,34,2983,33.1,34,0,2,1,1,2,1,0,0,0,85,48,53,23,9,42,72,58.3,30,30,10,20,41,126,78,2,DFMF,d04b94db
25,Pascal Struijk,84,2022-2023,22,nl NED,Leeds United,eng Premier League,29,2200,24.4,26,3,5,2,1,3,2,0,0,0,84,57,43,31,10,49,77,63.6,28,32,12,20,32,116,70,1,DF,f4d296e4
26,Djibril Sidibé,83,2019-2020,27,fr FRA,Everton,eng Premier League,25,1824,20.3,18,7,6,0,4,4,0,0,0,0,83,44,48,25,10,43,72,59.7,29,19,3,16,40,123,41,0,DFMF,4c5b714f
27,Casemiro,83,2023-2024,31,br BRA,Manchester Utd,eng Premier League,25,1982,22.0,24,1,1,1,2,3,1,0,0,0,83,56,43,32,8,51,106,48.1,55,74,33,41,18,101,71,1,MFDF,4d224fe8
28,Kenny Tete,83,2022-2023,26,nl NED,Fulham,eng Premier League,31,2569,28.5,29,2,1,1,5,6,1,0,0,0,83,46,41,29,13,38,51,74.5,13,48,17,31,52,135,81,1,DF,77d7c96f
29,Kyle Walker-Peters,83,2020-2021,23,eng ENG,Southampton,eng Premier League,30,2645,29.4,30,0,1,0,2,2,0,0,0,0,83,53,56,25,2,34,57,59.6,23,41,10,31,38,121,66,2,DF,984a5a64
30,João Cancelo,83,2021-2022,27,pt POR,Manchester City,eng Premier League,36,3227,35.9,36,0,1,1,7,8,1,0,0,0,83,54,33,35,15,46,91,50.5,45,25,3,22,59,142,45,1,DF,bd6351cd
31,Matt Targett,83,2020-2021,24,eng ENG,Aston Villa,eng Premier League,38,3404,37.8,38,0,0,0,2,2,0,0,0,0,83,39,52,20,11,56,88,63.6,32,40,14,26,55,138,102,1,DF,e514ab62
32,Ryan Fredericks,82,2019-2020,26,eng ENG,West Ham,eng Premier League,27,2237,24.9,25,2,1,0,3,3,0,0,0,0,82,56,59,18,5,41,64,64.1,23,20,10,10,24,106,73,1,DF,c067631c
33,Enda Stevens,81,2019-2020,29,ie IRL,Sheffield Utd,eng Premier League,38,3345,37.2,38,0,0,2,4,6,2,0,0,0,81,46,48,26,7,42,96,43.8,54,27,8,19,35,116,71,3,DF,17d4507a
34,Diogo Dalot,81,2023-2024,24,pt POR,Manchester Utd,eng Premier League,36,3174,35.3,35,1,1,2,3,5,2,0,0,0,81,51,58,12,11,51,74,68.9,23,44,16,28,37,118,111,0,DF,d9565625
35,Mohammed Salisu,80,2021-2022,22,gh GHA,Southampton,eng Premier League,34,2972,33.0,33,1,2,0,0,0,0,0,0,0,80,47,54,22,4,40,65,61.5,25,49,26,23,78,158,158,4,DF,0b33f6ad
36,Andrew Robertson,80,2018-2019,24,sct SCO,Liverpool,eng Premier League,36,3216,35.7,36,0,1,0,11,11,0,0,0,0,80,49,41,31,8,39,70,55.7,31,33,6,27,29,109,57,3,DF,2e4f5f03
37,Nélson Semedo,79,2023-2024,29,pt POR,Wolves,eng Premier League,36,3084,34.3,36,0,0,0,1,1,0,0,0,0,79,48,52,19,8,38,64,59.4,26,44,8,36,36,115,85,1,DFMF,d04b94db
38,Jonny Castro,79,2018-2019,24,es ESP,Wolves,eng Premier League,33,2771,30.8,32,1,1,1,1,2,1,0,0,0,79,43,42,33,4,31,60,51.7,29,45,8,37,60,139,64,2,DFMF,e28868f3
39,Matt Targett,75,2021-2022,25,eng ENG,2 Teams,eng Premier League,33,2871,31.9,33,0,3,1,1,2,1,0,0,0,75,44,54,19,2,48,82,58.5,34,31,13,18,48,123,74,1,DF,e514ab62
40,Ezgjan Alioski,74,2020-2021,28,mk MKD,Leeds United,eng Premier League,36,2461,27.3,29,7,2,2,3,5,2,0,0,0,74,31,38,28,8,32,74,43.2,42,17,2,15,23,97,50,2,DFMF,1a7fcf39
41,Terence Kongolo,74,2018-2019,24,nl NED,Huddersfield,eng Premier League,32,2716,30.2,32,0,2,1,1,2,1,0,0,0,74,46,44,26,4,27,47,57.4,20,42,16,26,65,139,106,1,DF,1f9a3a04
42,Luke Ayling,74,2021-2022,29,eng ENG,Leeds United,eng Premier League,26,2272,25.2,26,0,0,2,2,4,2,0,0,0,74,42,46,23,5,51,97,52.6,46,46,25,21,28,102,52,1,DF,420d7c7d
43,Sol Bamba,74,2018-2019,33,ci CIV,Cardiff City,eng Premier League,28,2474,27.5,28,0,1,4,1,5,4,0,0,0,74,42,44,30,0,31,55,56.4,24,72,32,40,82,156,181,3,DF,5534217d
44,Frederic Guilbert,74,2019-2020,24,fr FRA,Aston Villa,eng Premier League,25,2041,22.7,22,3,6,0,2,2,0,0,0,0,74,43,48,20,6,36,67,53.7,31,33,10,23,49,123,74,2,DFMF,5d8d7454
45,Stuart Dallas,74,2020-2021,29,nir NIR,Leeds United,eng Premier League,38,3409,37.9,38,0,0,8,2,10,8,0,0,0,74,45,46,22,6,30,88,34.1,58,41,3,38,44,118,52,1,MFDF,67ca8566
46,Joël Veltman,74,2021-2022,29,nl NED,Brighton,eng Premier League,34,2874,31.9,33,1,1,1,1,2,1,0,0,0,74,48,47,21,6,21,53,39.6,32,46,16,30,45,119,89,0,DF,dad4b285
47,Lucas Digne,73,2019-2020,26,fr FRA,Everton,eng Premier League,35,3030,33.7,35,0,1,0,7,7,0,0,0,0,73,49,49,19,5,33,68,48.5,35,39,10,29,42,115,108,0,DF,1b84dbe1
48,Marcos Alonso,73,2018-2019,27,es ESP,Chelsea,eng Premier League,31,2759,30.7,31,0,1,2,4,6,2,0,0,0,73,46,44,22,7,33,58,56.9,25,25,2,23,39,112,101,0,DF,f4290206
49,Vladimír Coufal,73,2020-2021,27,cz CZE,West Ham,eng Premier League,34,3054,33.9,34,0,1,0,7,7,0,0,0,0,73,36,50,15,8,52,89,58.4,37,41,7,34,41,114,102,1,DF,fdf3cb77
50,Neco Williams,72,2022-2023,21,wls WAL,Nott'ham Forest,eng Premier League,31,1882,20.9,20,11,2,1,0,1,1,0,0,0,72,47,49,17,6,38,71,53.5,33,33,8,25,33,105,48,0,DF,dd323728
51,Emerson,72,2021-2022,22,br BRA,Tottenham,eng Premier League,31,2286,25.4,26,5,3,1,1,2,1,0,0,0,72,47,50,16,6,36,67,53.7,31,25,2,23,22,94,92,1,DFMF,df8b52a5
52,James Tarkowski,71,2018-2019,25,eng ENG,Burnley,eng Premier League,35,3086,34.3,35,0,1,3,1,4,3,0,0,0,71,36,52,18,1,29,50,58.0,21,72,56,16,42,113,240,2,DF,15ea812b
53,Lucas Digne,71,2018-2019,25,fr FRA,Everton,eng Premier League,35,2965,32.9,33,2,1,4,4,8,4,0,0,0,71,46,45,18,8,28,45,62.2,17,43,9,34,60,131,116,0,DF,1b84dbe1
54,Kieran Trippier,71,2022-2023,31,eng ENG,Newcastle Utd,eng Premier League,38,3341,37.1,38,0,0,1,7,8,1,0,0,0,71,49,36,27,8,46,90,51.1,44,45,15,30,43,114,84,2,DF,21512407
55,Matty Cash,71,2020-2021,22,pl POL,Aston Villa,eng Premier League,28,2372,26.4,28,0,1,0,2,2,0,0,0,0,71,40,43,22,6,41,74,55.4,33,50,11,39,60,131,95,0,DF,2389cdc2
56,Tyrick Mitchell,71,2022-2023,22,eng ENG,Crystal Palace,eng Premier League,36,2891,32.1,34,2,0,0,2,2,0,0,0,0,71,49,43,23,5,30,53,56.6,23,48,11,37,42,113,78,0,DF,5cbd1eb0
57,Rayan Aït-Nouri,71,2023-2024,22,dz ALG,Wolves,eng Premier League,33,2329,25.9,29,4,0,2,1,3,2,0,0,0,71,44,41,23,7,28,49,57.1,21,32,6,26,15,86,38,0,DFMF,9b398aea
58,Nélson Semedo,71,2022-2023,28,pt POR,Wolves,eng Premier League,36,2632,29.2,31,5,1,0,1,1,0,0,0,0,71,42,48,19,4,33,64,51.6,31,42,15,27,29,100,83,2,DF,d04b94db
59,Matt Ritchie,70,2018-2019,28,sct SCO,Newcastle Utd,eng Premier League,36,2928,32.5,35,1,0,2,8,10,1,1,2,1,70,44,35,27,8,19,47,40.4,28,34,11,23,51,121,76,1,DFMF,71ef519e
60,Pascal Groß,70,2023-2024,32,de GER,Brighton,eng Premier League,36,3114,34.6,34,2,0,4,10,14,3,1,1,0,70,46,33,21,16,31,72,43.1,41,41,8,33,22,92,32,3,MFDF,8aec0537
61,Chris Basham,69,2020-2021,32,eng ENG,Sheffield Utd,eng Premier League,31,2576,28.6,31,0,0,0,1,1,0,0,0,0,69,42,41,23,5,41,67,61.2,26,36,15,21,49,118,105,1,DFMF,1aa84968
62,Vitaliy Mykolenko,69,2023-2024,24,ua UKR,Everton,eng Premier League,28,2469,27.4,28,0,4,2,0,2,2,0,0,0,69,38,46,21,2,41,66,62.1,25,36,11,25,36,105,92,0,DF,30d4a2e5
63,Bruno Ecuele Manga,69,2018-2019,30,ga GAB,Cardiff City,eng Premier League,38,3376,37.5,37,1,0,0,1,1,0,0,0,0,69,36,48,16,5,29,58,50.0,29,62,28,34,81,150,179,4,DF,72a0fb65
64,Joel Ward,69,2019-2020,29,eng ENG,Crystal Palace,eng Premier League,29,2382,26.5,27,2,0,0,0,0,0,0,0,0,69,42,48,16,5,39,56,69.6,17,13,6,7,48,117,93,1,DF,8a7ff278
65,Neco Williams,69,2023-2024,22,wls WAL,Nott'ham Forest,eng Premier League,26,1637,18.2,18,8,5,0,1,1,0,0,0,0,69,40,42,18,9,35,56,62.5,21,44,13,31,22,91,53,0,DF,dd323728
66,José Holebas,68,2018-2019,34,gr GRE,Watford,eng Premier League,28,2393,26.6,27,1,3,3,6,9,3,0,0,0,68,40,44,20,4,28,53,52.8,25,27,8,19,21,89,97,0,DF,12aa7661
67,Leander Dendoncker,68,2019-2020,24,be BEL,Wolves,eng Premier League,38,2795,31.1,32,6,0,4,0,4,4,0,0,0,68,31,41,19,8,28,67,41.8,39,39,12,27,38,106,64,2,MFDF,5a7301ae
68,Destiny Udogie,68,2023-2024,20,it ITA,Tottenham,eng Premier League,28,2391,26.6,28,0,0,2,3,5,2,0,0,0,68,33,41,16,11,27,49,55.1,22,27,8,19,37,105,80,5,DF,7cd520e8
69,Cristian Romero,68,2022-2023,24,ar ARG,Tottenham,eng Premier League,27,2364,26.3,26,1,0,0,1,1,0,0,0,0,68,36,42,24,2,29,46,63.0,17,40,18,22,44,112,102,3,DF,a3d94a58
70,Issa Diop,68,2018-2019,21,fr FRA,West Ham,eng Premier League,33,2970,33.0,33,0,5,1,0,1,1,0,0,0,68,38,47,21,0,37,57,64.9,20,58,36,22,64,132,161,4,DF,a712ca2b
71,João Cancelo,68,2020-2021,26,pt POR,Manchester City,eng Premier League,28,2299,25.5,27,1,6,2,3,5,2,0,0,0,68,41,42,19,7,43,83,51.8,40,23,2,21,41,109,33,2,DFMF,bd6351cd
72,Liam Cooper,68,2020-2021,28,sct SCO,Leeds United,eng Premier League,25,2185,24.3,25,0,1,1,0,1,1,0,0,0,68,45,39,27,2,37,59,62.7,22,39,32,7,61,129,70,1,DF,dc64b8b3
73,Kiko Femenía,68,2019-2020,28,es ESP,Watford,eng Premier League,28,2237,24.9,26,2,3,0,0,0,0,0,0,0,68,38,49,17,2,43,80,53.8,37,16,2,14,36,104,49,0,DF,e5d01ecf
74,Timothy Castagne,67,2021-2022,25,be BEL,Leicester City,eng Premier League,27,2127,23.6,22,5,2,1,0,1,1,0,0,0,67,31,38,22,7,27,43,62.8,16,28,9,19,29,96,54,1,DF,197640fd
75,Kieran Trippier,67,2018-2019,27,eng ENG,Tottenham,eng Premier League,27,2276,25.3,26,1,4,1,3,4,1,0,0,0,67,37,43,16,8,37,62,59.7,25,38,5,33,23,90,77,2,DF,21512407
76,Cheikhou Kouyaté,67,2019-2020,29,sn SEN,Crystal Palace,eng Premier League,35,2528,28.1,29,6,3,1,1,2,1,0,0,0,67,32,43,20,4,26,48,54.2,22,35,11,24,43,110,58,1,MFDF,8d3c902d
77,Dan Burn,67,2019-2020,27,eng ENG,Brighton,eng Premier League,34,2880,32.0,33,1,0,0,0,0,0,0,0,0,67,42,35,27,5,25,53,47.2,28,44,20,24,42,109,130,0,DF,b2d31e83
78,Matt Doherty,67,2018-2019,26,ie IRL,Wolves,eng Premier League,38,3144,34.9,35,3,0,4,5,9,4,0,0,0,67,42,48,15,4,35,58,60.3,23,49,7,42,60,127,107,2,DFMF,d557d734
79,Joël Veltman,67,2020-2021,28,nl NED,Brighton,eng Premier League,28,2281,25.3,25,3,5,1,1,2,1,0,0,0,67,33,34,25,8,29,57,50.9,28,24,5,19,33,100,64,0,DF,dad4b285
80,James Tarkowski,66,2019-2020,26,eng ENG,Burnley,eng Premier League,38,3420,38.0,38,0,0,2,2,4,2,0,0,0,66,43,47,19,0,31,54,57.4,23,63,47,16,63,129,204,4,DF,15ea812b
81,James Tarkowski,66,2020-2021,27,eng ENG,Burnley,eng Premier League,36,3240,36.0,36,0,0,1,0,1,1,0,0,0,66,39,52,11,3,25,49,51.0,24,54,42,12,44,110,163,1,DF,15ea812b
82,Marc Cucurella,66,2022-2023,24,es ESP,Chelsea,eng Premier League,24,1671,18.6,21,3,3,0,2,2,0,0,0,0,66,33,40,15,11,30,60,50.0,30,28,8,20,16,82,48,1,DF,1daec722
83,Luke Ayling,66,2022-2023,30,eng ENG,Leeds United,eng Premier League,29,2054,22.8,22,7,4,2,1,3,2,0,0,0,66,37,42,15,9,42,85,49.4,43,34,11,23,26,92,52,2,DF,420d7c7d
84,Cristian Romero,66,2023-2024,25,ar ARG,Tottenham,eng Premier League,33,2790,31.0,33,0,0,5,0,5,5,0,0,0,66,40,35,25,6,32,44,72.7,12,46,22,24,44,110,106,1,DF,a3d94a58
85,Jayden Bogle,66,2023-2024,23,eng ENG,Sheffield Utd,eng Premier League,34,2788,31.0,32,2,1,3,0,3,3,0,0,0,66,36,43,21,2,35,70,50.0,35,42,11,31,32,98,97,0,DF,ae5019e6
86,Jarrad Branthwaite,66,2023-2024,21,eng ENG,Everton,eng Premier League,35,3116,34.6,35,0,2,3,0,3,3,0,0,0,66,32,42,22,2,45,62,72.6,17,51,36,15,50,116,163,2,DF,c1949191
87,Nathan Aké,66,2018-2019,23,nl NED,Bournemouth,eng Premier League,38,3411,37.9,38,0,0,4,0,4,4,0,0,0,66,35,42,21,3,22,35,62.9,13,51,35,16,32,98,241,0,DF,eaeca114
88,James Tarkowski,65,2021-2022,28,eng ENG,Burnley,eng Premier League,35,3106,34.5,35,0,0,1,2,3,1,0,0,0,65,45,47,17,1,33,47,70.2,14,75,61,14,48,113,186,4,DF,15ea812b
89,Jan Bednarek,65,2019-2020,23,pl POL,Southampton,eng Premier League,34,3057,34.0,34,0,2,1,1,2,1,0,0,0,65,38,41,18,6,31,61,50.8,30,44,23,21,77,142,198,4,DF,4115ce4e
90,Serge Aurier,64,2022-2023,29,ci CIV,Nott'ham Forest,eng Premier League,24,1943,21.6,22,2,0,1,0,1,1,0,0,0,64,41,41,18,5,23,33,69.7,10,34,11,23,29,93,75,0,DF,5c2b4f07
91,Tyrick Mitchell,64,2020-2021,20,eng ENG,Crystal Palace,eng Premier League,19,1710,19.0,19,0,11,1,1,2,1,0,0,0,64,35,48,9,7,23,40,57.5,17,29,10,19,21,85,62,1,DF,5cbd1eb0
92,Max Aarons,64,2021-2022,21,eng ENG,Norwich City,eng Premier League,34,2881,32.0,32,2,2,0,2,2,0,0,0,0,64,44,49,15,0,37,55,67.3,18,39,19,20,28,92,96,1,DF,774cf58b
93,Vitinho,64,2023-2024,24,br BRA,Burnley,eng Premier League,32,2314,25.7,26,6,2,0,2,2,0,0,0,0,64,34,36,22,6,43,86,50.0,43,44,6,38,12,76,47,4,DFMF,9295dc1c
94,Rayan Aït-Nouri,64,2021-2022,20,dz ALG,Wolves,eng Premier League,23,1828,20.3,20,3,12,1,2,3,1,0,0,0,64,36,46,15,3,22,44,50.0,22,24,2,22,22,86,39,1,DFMF,9b398aea
95,Calum Chambers,64,2018-2019,23,eng ENG,Fulham,eng Premier League,31,2588,28.8,29,2,2,2,0,2,2,0,0,0,64,36,32,27,5,16,48,33.3,32,37,12,25,69,133,113,4,MFDF,dc6f5bdd
96,Anel Ahmedhodžić,64,2023-2024,24,ba BIH,Sheffield Utd,eng Premier League,31,2649,29.4,29,2,0,2,0,2,2,0,0,0,64,36,48,14,2,30,49,61.2,19,43,26,17,34,98,137,2,DF,eab957a3
97,Vladimír Coufal,64,2023-2024,30,cz CZE,West Ham,eng Premier League,36,3132,34.8,36,0,0,0,7,7,0,0,0,0,64,41,50,12,2,38,75,50.7,37,49,15,34,43,107,97,0,DF,fdf3cb77
98,Lucas Digne,63,2020-2021,27,fr FRA,Everton,eng Premier League,30,2681,29.8,30,0,0,0,7,7,0,0,0,0,63,38,40,16,7,29,54,53.7,25,42,4,38,31,94,87,0,DFMF,1b84dbe1
99,Vitaly Janelt,63,2023-2024,25,de GER,Brentford,eng Premier League,38,3054,33.9,37,1,0,1,3,4,1,0,0,0,63,38,29,25,9,32,64,50.0,32,35,9,26,36,99,64,3,MFDF,8449d35e
100,Alfie Doughty,63,2023-2024,23,eng ENG,Luton Town,eng Premier League,37,2925,32.5,34,3,0,2,8,10,2,0,0,0,63,40,29,18,16,37,82,45.1,45,51,9,42,31,94,43,4,DF,bf33b257
101,Bernardo,62,2018-2019,23,br BRA,Brighton,eng Premier League,22,1752,19.5,19,3,12,0,1,1,0,0,0,0,62,43,43,13,6,31,45,68.9,14,32,13,19,34,96,82,0,DF,17370b95
102,Marc Cucurella,62,2023-2024,25,es ESP,Chelsea,eng Premier League,21,1782,19.8,20,1,6,0,2,2,0,0,0,0,62,38,36,21,5,34,64,53.1,30,36,13,23,22,84,48,0,DF,1daec722
103,Antonee Robinson,62,2022-2023,24,us USA,Fulham,eng Premier League,35,3088,34.3,35,0,0,0,1,1,0,0,0,0,62,38,43,15,4,44,65,67.7,21,49,13,36,53,115,83,3,DF,289601e6
104,George Baldock,62,2019-2020,26,gr GRE,Sheffield Utd,eng Premier League,38,3420,38.0,38,0,0,2,3,5,2,0,0,0,62,43,35,17,10,27,47,57.4,20,26,3,23,34,96,83,3,DF,394854c4
105,Rasmus Kristensen,62,2022-2023,25,dk DEN,Leeds United,eng Premier League,26,1960,21.8,21,5,11,3,1,4,3,0,0,0,62,35,35,21,6,42,76,55.3,34,32,14,18,35,97,61,0,DF,39769cff
106,Shkodran Mustafi,62,2018-2019,26,de GER,Arsenal,eng Premier League,31,2611,29.0,31,0,4,2,0,2,2,0,0,0,62,45,42,17,3,31,40,77.5,9,34,17,17,58,120,168,1,DF,3f2d59fe
107,Cristian Romero,62,2021-2022,23,ar ARG,Tottenham,eng Premier League,22,1844,20.5,21,1,2,1,0,1,1,0,0,0,62,39,39,21,2,22,34,64.7,12,46,21,25,33,95,74,1,DF,a3d94a58
108,Joël Veltman,62,2022-2023,30,nl NED,Brighton,eng Premier League,31,2188,24.3,25,6,2,1,1,2,1,0,0,0,62,32,44,14,4,37,57,64.9,20,27,8,19,19,81,51,0,DF,dad4b285
109,Séamus Coleman,61,2021-2022,32,ie IRL,Everton,eng Premier League,30,2656,29.5,30,0,4,1,0,1,1,0,0,0,61,36,35,16,10,33,51,64.7,18,30,11,19,32,93,80,2,DF,0420d84f
110,James Tarkowski,61,2023-2024,30,eng ENG,Everton,eng Premier League,38,3419,38.0,38,0,0,1,1,2,1,0,0,0,61,42,46,14,1,27,48,56.3,21,82,56,26,56,117,191,2,DF,15ea812b
111,Junior Firpo,61,2021-2022,24,do DOM,Leeds United,eng Premier League,24,1711,19.0,19,5,1,0,2,2,0,0,0,0,61,29,30,26,5,31,59,52.5,28,22,6,16,24,85,37,0,DFMF,24f59bb2
112,Christopher Schindler,61,2018-2019,28,de GER,Huddersfield,eng Premier League,37,3260,36.2,37,0,0,1,0,1,1,0,0,0,61,36,46,14,1,27,47,57.4,20,69,34,35,70,131,138,4,DF,8ae9869d
113,Kyle Walker-Peters,61,2022-2023,25,eng ENG,Southampton,eng Premier League,31,2650,29.4,30,1,1,1,0,1,1,0,0,0,61,32,34,24,3,22,43,51.2,21,47,8,39,27,88,52,0,DF,984a5a64
114,Joe Bryan,61,2018-2019,24,eng ENG,Fulham,eng Premier League,28,2345,26.1,27,1,4,0,1,1,0,0,0,0,61,41,35,21,5,24,42,57.1,18,34,12,22,31,92,82,1,DFMF,af69e7f0
115,Dan Burn,61,2023-2024,31,eng ENG,Newcastle Utd,eng Premier League,33,2726,30.3,32,1,0,2,2,4,2,0,0,0,61,33,37,20,4,26,61,42.6,35,55,25,30,37,98,124,1,DF,b2d31e83
116,Trent Alexander-Arnold,61,2018-2019,19,eng ENG,Liverpool,eng Premier League,29,2462,27.4,27,2,4,1,12,13,1,0,0,0,61,39,31,22,8,36,68,52.9,32,19,3,16,35,96,68,0,DF,cd1acf9d
117,Pervis Estupiñán,61,2022-2023,24,ec ECU,Brighton,eng Premier League,35,2675,29.7,31,4,1,1,5,6,1,0,0,0,61,31,36,19,6,35,60,58.3,25,30,8,22,37,98,37,1,DF,d38fdf53
118,Diego Rico,61,2019-2020,26,es ESP,Bournemouth,eng Premier League,27,2332,25.9,27,0,10,0,4,4,0,0,0,0,61,39,32,24,5,29,59,49.2,30,31,7,24,84,145,91,0,DF,d9ba39fc
119,Pascal Struijk,61,2021-2022,21,nl NED,Leeds United,eng Premier League,29,2055,22.8,22,7,2,1,0,1,1,0,0,0,61,39,34,23,4,30,50,60.0,20,35,23,12,33,94,60,2,DFMF,f4d296e4
120,James Justin,61,2020-2021,22,eng ENG,Leicester City,eng Premier League,23,2070,23.0,23,0,0,2,1,3,2,0,0,0,61,37,38,18,5,20,41,48.8,21,36,10,26,30,91,58,1,DF,fb614c44
