,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
260,Sean Longstaff,991,2023-2024,25,eng ENG,Newcastle Utd,eng Premier League,35,2747,30.5,30,5,0,6,2,8,6,0,0,0,991,1241,79.9,20,82,26,4,145,15314,4980,551,636,86.6,351,430,81.6,62,99,62.6,MF,a2b105e0
261,Billy Gilmour,991,2021-2022,20,sct SCO,Norwich City,eng Premier League,24,1855,20.6,21,3,7,0,1,1,0,0,0,0,991,1243,79.7,25,94,17,3,112,18498,5588,456,514,88.7,357,419,85.2,152,258,58.9,MF,df10e27c
262,Ryan Christie,988,2023-2024,28,sct SCO,Bournemouth,eng Premier League,37,2907,32.3,35,2,0,0,5,5,0,0,0,0,988,1300,76.0,55,118,42,7,167,18802,5120,399,467,85.4,425,510,83.3,143,253,56.5,MF,26ce2263
263,Harrison Reed,988,2022-2023,27,eng ENG,Fulham,eng Premier League,37,2866,31.8,35,2,0,3,4,7,3,0,0,0,988,1281,77.1,35,82,29,11,102,15467,3661,517,612,84.5,355,421,84.3,76,133,57.1,MF,803ae100
264,John Lundstram,987,2019-2020,25,eng ENG,Sheffield Utd,eng Premier League,34,2458,27.3,26,8,1,5,3,8,5,0,0,0,987,1245,79.3,21,70,31,8,122,17119,3711,515,604,85.3,329,383,85.9,119,179,66.5,MF,0df2b165
265,Michael Olise,985,2022-2023,20,fr FRA,Crystal Palace,eng Premier League,37,2749,30.5,31,6,0,2,11,13,2,0,0,0,985,1420,69.4,72,72,53,16,133,16792,5022,518,601,86.2,328,444,73.9,115,273,42.1,FWMF,c4486bac
266,Marc Roca,978,2022-2023,25,es ESP,Leeds United,eng Premier League,32,2315,25.7,29,3,3,1,2,3,1,0,0,0,978,1295,75.5,33,157,17,2,172,16572,6565,495,575,86.1,359,450,79.8,94,201,46.8,MF,da27e268
267,N'Golo Kanté,975,2019-2020,28,fr FRA,Chelsea,eng Premier League,22,1732,19.2,20,2,0,3,0,3,3,0,0,0,975,1166,83.6,27,104,27,10,132,14537,3974,507,569,89.1,333,385,86.5,63,78,80.8,MF,b9fbae28
268,Davy Pröpper,973,2018-2019,26,nl NED,Brighton,eng Premier League,30,2546,28.3,30,0,0,1,1,2,1,0,0,0,973,1243,78.3,19,131,17,1,165,17226,4813,425,508,83.7,414,491,84.3,104,160,65.0,MF,fdd85f94
269,John McGinn,972,2023-2024,28,sct SCO,Aston Villa,eng Premier League,35,2999,33.3,35,0,0,6,4,10,6,0,0,0,972,1223,79.5,44,124,52,14,189,17953,5844,434,489,88.8,396,462,85.7,130,217,59.9,MFFW,90f91999
270,Nampalys Mendy,971,2018-2019,26,sn SEN,Leicester City,eng Premier League,31,2092,23.2,23,8,4,0,0,0,0,0,0,0,971,1097,88.5,5,89,5,2,104,15025,3966,516,559,92.3,336,373,90.1,71,96,74.0,MF,1598599e
271,John Fleck,971,2020-2021,28,sct SCO,Sheffield Utd,eng Premier League,31,2575,28.6,29,2,2,0,2,2,0,0,0,0,971,1245,78.0,33,110,22,5,151,14229,4533,540,593,91.1,296,364,81.3,70,172,40.7,MF,b63e789d
272,Roberto Pereyra,962,2018-2019,27,ar ARG,Watford,eng Premier League,33,2815,31.3,33,0,0,6,1,7,6,0,0,0,962,1192,80.7,34,77,35,4,117,13806,3701,557,620,89.8,272,336,81.0,67,92,72.8,MF,75f2c59f
273,Pedro Neto,962,2020-2021,20,pt POR,Wolves,eng Premier League,31,2550,28.3,30,1,0,5,6,11,5,0,0,0,962,1229,78.3,61,46,37,24,54,13726,2855,590,634,93.1,257,345,74.5,60,138,43.5,FWMF,7ba2eaa9
274,James Garner,958,2023-2024,22,eng ENG,Everton,eng Premier League,37,3004,33.4,34,3,0,1,2,3,1,0,0,0,958,1244,77.0,44,98,24,6,100,16067,4432,464,536,86.6,374,437,85.6,90,185,48.6,MF,4e015693
275,Riyad Mahrez,958,2022-2023,31,dz ALG,Manchester City,eng Premier League,30,1920,21.3,22,8,8,5,10,15,4,1,1,0,958,1166,82.2,52,36,37,7,76,15746,2752,506,567,89.2,355,416,85.3,82,141,58.2,FWMF,892d5bb1
276,Dejan Kulusevski,953,2023-2024,23,se SWE,Tottenham,eng Premier League,36,2762,30.7,31,5,0,8,3,11,8,0,0,0,953,1234,77.2,66,55,73,19,144,13509,3584,610,700,87.1,279,363,76.9,39,72,54.2,FWMF,df3cda47
277,Sead Kolašinac,951,2018-2019,25,ba BIH,Arsenal,eng Premier League,24,1887,21.0,22,2,5,0,5,5,0,0,0,0,951,1229,77.4,31,44,25,9,76,13166,4258,568,649,87.5,290,371,78.2,40,77,51.9,DFMF,3935e52e
278,Kiernan Dewsbury-Hall,950,2021-2022,22,eng ENG,Leicester City,eng Premier League,28,2105,23.4,23,5,8,1,2,3,1,0,0,0,950,1250,76.0,35,103,26,7,132,13947,3778,542,623,87.0,308,394,78.2,55,134,41.0,MF,5c74c0f5
279,Thiago Alcántara,946,2022-2023,31,es ESP,Liverpool,eng Premier League,18,1254,13.9,14,4,0,0,0,0,0,0,0,0,946,1097,86.2,17,110,20,1,120,17219,4988,433,466,92.9,346,392,88.3,136,172,79.1,MF,77e84962
280,Eberechi Eze,945,2020-2021,22,eng ENG,Crystal Palace,eng Premier League,34,2559,28.4,29,5,2,4,6,10,4,0,0,0,945,1188,79.5,43,70,32,3,127,13623,3996,538,596,90.3,286,351,81.5,62,131,47.3,MF,ae4fc6a4
281,Mohamed Elneny,944,2020-2021,28,eg EGY,Arsenal,eng Premier League,23,1544,17.2,17,6,13,1,0,1,1,0,0,0,944,1019,92.6,4,77,5,0,99,16544,4034,387,411,94.2,478,497,96.2,64,82,78.0,MF,47a34c4f
282,Sean Longstaff,943,2022-2023,24,eng ENG,Newcastle Utd,eng Premier League,33,2518,28.0,28,5,0,1,4,5,1,0,0,0,943,1163,81.1,23,80,21,5,116,15457,4299,470,538,87.4,362,415,87.2,78,129,60.5,MF,a2b105e0
283,Chris Basham,939,2020-2021,32,eng ENG,Sheffield Utd,eng Premier League,31,2576,28.6,31,0,0,0,1,1,0,0,0,0,939,1153,81.4,11,50,14,6,82,14844,4412,493,557,88.5,364,426,85.4,62,116,53.4,DFMF,1aa84968
284,Dwight McNeil,936,2020-2021,20,eng ENG,Burnley,eng Premier League,36,3069,34.1,34,2,0,2,5,7,2,0,0,0,936,1372,68.2,48,76,39,21,101,16469,4663,449,522,86.0,302,401,75.3,136,313,43.5,MF,fc15fb84
285,Son Heung-min,928,2021-2022,29,kr KOR,Tottenham,eng Premier League,35,3006,33.4,35,0,0,23,7,30,23,0,0,0,928,1219,76.1,72,33,42,4,90,12453,3148,569,623,91.3,239,316,75.6,48,151,31.8,MFFW,92e7e919
286,Wilfried Zaha,928,2019-2020,26,ci CIV,Crystal Palace,eng Premier League,38,3280,36.4,37,1,0,4,3,7,4,0,0,0,928,1188,78.1,36,62,70,12,146,13537,3574,547,648,84.4,277,335,82.7,63,87,72.4,FWMF,b2bc3b1f
287,Josh Brownhill,927,2020-2021,24,eng ENG,Burnley,eng Premier League,33,2813,31.3,32,1,1,0,1,1,0,0,0,0,927,1198,77.4,18,64,16,2,83,12848,3119,561,644,87.1,252,330,76.4,57,113,50.4,MF,47369df8
288,Djibril Sidibé,924,2019-2020,27,fr FRA,Everton,eng Premier League,25,1824,20.3,18,7,6,0,4,4,0,0,0,0,924,1205,76.7,19,56,20,13,86,15657,5646,442,515,85.8,381,485,78.6,81,133,60.9,DFMF,4c5b714f
289,Eric Dier,923,2018-2019,24,eng ENG,Tottenham,eng Premier League,20,1506,16.7,18,2,4,3,0,3,3,0,0,0,923,1093,84.4,8,76,14,1,95,15766,4675,412,462,89.2,416,470,88.5,70,114,61.4,MFDF,ac861941
290,Eberechi Eze,923,2022-2023,24,eng ENG,Crystal Palace,eng Premier League,38,2636,29.3,30,8,0,10,4,14,9,1,1,0,923,1178,78.4,57,88,35,2,131,14106,3902,531,607,87.5,294,353,83.3,67,148,45.3,MFFW,ae4fc6a4
291,Moussa Sissoko,922,2021-2022,31,fr FRA,2 Teams,eng Premier League,36,3220,35.8,36,0,1,2,1,3,2,0,0,0,922,1188,77.6,37,95,24,11,116,14966,4705,469,570,82.3,321,398,80.7,89,131,67.9,MF,2acd49b9
292,Boubacar Kamara,922,2023-2024,23,fr FRA,Aston Villa,eng Premier League,20,1652,18.4,20,0,0,0,1,1,0,0,0,0,922,1035,89.1,20,107,12,0,83,14037,3978,521,560,93.0,319,344,92.7,56,82,68.3,MF,cc77354e
293,Nemanja Matić,921,2020-2021,31,rs SRB,Manchester Utd,eng Premier League,20,1106,12.3,12,8,17,0,0,0,0,0,0,0,921,1026,89.8,8,78,11,1,86,16133,4698,409,442,92.5,404,432,93.5,88,108,81.5,MF,eb7822d7
294,Nélson Semedo,916,2021-2022,27,pt POR,Wolves,eng Premier League,25,2131,23.7,25,0,4,0,1,1,0,0,0,0,916,1169,78.4,18,62,12,2,78,12766,4408,567,628,90.3,290,367,79.0,31,92,33.7,MFDF,d04b94db
295,Joe Bryan,915,2018-2019,24,eng ENG,Fulham,eng Premier League,28,2345,26.1,27,1,4,0,1,1,0,0,0,0,915,1293,70.8,24,79,22,15,118,15199,6931,442,512,86.3,388,517,75.0,70,190,36.8,DFMF,af69e7f0
296,Andre-Frank Zambo Anguissa,913,2018-2019,22,cm CMR,Fulham,eng Premier League,22,1517,16.9,16,6,4,0,0,0,0,0,0,0,913,1048,87.1,7,100,6,1,112,13982,4366,493,526,93.7,345,400,86.3,49,65,75.4,MF,6bb2c084
297,Rodrigo Bentancur,912,2021-2022,24,uy URU,Tottenham,eng Premier League,17,1361,15.1,16,1,0,0,4,4,0,0,0,0,912,1019,89.5,15,81,4,2,76,14966,3399,420,454,92.5,384,409,93.9,64,88,72.7,MF,3b8674e6
298,Andreas Pereira,912,2023-2024,27,br BRA,Fulham,eng Premier League,37,2613,29.0,34,3,1,3,7,10,3,0,0,0,912,1295,70.4,84,95,34,11,138,16256,5305,436,500,87.2,309,400,77.3,133,289,46.0,MF,6639e500
299,Nemanja Matić,911,2021-2022,32,rs SRB,Manchester Utd,eng Premier League,23,1382,15.4,16,7,10,0,4,4,0,0,0,0,911,1053,86.5,13,97,7,2,98,15189,4882,447,493,90.7,344,384,89.6,88,110,80.0,MF,eb7822d7
300,Philip Billing,909,2018-2019,22,dk DEN,Huddersfield,eng Premier League,27,2188,24.3,25,2,1,2,0,2,2,0,0,0,909,1261,72.1,22,69,16,9,101,16703,4691,408,489,83.4,330,455,72.5,136,236,57.6,MF,d328a254
301,Allan,908,2020-2021,29,br BRA,Everton,eng Premier League,24,2051,22.8,23,1,2,0,0,0,0,0,0,0,908,1068,85.0,17,88,16,1,92,14950,4370,430,468,91.9,354,405,87.4,82,116,70.7,MF,cc700722
302,Lucas Paquetá,907,2022-2023,24,br BRA,West Ham,eng Premier League,28,2151,23.9,27,1,1,4,3,7,3,1,1,0,907,1157,78.4,32,98,30,3,147,14158,4393,476,559,85.2,324,394,82.2,68,104,65.4,MF,9b6f7fd5
303,James Rodríguez,901,2020-2021,29,co COL,Everton,eng Premier League,23,1764,19.6,21,2,1,6,4,10,6,0,0,0,901,1149,78.4,40,103,38,2,133,16113,4879,422,485,87.0,292,342,85.4,141,233,60.5,FWMF,715bf047
304,Curtis Jones,900,2020-2021,19,eng ENG,Liverpool,eng Premier League,24,1179,13.1,13,11,12,1,2,3,1,0,0,0,900,983,91.6,12,87,23,1,89,12828,2687,534,569,93.8,280,294,95.2,41,53,77.4,MF,4fb9c88f
305,Leandro Trossard,898,2021-2022,26,be BEL,Brighton,eng Premier League,34,2805,31.2,32,2,1,8,3,11,7,1,1,0,898,1188,75.6,47,71,53,3,154,14462,3283,479,569,84.2,282,357,79.0,90,130,69.2,FWMF,38ceb24a
