,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
201,Cole Palmer,1125,2023-2024,21,eng ENG,2 Teams,eng Premier League,34,2618,29.1,29,5,2,22,11,33,13,9,9,0,1125,1420,79.2,72,136,69,5,197,18673,5642,576,638,90.3,409,482,84.9,101,186,54.3,FWMF,dc7f8a28
202,N'Golo Kanté,1121,2021-2022,30,fr FRA,Chelsea,eng Premier League,26,1773,19.7,21,5,1,2,4,6,2,0,0,0,1121,1308,85.7,24,105,29,0,159,16188,4538,630,695,90.6,397,450,88.2,43,61,70.5,MF,b9fbae28
203,Manuel Lanzini,1118,2021-2022,28,ar ARG,West Ham,eng Premier League,30,1786,19.8,19,11,6,5,3,8,2,3,3,0,1118,1237,90.4,23,87,22,3,119,16115,3945,642,678,94.7,372,407,91.4,52,77,67.5,MFFW,26f6dca8
204,Ashley Westwood,1118,2018-2019,28,eng ENG,Burnley,eng Premier League,34,2824,31.4,31,3,3,2,7,9,2,0,0,0,1118,1525,73.3,42,127,41,11,175,20683,6536,441,517,85.3,474,586,80.9,157,314,50.0,MF,495945ef
205,Pascal Struijk,1118,2020-2021,20,nl NED,Leeds United,eng Premier League,27,2075,23.1,22,5,10,1,0,1,1,0,0,0,1118,1301,85.9,4,53,2,1,71,21896,7066,343,390,87.9,653,700,93.3,106,176,60.2,DFMF,f4d296e4
206,Casemiro,1114,2022-2023,30,br BRA,Manchester Utd,eng Premier League,28,2124,23.6,24,4,0,4,3,7,4,0,0,0,1114,1439,77.4,28,136,23,4,152,19801,7351,515,614,83.9,446,545,81.8,126,204,61.8,MF,4d224fe8
207,Dani Ceballos,1114,2019-2020,22,es ESP,Arsenal,eng Premier League,24,1692,18.8,18,6,4,0,2,2,0,0,0,0,1114,1329,83.8,28,120,29,2,174,19951,5446,482,523,92.2,479,531,90.2,121,202,59.9,MF,c0617e2b
208,Paul Pogba,1112,2020-2021,27,fr FRA,Manchester Utd,eng Premier League,26,1897,21.1,21,5,3,3,3,6,3,0,0,0,1112,1367,81.3,26,132,26,1,139,19406,4987,541,617,87.7,399,468,85.3,131,187,70.1,MFFW,867239d3
209,Tyler Adams,1108,2022-2023,23,us USA,Leeds United,eng Premier League,24,2156,24.0,24,0,0,0,0,0,0,0,0,0,1108,1343,82.5,24,110,13,0,136,16592,5061,607,686,88.5,390,460,84.8,63,107,58.9,MF,2b09d998
210,Leander Dendoncker,1108,2019-2020,24,be BEL,Wolves,eng Premier League,38,2795,31.1,32,6,0,4,0,4,4,0,0,0,1108,1339,82.7,9,46,3,1,68,19473,4802,461,552,83.5,501,568,88.2,104,124,83.9,MFDF,5a7301ae
211,Mason Mount,1108,2019-2020,20,eng ENG,Chelsea,eng Premier League,37,2867,31.9,32,5,1,7,5,12,7,0,0,0,1108,1394,79.5,51,101,34,5,138,14894,3978,689,767,89.8,254,326,77.9,65,131,49.6,MFFW,9674002f
212,Nemanja Matić,1106,2019-2020,30,rs SRB,Manchester Utd,eng Premier League,21,1581,17.6,18,3,6,0,2,2,0,0,0,0,1106,1273,86.9,15,120,11,2,121,18157,5264,543,583,93.1,437,482,90.7,87,130,66.9,MF,eb7822d7
213,Jefferson Lerma,1104,2019-2020,24,co COL,Bournemouth,eng Premier League,33,2703,30.0,31,2,1,1,2,3,1,0,0,0,1104,1415,78.0,12,136,15,0,137,19745,6712,498,591,84.3,445,528,84.3,132,220,60.0,MF,9b5ce51a
214,John McGinn,1102,2020-2021,25,sct SCO,Aston Villa,eng Premier League,37,3330,37.0,37,0,0,3,5,8,3,0,0,0,1102,1439,76.6,42,199,36,6,221,21328,7785,445,520,85.6,441,532,82.9,173,278,62.2,MF,90f91999
215,Jonny Castro,1099,2018-2019,24,es ESP,Wolves,eng Premier League,33,2771,30.8,32,1,1,1,1,2,1,0,0,0,1099,1405,78.2,31,36,22,7,75,14776,4550,692,777,89.1,308,398,77.4,43,92,46.7,DFMF,e28868f3
216,João Palhinha,1098,2023-2024,28,pt POR,Fulham,eng Premier League,33,2699,30.0,31,2,0,4,1,5,4,0,0,0,1098,1333,82.4,13,96,7,1,97,19131,5348,522,586,89.1,449,503,89.3,101,163,62.0,MF,a78ff07f
217,Jonjo Shelvey,1092,2020-2021,28,eng ENG,Newcastle Utd,eng Premier League,30,2617,29.1,29,1,3,1,3,4,1,0,0,0,1092,1499,72.8,37,143,21,4,132,23397,7464,389,457,85.1,450,552,81.5,227,416,54.6,MF,3727dd3c
218,Luka Milivojević,1091,2020-2021,29,rs SRB,Crystal Palace,eng Premier League,31,2359,26.2,27,4,1,1,1,2,0,1,2,1,1091,1341,81.4,21,117,10,1,120,19143,6716,485,553,87.7,453,521,86.9,115,187,61.5,MF,2ce2508a
219,Pascal Struijk,1089,2021-2022,21,nl NED,Leeds United,eng Premier League,29,2055,22.8,22,7,2,1,0,1,1,0,0,0,1089,1278,85.2,11,62,1,0,86,20168,6807,372,423,87.9,616,665,92.6,85,148,57.4,DFMF,f4d296e4
220,Mathias Jensen,1088,2022-2023,26,dk DEN,Brentford,eng Premier League,37,2803,31.1,37,0,0,5,6,11,5,0,0,0,1088,1566,69.5,48,117,38,16,141,21665,8457,471,559,84.3,398,555,71.7,191,372,51.3,MF,0f134faf
221,Vitaly Janelt,1088,2023-2024,25,de GER,Brentford,eng Premier League,38,3054,33.9,37,1,0,1,3,4,1,0,0,0,1088,1398,77.8,37,107,32,15,123,17534,5211,579,666,86.9,394,496,79.4,84,156,53.8,MFDF,8449d35e
222,Jack Cork,1083,2018-2019,29,eng ENG,Burnley,eng Premier League,37,3312,36.8,37,0,0,1,2,3,1,0,0,0,1083,1348,80.3,18,105,18,3,99,17655,3998,537,619,86.8,378,458,82.5,104,169,61.5,MF,74e12f1e
223,Lucas Paquetá,1082,2023-2024,25,br BRA,West Ham,eng Premier League,31,2622,29.1,31,0,0,4,6,10,2,2,2,0,1082,1465,73.9,43,143,50,8,187,16561,5842,598,714,83.8,334,435,76.8,95,173,54.9,FWMF,9b6f7fd5
224,Héctor Bellerín,1080,2020-2021,25,es ESP,Arsenal,eng Premier League,25,2089,23.2,24,1,9,1,2,3,1,0,0,0,1080,1324,81.6,20,69,26,9,108,15904,4280,603,676,89.2,416,497,83.7,31,54,57.4,DFMF,f874dd44
225,Kevin De Bruyne,1078,2020-2021,29,be BEL,Manchester City,eng Premier League,25,1997,22.2,23,2,4,6,12,18,4,2,3,1,1078,1429,75.4,77,125,76,10,213,18890,5626,509,593,85.8,402,498,80.7,131,222,59.0,MF,e46012d4
226,Aaron Mooy,1073,2018-2019,27,au AUS,Huddersfield,eng Premier League,29,2330,25.9,25,4,0,3,1,4,2,1,1,0,1073,1435,74.8,43,143,24,8,154,16856,5417,606,693,87.4,287,370,77.6,123,238,51.7,MFFW,47b7e3af
227,Yves Bissouma,1061,2021-2022,24,ml MLI,Brighton,eng Premier League,26,2111,23.5,25,1,4,1,2,3,1,0,0,0,1061,1193,88.9,8,73,13,0,92,17341,3663,517,556,93.0,419,456,91.9,87,112,77.7,MF,6c203af0
228,Mateo Kovačić,1061,2021-2022,27,hr CRO,Chelsea,eng Premier League,25,1558,17.3,16,9,0,2,5,7,2,0,0,0,1061,1203,88.2,27,127,23,1,135,17022,4072,537,580,92.6,405,453,89.4,77,106,72.6,MF,79c0821a
229,Scott McTominay,1060,2021-2022,24,sct SCO,Manchester Utd,eng Premier League,30,2387,26.5,28,2,1,1,1,2,1,0,0,0,1060,1254,84.5,23,113,9,2,125,18096,5343,492,561,87.7,427,482,88.6,108,134,80.6,MF,d93c2511
230,Oriol Romeu,1056,2020-2021,28,es ESP,Southampton,eng Premier League,21,1763,19.6,20,1,0,1,1,2,1,0,0,0,1056,1287,82.1,14,75,16,2,91,15539,3730,594,671,88.5,362,431,84.0,51,97,52.6,MF,4b511457
231,Roberto Firmino,1053,2018-2019,26,br BRA,Liverpool,eng Premier League,34,2607,29.0,31,3,0,12,6,18,11,1,1,0,1053,1314,80.1,43,92,51,1,148,13453,3698,625,742,84.2,292,352,83.0,29,46,63.0,FWMF,4c370d81
232,Pablo Fornals,1052,2021-2022,25,es ESP,West Ham,eng Premier League,36,2795,31.1,32,4,0,6,3,9,6,0,0,0,1052,1417,74.2,48,111,51,8,191,17266,5582,529,613,86.3,363,484,75.0,111,205,54.1,FWMF,82927de4
233,João Gomes,1051,2023-2024,22,br BRA,Wolves,eng Premier League,34,2649,29.4,32,2,1,2,1,3,2,0,0,0,1051,1279,82.2,20,73,23,5,101,15291,4174,596,665,89.6,342,404,84.7,50,94,53.2,MF,8b57ad2c
234,João Palhinha,1051,2022-2023,27,pt POR,Fulham,eng Premier League,35,3108,34.5,35,0,0,3,0,3,3,0,0,0,1051,1274,82.5,7,118,3,0,101,18222,4336,527,600,87.8,396,462,85.7,107,157,68.2,MF,a78ff07f
235,Morgan Gibbs-White,1046,2023-2024,23,eng ENG,Nott'ham Forest,eng Premier League,37,3156,35.1,35,2,0,5,10,15,4,1,1,0,1046,1482,70.6,74,114,39,13,171,18447,6110,499,610,81.8,350,452,77.4,153,298,51.3,MFFW,32f60ed8
236,Cheick Doucouré,1038,2022-2023,22,ml MLI,Crystal Palace,eng Premier League,34,2769,30.8,34,0,1,0,3,3,0,0,0,0,1038,1247,83.2,26,110,11,1,140,17432,5352,478,535,89.3,460,530,86.8,75,104,72.1,MF,ce4f40c7
237,Tomáš Souček,1036,2021-2022,26,cz CZE,West Ham,eng Premier League,35,3062,34.0,34,1,1,5,1,6,5,0,0,0,1036,1361,76.1,21,105,12,2,141,17344,4438,510,638,79.9,403,495,81.4,91,134,67.9,MF,6613c819
238,Joelinton,1035,2022-2023,25,br BRA,Newcastle Utd,eng Premier League,32,2661,29.6,30,2,1,6,1,7,6,0,0,0,1035,1268,81.6,26,78,21,3,130,15180,4014,581,668,87.0,338,390,86.7,59,75,78.7,MFFW,c17bfb65
239,Matt Ritchie,1034,2018-2019,28,sct SCO,Newcastle Utd,eng Premier League,36,2928,32.5,35,1,0,2,8,10,1,1,2,1,1034,1586,65.2,60,57,43,32,83,17181,6715,549,639,85.9,293,442,66.3,133,337,39.5,DFMF,71ef519e
240,Edson Álvarez,1033,2023-2024,25,mx MEX,West Ham,eng Premier League,31,2377,26.4,28,3,1,1,1,2,1,0,0,0,1033,1207,85.6,12,87,6,1,91,17083,5225,518,573,90.4,401,445,90.1,87,132,65.9,MF,8b3ab7ad
241,Thomas Partey,1032,2021-2022,28,gh GHA,Arsenal,eng Premier League,24,2028,22.5,23,1,0,2,1,3,2,0,0,0,1032,1214,85.0,17,120,12,0,119,18440,5553,452,501,90.2,453,511,88.6,114,158,72.2,MF,529f49ab
242,Leander Dendoncker,1032,2020-2021,25,be BEL,Wolves,eng Premier League,33,2503,27.8,28,5,1,1,0,1,1,0,0,0,1032,1212,85.1,17,68,8,1,88,17020,4193,476,541,88.0,442,492,89.8,74,97,76.3,MFDF,5a7301ae
243,Mattéo Guendouzi,1027,2019-2020,20,fr FRA,Arsenal,eng Premier League,24,1748,19.4,19,5,5,0,1,1,0,0,0,0,1027,1170,87.8,12,141,20,1,160,18529,5467,430,467,92.1,448,483,92.8,120,144,83.3,MF,5ea8ef20
244,André Gomes,1026,2018-2019,25,pt POR,Everton,eng Premier League,27,1980,22.0,24,3,0,1,1,2,1,0,0,0,1026,1224,83.8,6,106,19,1,145,18846,4548,446,508,87.8,407,468,87.0,136,184,73.9,MF,1961b2aa
245,Idrissa Gana Gueye,1025,2022-2023,32,sn SEN,Everton,eng Premier League,33,2577,28.6,32,1,0,0,1,1,0,0,0,0,1025,1226,83.6,12,111,5,0,98,16238,4278,525,583,90.1,419,476,88.0,57,105,54.3,MF,72c812f3
246,John McGinn,1023,2021-2022,26,sct SCO,Aston Villa,eng Premier League,35,3090,34.3,35,0,0,3,4,7,3,0,0,0,1023,1365,74.9,51,163,48,12,196,20891,8296,394,464,84.9,416,515,80.8,187,318,58.8,MF,90f91999
247,Stuart Armstrong,1021,2020-2021,28,sct SCO,Southampton,eng Premier League,33,2764,30.7,32,1,1,4,5,9,4,0,0,0,1021,1298,78.7,35,80,40,7,144,15050,4362,563,653,86.2,360,420,85.7,51,78,65.4,MF,97333cf5
248,Jefferson Lerma,1018,2023-2024,28,co COL,Crystal Palace,eng Premier League,28,2400,26.7,27,1,0,1,1,2,1,0,0,0,1018,1250,81.4,24,109,20,3,106,15825,5095,554,625,88.6,371,448,82.8,65,114,57.0,MFDF,9b5ce51a
249,Mesut Özil,1016,2018-2019,29,de GER,Arsenal,eng Premier League,24,1735,19.3,20,4,3,5,2,7,5,0,0,0,1016,1177,86.3,45,104,47,8,146,14421,3797,593,656,90.4,293,328,89.3,60,87,69.0,MFFW,16380240
250,Riyad Mahrez,1015,2019-2020,28,dz ALG,Manchester City,eng Premier League,33,1944,21.6,21,12,5,11,9,20,10,1,1,0,1015,1200,84.6,60,43,73,4,120,16034,3623,546,589,92.7,314,377,83.3,102,139,73.4,FWMF,892d5bb1
251,Ryan Fraser,1013,2018-2019,24,sct SCO,Bournemouth,eng Premier League,38,3166,35.2,35,3,0,7,14,21,7,0,0,0,1013,1490,68.0,92,70,68,26,142,15976,5476,567,694,81.7,331,473,70.0,88,221,39.8,MFFW,d56543a0
252,Pascal Groß,1012,2021-2022,30,de GER,Brighton,eng Premier League,29,2038,22.6,24,5,6,2,4,6,2,0,1,1,1012,1345,75.2,60,94,37,12,149,18387,5413,446,508,87.8,397,481,82.5,135,267,50.6,MFDF,8aec0537
253,Julián Álvarez,1011,2023-2024,23,ar ARG,Manchester City,eng Premier League,36,2647,29.4,31,5,2,11,8,19,9,2,2,0,1011,1258,80.4,67,43,41,4,103,13977,2992,615,679,90.6,272,328,82.9,58,145,40.0,MFFW,15ab5a2b
254,Douglas Luiz,1010,2019-2020,21,br BRA,Aston Villa,eng Premier League,36,2612,29.0,28,8,1,3,2,5,3,0,0,0,1010,1243,81.3,17,106,17,5,143,19047,5278,400,460,87.0,454,536,84.7,131,191,68.6,MF,6f7d826d
255,Tanguy Ndombele,1008,2020-2021,23,fr FRA,Tottenham,eng Premier League,33,2091,23.2,28,5,3,3,2,5,3,0,0,0,1008,1186,85.0,14,96,18,2,114,14050,3728,570,632,90.2,323,370,87.3,43,63,68.3,MF,5cdddffa
256,Rayan Aït-Nouri,1005,2023-2024,22,dz ALG,Wolves,eng Premier League,33,2329,25.9,29,4,0,2,1,3,2,0,0,0,1005,1190,84.5,25,60,13,4,99,13946,3935,627,688,91.1,297,344,86.3,38,72,52.8,DFMF,9b398aea
257,Mason Mount,998,2021-2022,22,eng ENG,Chelsea,eng Premier League,32,2363,26.3,27,5,3,11,10,21,10,1,1,0,998,1278,78.1,58,70,61,10,164,13767,4197,609,673,90.5,266,346,76.9,56,128,43.8,MF,9674002f
258,Thomas Partey,994,2020-2021,27,gh GHA,Arsenal,eng Premier League,24,1534,17.0,18,6,0,0,2,2,0,0,0,0,994,1149,86.5,12,143,11,0,121,16695,5283,475,520,91.3,403,443,91.0,90,132,68.2,MF,529f49ab
259,Martín Montoya,992,2019-2020,28,es ESP,Brighton,eng Premier League,27,1896,21.1,23,4,7,0,1,1,0,0,0,0,992,1278,77.6,21,51,33,12,91,16221,5125,540,636,84.9,370,458,80.8,75,125,60.0,DFMF,5cec2487
