,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
210,Jamal Lewis,51,2019-2020,21,nir NIR,Norwich City,eng Premier League,28,2304,25.6,25,3,9,1,0,1,1,0,0,0,51,35,42,6,3,22,36,61.1,14,27,12,15,25,76,68,0,DF,efb9215a
211,Fernandinho,50,2019-2020,34,br BRA,Manchester City,eng Premier League,30,2397,26.6,26,4,6,0,1,1,0,0,0,0,50,35,32,16,2,29,48,60.4,19,28,16,12,25,75,82,0,DF,101da2b5
212,Murillo,50,2023-2024,21,br BRA,Nott'ham Forest,eng Premier League,32,2789,31.0,32,0,0,0,2,2,0,0,0,0,50,31,36,13,1,19,33,57.6,14,41,24,17,37,87,188,0,DF,1704b0b8
213,Jannik Vestergaard,50,2020-2021,27,dk DEN,Southampton,eng Premier League,30,2574,28.6,29,1,1,3,0,3,3,0,0,0,50,31,31,15,4,35,52,67.3,17,29,16,13,42,92,122,0,DF,1900032e
214,Marcos Senesi,50,2022-2023,25,ar ARG,Bournemouth,eng Premier League,31,2491,27.7,29,2,5,2,0,2,2,0,0,0,50,35,28,22,0,23,44,52.3,21,38,20,18,43,93,146,2,DF,35141f4c
215,Amari'i Bell,50,2023-2024,29,jm JAM,Luton Town,eng Premier League,21,1720,19.1,21,0,0,0,0,0,0,0,0,0,50,33,30,19,1,22,35,62.9,13,33,15,18,25,75,60,1,DF,399e9474
216,Oleksandr Zinchenko,50,2023-2024,26,ua UKR,Arsenal,eng Premier League,27,1722,19.1,20,7,5,1,2,3,1,0,0,0,50,30,19,24,7,35,52,67.3,17,18,3,15,20,70,26,2,DF,51cf8561
217,Gabriel Magalhães,50,2021-2022,23,br BRA,Arsenal,eng Premier League,35,3063,34.0,35,0,0,5,0,5,5,0,0,0,50,30,36,12,2,30,41,73.2,11,34,26,8,13,63,112,4,DF,67ac5bb8
218,Craig Cathcart,50,2018-2019,29,nir NIR,Watford,eng Premier League,36,3096,34.4,35,1,1,3,0,3,3,0,0,0,50,31,36,11,3,21,37,56.8,16,42,30,12,38,88,184,4,DF,89e4b358
219,Joel Ward,50,2022-2023,32,eng ENG,Crystal Palace,eng Premier League,28,2256,25.1,24,4,7,1,0,1,1,0,0,0,50,36,30,11,9,30,41,73.2,11,32,16,16,25,75,80,1,DF,8a7ff278
220,Dan Burn,50,2020-2021,28,eng ENG,Brighton,eng Premier League,27,2061,22.9,23,4,10,1,0,1,1,0,0,0,50,26,33,14,3,27,53,50.9,26,30,7,23,31,81,75,0,DF,b2d31e83
221,Ashley Young,50,2022-2023,37,eng ENG,Aston Villa,eng Premier League,29,2036,22.6,23,6,9,1,0,1,1,0,0,0,50,27,34,15,1,37,50,74.0,13,25,11,14,21,71,65,0,DF,be927d03
222,Max Kilman,50,2021-2022,24,eng ENG,Wolves,eng Premier League,30,2687,29.9,30,0,2,1,0,1,1,0,0,0,50,26,38,10,2,24,37,64.9,13,36,21,15,45,95,113,3,DF,d0f72bf1
223,Joe Bennett,50,2018-2019,28,eng ENG,Cardiff City,eng Premier League,30,2639,29.3,30,0,7,0,1,1,0,0,0,0,50,29,34,16,0,22,38,57.9,16,30,8,22,60,110,93,0,DF,dc936144
224,Granit Xhaka,50,2020-2021,27,ch SUI,Arsenal,eng Premier League,31,2522,28.0,29,2,2,1,2,3,1,0,0,0,50,26,18,17,15,30,58,51.7,28,23,7,16,24,74,38,3,MFDF,e61b8aee
225,Luke Thomas,50,2021-2022,20,eng ENG,Leicester City,eng Premier League,22,1912,21.2,21,1,5,0,1,1,0,0,0,0,50,31,33,13,4,28,65,43.1,37,35,14,21,40,90,55,0,DF,fc027d02
226,Mathias Jørgensen,49,2018-2019,28,dk DEN,Huddersfield,eng Premier League,24,2147,23.9,24,0,7,3,1,4,3,0,0,0,49,31,27,21,1,27,46,58.7,19,29,14,15,69,118,83,0,DF,0db5d2c8
227,Timothy Castagne,49,2023-2024,27,be BEL,Fulham,eng Premier League,34,2634,29.3,29,5,1,1,3,4,1,0,0,0,49,24,23,16,10,26,44,59.1,18,38,10,28,38,87,69,1,DF,197640fd
228,Phil Bardsley,49,2019-2020,34,sct SCO,Burnley,eng Premier League,21,1890,21.0,21,0,10,0,1,1,0,0,0,0,49,36,16,24,9,24,37,64.9,13,24,11,13,30,79,73,0,DF,1ae30132
229,Adam Smith,49,2022-2023,31,eng ENG,Bournemouth,eng Premier League,37,2943,32.7,34,3,0,0,1,1,0,0,0,0,49,29,27,19,3,29,60,48.3,31,30,13,17,25,74,81,1,DF,20b104bc
230,Nathan Patterson,49,2022-2023,20,sct SCO,Everton,eng Premier League,19,1279,14.2,14,5,2,0,0,0,0,0,0,0,49,24,32,13,4,29,54,53.7,25,24,4,20,15,64,45,0,DFMF,230f0471
231,Ben White,49,2020-2021,22,eng ENG,Brighton,eng Premier League,36,3191,35.5,36,0,1,0,0,0,0,0,0,0,49,26,21,24,4,24,57,42.1,33,46,22,24,62,111,56,0,DFMF,35e413f1
232,Danny Rose,49,2018-2019,28,eng ENG,Tottenham,eng Premier League,26,1798,20.0,20,6,5,0,3,3,0,0,0,0,49,31,26,16,7,20,32,62.5,12,24,4,20,24,73,28,3,DF,89d10e53
233,Micky van de Ven,49,2023-2024,22,nl NED,Tottenham,eng Premier League,27,2339,26.0,27,0,1,3,0,3,3,0,0,0,49,35,34,12,3,24,33,72.7,9,25,15,10,18,67,78,1,DF,8fe2a392
234,Aaron Wan-Bissaka,49,2021-2022,23,cd COD,Manchester Utd,eng Premier League,20,1793,19.9,20,0,10,0,0,0,0,0,0,0,49,36,25,18,6,14,20,70.0,6,24,14,10,34,83,41,2,DF,9e525177
235,Calvin Bassey,49,2023-2024,23,ng NGA,Fulham,eng Premier League,29,2303,25.6,25,4,4,1,0,1,1,0,0,0,49,29,33,15,1,21,29,72.4,8,32,11,21,28,77,84,4,DF,a36524bf
236,Solly March,49,2020-2021,26,eng ENG,Brighton,eng Premier League,21,1672,18.6,19,2,0,2,1,3,2,0,0,0,49,23,24,15,10,18,34,52.9,16,30,5,25,22,71,30,0,DFMF,bb5fbd2b
237,Jacob Murphy,49,2021-2022,26,eng ENG,Newcastle Utd,eng Premier League,33,1473,16.4,13,20,5,1,2,3,1,0,0,0,49,26,34,11,4,26,41,63.4,15,20,2,18,23,72,17,0,FWDF,de112b84
238,Pascal Struijk,49,2020-2021,20,nl NED,Leeds United,eng Premier League,27,2075,23.1,22,5,10,1,0,1,1,0,0,0,49,30,28,19,2,17,28,60.7,11,35,21,14,47,96,92,0,DFMF,f4d296e4
239,Antonio Rüdiger,48,2021-2022,28,de GER,Chelsea,eng Premier League,34,3035,33.7,34,0,1,3,0,3,3,0,0,0,48,28,29,15,4,36,48,75.0,12,20,11,9,28,76,91,1,DF,18b896d6
240,Ben White,48,2023-2024,25,eng ENG,Arsenal,eng Premier League,37,2988,33.2,35,2,0,4,4,8,4,0,0,0,48,28,20,22,6,26,58,44.8,32,48,22,26,32,80,77,1,DF,35e413f1
241,Mads Roerslev,48,2023-2024,24,dk DEN,Brentford,eng Premier League,34,1985,22.1,22,12,3,1,2,3,1,0,0,0,48,31,34,9,5,27,54,50.0,27,15,3,12,19,67,71,0,DF,57c94db2
242,Patrick van Aanholt,48,2018-2019,27,nl NED,Crystal Palace,eng Premier League,36,3195,35.5,36,0,2,3,2,5,3,0,0,0,48,24,35,11,2,24,40,60.0,16,33,9,24,40,88,91,2,DF,5f09991f
243,Gabriel Magalhães,48,2023-2024,25,br BRA,Arsenal,eng Premier League,36,3044,33.8,34,2,2,4,0,4,4,0,0,0,48,28,24,22,2,17,22,77.3,5,44,33,11,31,79,100,1,DF,67ac5bb8
244,Gabriel Magalhães,48,2022-2023,24,br BRA,Arsenal,eng Premier League,38,3409,37.9,38,0,0,3,0,3,3,0,0,0,48,30,29,15,4,18,27,66.7,9,49,26,23,32,80,125,3,DF,67ac5bb8
245,Levi Colwill,48,2023-2024,20,eng ENG,Chelsea,eng Premier League,23,1797,20.0,20,3,4,1,1,2,1,0,0,0,48,30,26,17,5,26,34,76.5,8,28,10,18,26,74,66,0,DF,700783e7
246,Max Aarons,48,2019-2020,19,eng ENG,Norwich City,eng Premier League,36,3240,36.0,36,0,0,0,1,1,0,0,0,0,48,30,33,9,6,18,36,50.0,18,46,29,17,37,85,97,1,DF,774cf58b
247,Kenny Tete,48,2020-2021,24,nl NED,Fulham,eng Premier League,22,1481,16.5,18,4,2,0,1,1,0,0,0,0,48,30,27,16,5,10,18,55.6,8,14,5,9,27,75,49,0,DFMF,77d7c96f
248,Charlie Taylor,48,2020-2021,26,eng ENG,Burnley,eng Premier League,29,2426,27.0,28,1,1,0,1,1,0,0,0,0,48,28,30,15,3,25,46,54.3,21,36,19,17,29,77,87,2,DF,cc2d7ad5
249,Kiko Femenía,48,2018-2019,27,es ESP,Watford,eng Premier League,29,2049,22.8,22,7,2,1,1,2,1,0,0,0,48,30,34,12,2,24,51,47.1,27,24,6,18,36,84,68,0,DF,e5d01ecf
250,Alex Telles,48,2021-2022,28,br BRA,Manchester Utd,eng Premier League,21,1660,18.4,18,3,8,0,4,4,0,0,0,0,48,27,35,9,4,27,43,62.8,16,17,4,13,26,74,45,0,DF,e73c9bb2
251,Denis Odoi,48,2018-2019,30,gh GHA,Fulham,eng Premier League,31,2594,28.8,29,2,3,0,1,1,0,0,0,0,48,34,29,16,3,21,33,63.6,12,45,24,21,42,90,153,0,DF,f7750aa0
252,Jonny Evans,48,2019-2020,31,nir NIR,Leicester City,eng Premier League,38,3383,37.6,38,0,0,1,1,2,1,0,0,0,48,34,33,14,1,28,39,71.8,11,33,18,15,57,105,174,4,DF,f8fcd2a5
253,Ryan Bertrand,47,2019-2020,29,eng ENG,Southampton,eng Premier League,32,2742,30.5,31,1,2,1,1,2,1,0,0,0,47,29,22,15,10,26,58,44.8,32,27,12,15,37,84,31,1,DF,01226327
254,Milos Kerkez,47,2023-2024,19,hu HUN,Bournemouth,eng Premier League,28,1970,21.9,22,6,3,0,1,1,0,0,0,0,47,26,31,13,3,30,42,71.4,12,31,11,20,20,67,60,2,DF,0ad53bdc
255,Lucas Digne,47,2023-2024,30,fr FRA,Aston Villa,eng Premier League,33,2410,26.8,27,6,0,1,3,4,1,0,0,0,47,19,35,9,3,25,44,56.8,19,20,2,18,26,73,67,0,DF,1b84dbe1
256,Adam Smith,47,2019-2020,28,eng ENG,Bournemouth,eng Premier League,24,2055,22.8,24,0,0,0,1,1,0,0,0,0,47,32,29,16,2,23,50,46.0,27,27,6,21,25,72,64,1,DF,20b104bc
257,Çağlar Söyüncü,47,2021-2022,25,tr TUR,Leicester City,eng Premier League,28,2497,27.7,28,0,8,1,0,1,1,0,0,0,47,30,32,12,3,26,42,61.9,16,44,27,17,32,79,115,1,DF,21166ff4
258,Ola Aina,47,2023-2024,26,ng NGA,Nott'ham Forest,eng Premier League,22,1692,18.8,20,2,3,1,1,2,1,0,0,0,47,31,31,12,4,29,40,72.5,11,19,3,16,18,65,51,1,DF,246d153b
259,Junior Firpo,47,2022-2023,25,do DOM,Leeds United,eng Premier League,19,1368,15.2,14,5,11,1,1,2,1,0,0,0,47,25,27,15,5,24,46,52.2,22,23,7,16,24,71,40,0,DF,24f59bb2
260,Sergio Reguilón,47,2020-2021,23,es ESP,Tottenham,eng Premier League,27,2244,24.9,26,1,4,0,3,3,0,0,0,0,47,25,30,13,4,23,48,47.9,25,39,7,32,32,79,50,1,DF,3353737a
261,George Baldock,47,2020-2021,27,gr GRE,Sheffield Utd,eng Premier League,32,2787,31.0,32,0,3,0,2,2,0,0,0,0,47,34,28,14,5,21,50,42.0,29,26,7,19,25,72,70,1,DF,394854c4
262,Jan Paul van Hecke,47,2023-2024,23,nl NED,Brighton,eng Premier League,28,2369,26.3,26,2,4,0,0,0,0,0,0,0,47,26,25,19,3,27,45,60.0,18,49,27,22,30,77,76,4,DF,4fd08daa
263,Pablo Zabaleta,47,2018-2019,33,ar ARG,West Ham,eng Premier League,26,2092,23.2,23,3,7,0,1,1,0,0,0,0,47,24,26,15,6,17,44,38.6,27,39,15,24,48,95,96,3,DF,6813ac34
264,Joe Gomez,47,2023-2024,26,eng ENG,Liverpool,eng Premier League,32,1786,19.8,17,15,4,0,1,1,0,0,0,0,47,31,24,16,7,30,63,47.6,33,26,4,22,19,66,50,2,DF,7a11550b
265,Ben Godfrey,47,2021-2022,23,eng ENG,Everton,eng Premier League,23,2029,22.5,23,0,1,0,0,0,0,0,0,0,47,32,29,14,4,24,39,61.5,15,41,19,22,15,62,100,2,DF,9f7c837d
266,Joël Matip,47,2021-2022,29,cm CMR,Liverpool,eng Premier League,31,2790,31.0,31,0,4,3,3,6,3,0,0,0,47,34,23,19,5,20,31,64.5,11,26,14,12,44,91,93,1,DF,b217ef29
267,Fabian Schär,47,2022-2023,30,ch SUI,Newcastle Utd,eng Premier League,36,3206,35.6,36,0,1,1,3,4,1,0,0,0,47,22,31,13,3,24,39,61.5,15,34,19,15,52,99,139,0,DF,c8aa95da
268,Auston Trusty,47,2023-2024,24,us USA,Sheffield Utd,eng Premier League,32,2572,28.6,28,4,6,0,0,0,0,0,0,0,47,30,31,13,3,21,43,48.8,22,41,22,19,35,82,153,3,DF,cddf767b
269,Max Kilman,47,2023-2024,26,eng ENG,Wolves,eng Premier League,38,3420,38.0,38,0,0,2,0,2,2,0,0,0,47,21,40,6,1,24,32,75.0,8,64,37,27,39,86,182,4,DF,d0f72bf1
270,Ryan Bertrand,46,2018-2019,28,eng ENG,Southampton,eng Premier League,24,2160,24.0,24,0,1,1,0,1,1,0,0,0,46,27,22,20,4,16,31,51.6,15,27,5,22,28,74,51,0,DF,01226327
271,Chris Richards,46,2023-2024,23,us USA,Crystal Palace,eng Premier League,26,2094,23.3,23,3,9,1,1,2,1,0,0,0,46,28,21,22,3,20,30,66.7,10,32,12,20,27,73,109,0,DFMF,0a3d6d2b
272,Lucas Digne,46,2021-2022,28,fr FRA,2 Teams,eng Premier League,29,2439,27.1,29,0,1,0,4,4,0,0,0,0,46,29,34,7,5,30,47,63.8,17,31,13,18,37,83,70,0,DF,1b84dbe1
273,Adam Smith,46,2018-2019,27,eng ENG,Bournemouth,eng Premier League,25,2066,23.0,25,0,0,1,1,2,1,0,0,0,46,32,26,14,6,19,41,46.3,22,26,7,19,31,77,68,1,DFMF,20b104bc
274,Andrew Robertson,46,2020-2021,26,sct SCO,Liverpool,eng Premier League,38,3383,37.6,38,0,0,1,7,8,1,0,0,0,46,34,23,18,5,28,57,49.1,29,39,9,30,21,67,79,1,DF,2e4f5f03
275,Tyrell Malacia,46,2022-2023,22,nl NED,Manchester Utd,eng Premier League,22,1396,15.5,14,8,15,0,0,0,0,0,0,0,46,33,33,12,1,14,25,56.0,11,13,3,10,25,71,49,0,DF,6b6c793c
276,Willy Boly,46,2023-2024,32,ci CIV,Nott'ham Forest,eng Premier League,20,1438,16.0,18,2,3,2,1,3,2,0,0,0,46,29,36,9,1,22,40,55.0,18,32,21,11,25,71,90,0,DF,a4ac4b8f
277,Juninho Bacuna,46,2018-2019,20,cw CUW,Huddersfield,eng Premier League,21,1412,15.7,16,5,5,1,0,1,1,0,0,0,46,29,22,19,5,22,54,40.7,32,21,1,20,24,70,12,1,MFDF,aaf1bf05
278,Michael Keane,46,2021-2022,28,eng ENG,Everton,eng Premier League,32,2792,31.0,31,1,4,3,2,5,3,0,0,0,46,25,32,13,1,28,45,62.2,17,33,28,5,62,108,128,2,DF,c5b7c315
279,Dara O'Shea,45,2020-2021,21,ie IRL,West Brom,eng Premier League,28,2102,23.4,25,3,8,0,0,0,0,0,0,0,45,25,30,13,2,21,45,46.7,24,32,17,15,45,90,108,0,DF,1d042188
280,Antonee Robinson,45,2020-2021,22,us USA,Fulham,eng Premier League,28,2162,24.0,24,4,3,0,0,0,0,0,0,0,45,28,24,16,5,27,44,61.4,17,21,4,17,37,82,68,0,DF,289601e6
281,Dango Ouattara,45,2023-2024,21,bf BFA,Bournemouth,eng Premier League,30,1229,13.7,12,18,2,1,2,3,1,0,0,0,45,27,22,11,12,19,34,55.9,15,18,3,15,22,67,35,0,FWDF,2f9e4435
282,Darnell Furlong,45,2020-2021,24,eng ENG,West Brom,eng Premier League,35,2932,32.6,32,3,3,1,3,4,1,0,0,0,45,27,27,12,6,21,44,47.7,23,39,16,23,49,94,90,0,DF,3ec9195b
283,Joel Ward,45,2023-2024,33,eng ENG,Crystal Palace,eng Premier League,26,1980,22.0,23,3,5,0,1,1,0,0,0,0,45,28,26,18,1,30,47,63.8,17,17,10,7,14,59,94,1,DF,8a7ff278
284,Pascal Groß,45,2020-2021,29,de GER,Brighton,eng Premier League,34,2484,27.6,27,7,4,3,8,11,0,3,4,1,45,24,24,15,6,24,53,45.3,29,25,4,21,23,68,18,1,MFDF,8aec0537
285,Ben Mee,45,2022-2023,32,eng ENG,Brentford,eng Premier League,37,3269,36.3,37,0,1,3,1,4,3,0,0,0,45,24,28,13,4,20,37,54.1,17,54,42,12,48,93,122,2,DF,8df7a2fb
286,Charlie Taylor,45,2021-2022,27,eng ENG,Burnley,eng Premier League,31,2731,30.3,30,1,0,0,3,3,0,0,0,0,45,26,31,11,3,26,44,59.1,18,42,20,22,58,103,95,2,DF,cc2d7ad5
287,Kalidou Koulibaly,45,2022-2023,31,sn SEN,Chelsea,eng Premier League,23,1800,20.0,20,3,6,2,1,3,2,0,0,0,45,31,34,8,3,26,40,65.0,14,30,13,17,29,74,77,0,DF,da974c7b
288,Ainsley Maitland-Niles,45,2022-2023,24,eng ENG,Southampton,eng Premier League,22,1407,15.6,13,9,5,0,0,0,0,0,0,0,45,24,23,18,4,28,44,63.6,16,28,7,21,22,67,45,1,DFMF,e3a5814e
289,Vladimír Coufal,45,2021-2022,28,cz CZE,West Ham,eng Premier League,28,2209,24.5,25,3,3,0,4,4,0,0,0,0,45,25,24,14,7,18,36,50.0,18,31,9,22,22,67,64,1,DF,fdf3cb77
290,Chris Mepham,45,2022-2023,24,wls WAL,Bournemouth,eng Premier League,26,2199,24.4,24,2,7,0,0,0,0,0,0,0,45,22,37,8,0,19,30,63.3,11,40,27,13,30,75,152,0,DF,fed96827
291,Séamus Coleman,44,2018-2019,29,ie IRL,Everton,eng Premier League,29,2558,28.4,29,0,3,2,2,4,2,0,0,0,44,25,23,18,3,19,30,63.3,11,14,5,9,26,70,86,0,DF,0420d84f
292,Ben White,44,2021-2022,23,eng ENG,Arsenal,eng Premier League,32,2880,32.0,32,0,2,0,0,0,0,0,0,0,44,23,30,8,6,28,45,62.2,17,42,24,18,42,86,102,0,DF,35e413f1
293,Conor Townsend,44,2020-2021,27,eng ENG,West Brom,eng Premier League,25,2234,24.8,25,0,2,0,2,2,0,0,0,0,44,28,32,9,3,30,49,61.2,19,38,15,23,36,80,55,2,DF,4dc4f138
294,Jack Stephens,44,2019-2020,25,eng ENG,Southampton,eng Premier League,28,2451,27.2,27,1,6,1,3,4,1,0,0,0,44,27,30,13,1,24,46,52.2,22,38,22,16,31,75,120,2,DF,6adbc307
295,Joel Ward,44,2021-2022,31,eng ENG,Crystal Palace,eng Premier League,28,2487,27.6,27,1,5,0,0,0,0,0,0,0,44,26,30,11,3,30,57,52.6,27,24,11,13,32,76,107,1,DF,8a7ff278
296,Luke Shaw,44,2020-2021,25,eng ENG,Manchester Utd,eng Premier League,32,2654,29.5,30,2,2,1,5,6,1,0,0,0,44,28,21,16,7,21,36,58.3,15,34,9,25,20,64,44,2,DF,9c94165b
297,Mason Holgate,44,2019-2020,22,jm JAM,Everton,eng Premier League,27,2054,22.8,24,3,7,0,3,3,0,0,0,0,44,26,30,13,1,21,31,67.7,10,26,13,13,34,78,97,0,DF,d0042ab9
298,Davinson Sánchez,44,2019-2020,23,co COL,Tottenham,eng Premier League,29,2431,27.0,27,2,6,0,0,0,0,0,0,0,44,27,32,12,0,22,44,50.0,22,40,28,12,34,78,128,5,DF,da7b447d
299,John Egan,44,2019-2020,26,ie IRL,Sheffield Utd,eng Premier League,36,3187,35.4,36,0,0,2,0,2,2,0,0,0,44,27,34,10,0,25,45,55.6,20,39,27,12,58,102,171,4,DF,debe38a0
300,Grant Hanley,44,2021-2022,29,sct SCO,Norwich City,eng Premier League,33,2897,32.2,33,0,0,1,0,1,1,0,0,0,44,25,28,14,2,18,35,51.4,17,56,45,11,56,100,176,2,DF,e9254eec
301,Toti Gomes,44,2023-2024,24,pt POR,Wolves,eng Premier League,35,2772,30.8,31,4,3,1,3,4,1,0,0,0,44,25,32,8,4,24,37,64.9,13,40,19,21,26,70,93,2,DF,f0caab96
302,James Milner,43,2018-2019,32,eng ENG,Liverpool,eng Premier League,31,1789,19.9,19,12,2,5,4,9,2,3,3,0,43,23,14,24,5,15,41,36.6,26,40,5,35,18,61,30,0,MFDF,2f90f6b8
303,Aaron Cresswell,43,2019-2020,29,eng ENG,West Ham,eng Premier League,31,2727,30.3,31,0,0,3,0,3,3,0,0,0,43,26,21,18,4,23,46,50.0,23,33,10,23,35,78,75,2,DF,4f974391
304,Thilo Kehrer,43,2022-2023,25,de GER,West Ham,eng Premier League,27,2230,24.8,25,2,8,0,2,2,0,0,0,0,43,24,25,14,4,21,45,46.7,24,16,6,10,34,77,76,1,DF,51dbeea9
305,César Azpilicueta,43,2022-2023,32,es ESP,Chelsea,eng Premier League,25,1527,17.0,16,9,6,0,0,0,0,0,0,0,43,25,23,15,5,22,37,59.5,15,26,5,21,19,62,54,1,DF,53cad200
306,Patrick van Aanholt,43,2019-2020,28,nl NED,Crystal Palace,eng Premier League,29,2507,27.9,29,0,0,3,2,5,2,1,1,0,43,23,31,10,2,23,50,46.0,27,31,9,22,45,88,52,1,DF,5f09991f
307,Jack Robinson,43,2023-2024,29,eng ENG,Sheffield Utd,eng Premier League,34,2885,32.1,31,3,0,1,1,2,1,0,0,0,43,28,29,14,0,25,39,64.1,14,49,33,16,33,76,132,2,DF,7399c7a8
308,Cyrus Christie,43,2018-2019,25,ie IRL,Fulham,eng Premier League,28,1948,21.6,19,9,10,0,1,1,0,0,0,0,43,23,26,13,4,18,41,43.9,23,25,11,14,29,72,96,1,DFMF,7eb67dad
309,Joel Ward,43,2020-2021,30,eng ENG,Crystal Palace,eng Premier League,26,2256,25.1,25,1,7,0,1,1,0,0,0,0,43,25,29,14,0,24,42,57.1,18,27,8,19,41,84,87,2,DF,8a7ff278
310,Ben Chilwell,43,2019-2020,22,eng ENG,Leicester City,eng Premier League,27,2373,26.4,27,0,1,3,3,6,3,0,0,0,43,26,28,13,2,23,52,44.2,29,30,6,24,28,71,68,2,DF,d2424d1b
311,Rob Holding,43,2020-2021,24,eng ENG,Arsenal,eng Premier League,30,2558,28.4,28,2,5,0,1,1,0,0,0,0,43,20,28,13,2,17,35,48.6,18,37,27,10,24,67,120,0,DF,d79a8c87
312,Moussa Niakhate,42,2023-2024,27,sn SEN,Nott'ham Forest,eng Premier League,21,1460,16.2,15,6,12,1,0,1,1,0,0,0,42,25,33,9,0,20,25,80.0,5,19,12,7,14,56,51,0,DF,00242715
313,Ezri Konsa,42,2022-2023,24,eng ENG,Aston Villa,eng Premier League,38,3322,36.9,37,1,0,0,0,0,0,0,0,0,42,20,25,15,2,18,26,69.2,8,41,23,18,26,68,120,3,DF,0313a347
314,Séamus Coleman,42,2019-2020,30,ie IRL,Everton,eng Premier League,27,1839,20.4,21,6,6,0,1,1,0,0,0,0,42,31,24,14,4,19,25,76.0,6,21,9,12,24,66,43,1,DF,0420d84f
315,Bobby De Cordova-Reid,42,2022-2023,29,jm JAM,Fulham,eng Premier League,36,2475,27.5,29,7,1,4,1,5,4,0,0,0,42,24,14,14,14,16,36,44.4,20,25,3,22,20,62,28,1,FWDF,0f7533cd
316,Aymeric Laporte,42,2018-2019,24,es ESP,Manchester City,eng Premier League,35,3057,34.0,34,1,1,3,3,6,3,0,0,0,42,20,27,14,1,22,34,64.7,12,16,9,7,39,81,98,2,DF,119b9a8e
317,Lewis Dunk,42,2018-2019,26,eng ENG,Brighton,eng Premier League,36,3151,35.0,36,0,0,2,1,3,2,0,0,0,42,26,31,10,1,17,39,43.6,22,49,38,11,46,88,196,5,DF,282f75f3
318,Felipe,42,2022-2023,33,br BRA,Nott'ham Forest,eng Premier League,16,1418,15.8,15,1,1,0,1,1,0,0,0,0,42,23,29,13,0,24,41,58.5,17,34,13,21,36,78,90,0,DF,51a3c4c8
319,Yan Valery,42,2018-2019,19,tn TUN,Southampton,eng Premier League,23,1712,19.0,20,3,1,2,1,3,2,0,0,0,42,36,26,10,6,16,29,55.2,13,24,3,21,22,64,72,1,DF,531a4aa8
320,Ivan Perišić,42,2022-2023,33,hr CRO,Tottenham,eng Premier League,34,2108,23.4,23,11,3,1,8,9,1,0,0,0,42,24,25,10,7,27,47,57.4,20,29,7,22,22,64,49,1,DFMF,6fe90922
