,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos,-9999
201,Marc Guéhi,52,2022-2023,22,eng ENG,Crystal Palace,eng Premier League,37,3329,37.0,37,0,0,1,0,1,1,0,0,0,52,27,39,11,2,26,42,61.9,16,45,24,21,45,97,134,3,DF,d0706b27
202,Matt Targett,52,2019-2020,23,eng ENG,Aston Villa,eng Premier League,28,2291,25.5,27,1,2,1,2,3,1,0,0,0,52,29,37,11,4,22,53,41.5,31,28,8,20,56,108,82,0,DFMF,e514ab62
203,Ethan Pinnock,52,2022-2023,29,jm JAM,Brentford,eng Premier League,30,2700,30.0,30,0,0,3,0,3,3,0,0,0,52,28,33,12,7,18,24,75.0,6,41,31,10,35,87,215,2,DF,e541326e
204,Granit Xhaka,52,2018-2019,25,ch SUI,Arsenal,eng Premier League,29,2498,27.8,29,0,2,4,2,6,4,0,0,0,52,29,29,20,3,24,59,40.7,35,35,9,26,36,88,56,3,MFDF,e61b8aee
205,Renan Lodi,52,2022-2023,24,br BRA,Nott'ham Forest,eng Premier League,28,2214,24.6,26,2,2,0,1,1,0,0,0,0,52,39,38,8,6,33,66,50.0,33,25,6,19,33,85,74,0,DF,ed9f7cfe
206,Wesley Fofana,51,2020-2021,19,fr FRA,Leicester City,eng Premier League,28,2262,25.1,27,1,1,0,0,0,0,0,0,0,51,37,27,22,2,31,46,67.4,15,28,16,12,61,112,94,0,DF,132a82f1
207,James Tarkowski,51,2022-2023,29,eng ENG,Everton,eng Premier League,38,3420,38.0,38,0,0,1,1,2,1,0,0,0,51,26,36,13,2,20,39,51.3,19,99,78,21,51,102,201,3,DF,15ea812b
208,César Azpilicueta,51,2021-2022,31,es ESP,Chelsea,eng Premier League,27,2070,23.0,24,3,7,1,2,3,1,0,0,0,51,28,18,27,6,16,35,45.7,19,32,9,23,23,74,65,1,DF,53cad200
209,Ethan Pinnock,51,2021-2022,28,jm JAM,Brentford,eng Premier League,32,2694,29.9,32,0,0,1,1,2,1,0,0,0,51,35,37,12,2,25,38,65.8,13,30,11,19,44,95,154,1,DF,e541326e
